name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Shri Umiya Mataji Temple,Hindu temple,"Shri Umiya Mataji Temple, Umiya Mata Mandir Pase, Umiya Mata Chowk, Unjha, Gujarat 384170",Baharmadh,"Umiya Mata Mandir Pase, Umiya Mata Chowk, Unjha",Unjha,384170,Gujarat,IN,https://www.google.com/maps/place/Shri+Umiya+Mataji+Temple/data=!4m7!3m6!1s0x395c5e94abc3398d:0x29d3ba77f18a115e!8m2!3d23.8017109!4d72.3965811!16s%2Fg%2F1vvywgp6!19sChIJjTnDq5ReXDkRXhGK8Xe60yk?authuser=0&hl=en&rclk=1,"23.8017109,72.39658109999999"
Cheraman Juma Masjid,Mosque,"Cheraman Juma Masjid, Kodungallur - Shornur Rd, Arakulam, Kodungallur, Kerala 680664",Arakulam,Kodungallur - Shornur Rd,Kodungallur,680664,Kerala,IN,https://www.google.com/maps/place/Cheraman+Juma+Masjid/data=!4m7!3m6!1s0x3b081b952911081d:0x9cae30bd9b07947f!8m2!3d10.2129033!4d76.2020459!16zL20vMGcyMDdn!19sChIJHQgRKZUbCDsRf5QHm70wrpw?authuser=0&hl=en&rclk=1,"10.212903299999999,76.2020459"
Mira Datar Dargah Khadim Waqar Ali,Shrine,"Mira Datar Dargah Khadim Waqar Ali, Unjha, Unava, Gujarat 384160",,Unjha,Unava,384160,Gujarat,IN,https://www.google.com/maps/place/Mira+Datar+Dargah+Khadim+Waqar+Ali/data=!4m7!3m6!1s0x395c5ddb35fdc9b3:0xd85658accb42d64e!8m2!3d23.7653403!4d72.3629844!16s%2Fg%2F11bx1c7c0c!19sChIJs8n9NdtdXDkRTtZCy6xYVtg?authuser=0&hl=en&rclk=1,"23.7653403,72.3629844"
Taximens Colony Masjid,Mosque,"Taximens Colony Masjid, Near Gate number 2, BKC road Taximens colony, Lal Bahadur Shastri Marg, Kurla West, Mumbai, Maharashtra 400070","Ram Manohar Lohiya Nagar, Kurla West, Kurla","Near Gate number 2, BKC road Taximens colony, Lal Bahadur Shastri Marg",Mumbai,400070,Maharashtra,IN,https://www.google.com/maps/place/Taximens+Colony+Masjid/data=!4m7!3m6!1s0x3be7c8ed2923b24d:0xe98497d23206aed6!8m2!3d19.0705168!4d72.8746236!16s%2Fg%2F1tfj1n5g!19sChIJTbIjKe3I5zsR1q4GMtKXhOk?authuser=0&hl=en&rclk=1,"19.0705168,72.87462359999999"
Karamat E Datar - Hazrat Saiyad Ali Miradatar Dargah Sharif (Sajjada Akram Ali),Mosque,"Karamat E Datar - Hazrat Saiyad Ali Miradatar Dargah Sharif (Sajjada Akram Ali), Saiyed Ali Miradatar, Unava, Gujarat 384160",,Saiyed Ali Miradatar,Unava,384160,Gujarat,IN,https://www.google.com/maps/place/Karamat+E+Datar+-+Hazrat+Saiyad+Ali+Miradatar+Dargah+Sharif+%28Sajjada+Akram+Ali%29/data=!4m7!3m6!1s0x395c5d1fc8cb289d:0x6791c961aef4e074!8m2!3d23.7674355!4d72.3647624!16s%2Fg%2F11h4k8ycdm!19sChIJnSjLyB9dXDkRdOD0rmHJkWc?authuser=0&hl=en&rclk=1,"23.767435499999998,72.3647624"
Shri Umiya Mataji Guest House Unjha,Guest house,"R93W+2PG Shri Umiya Mataji Guest House Unjha, Umiya Mata Temple Compound, Unjha, Gujarat 384170",Baharmadh,"R93W+2PG, Umiya Mata Temple Compound",Unjha,384170,Gujarat,IN,https://www.google.com/maps/place/Shri+Umiya+Mataji+Guest+House+Unjha/data=!4m10!3m9!1s0x395c5eeb50575de5:0x946cf95df2c7ccee!5m2!4m1!1i2!8m2!3d23.8025571!4d72.396814!16s%2Fg%2F1yh805l7g!19sChIJ5V1XUOteXDkR7szH8l35bJQ?authuser=0&hl=en&rclk=1,"23.802557099999998,72.39681399999999"
Gole Market Masjid,Mosque,"Gole Market Masjid, Gole Market Graveyard, Karan Nagar, Srinagar, Jammu and Kashmir 190010",Karan Nagar,Gole Market Graveyard,Srinagar,190010,Jammu and Kashmir,IN,https://www.google.com/maps/place/Gole+Market+Masjid/data=!4m7!3m6!1s0x38e18ff613a05e61:0x5ae04b9556781b42!8m2!3d34.084227!4d74.7968755!16s%2Fg%2F1vc_nqxj!19sChIJYV6gE_aP4TgRQht4VpVL4Fo?authuser=0&hl=en&rclk=1,"34.084227,74.7968755"
Hazrat Saiyad Ali Miradatar (R.A) Daragah Sharif - SYED KAMIL ALI,Shrine,"Q987+94W Hazrat Saiyad Ali Miradatar (R.A) Daragah Sharif - SYED KAMIL ALI, Datar Dargah, Mira, Unava, Gujarat 384160",,"Q987+94W Datar Dargah, Mira",Unava,384160,Gujarat,IN,https://www.google.com/maps/place/Hazrat+Saiyad+Ali+Miradatar+%28R.A%29+Daragah+Sharif+-+SYED+KAMIL+ALI/data=!4m7!3m6!1s0x395c5ddb2d6b6a13:0xc871021f7695311a!8m2!3d23.7659375!4d72.3628125!16s%2Fg%2F11f3zk61b2!19sChIJE2prLdtdXDkRGjGVdh8Cccg?authuser=0&hl=en&rclk=1,"23.7659375,72.36281249999999"
