name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Damdi Masjid,Mosque,"4Q36+F4Q Damdi Masjid, Mukundnagar, Ahmednagar, Maharashtra 414001",Mukundnagar,4Q36+F4Q,Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Damdi+Masjid/data=!4m7!3m6!1s0x3bdcb00d8eae818d:0x80b6f1257a3ff4b0!8m2!3d19.1037224!4d74.7603482!16s%2Fg%2F1262tscwh!19sChIJjYGujg2w3DsRsPQ_eiXxtoA?authuser=0&hl=en&rclk=1,"19.1037224,74.7603482"
Masjid,Mosque,"3P75+FCF Masjid, Renuka Goddess Temple Road, Kedgaon, Ahmednagar, Maharashtra 414005",Kedgaon,"3P75+FCF, Renuka Goddess Temple Road",Ahmednagar,414005,Maharashtra,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3bdcb1206bc76fb7:0x602ae5ef438134d9!8m2!3d19.0636874!4d74.7085547!16s%2Fg%2F1264ft3c1!19sChIJt2_HayCx3DsR2TSBQ-_lKmA?authuser=0&hl=en&rclk=1,"19.0636874,74.7085547"
shadwal Dargaah,Mosque,"shadwal Dargaah, 1, Kopargaon - Shirdi - Ahmednagar - Pune Hwy, Kedgaon, Ahmednagar, Maharashtra 414005",Kedgaon,"1, Kopargaon - Shirdi - Ahmednagar - Pune Hwy",Ahmednagar,414005,Maharashtra,IN,https://www.google.com/maps/place/shadwal+Dargaah/data=!4m7!3m6!1s0x3bdcb1206be33ccb:0x63eaade75e390981!8m2!3d19.0637511!4d74.70852!16s%2Fg%2F11g7_f9tjp!19sChIJyzzjayCx3DsRgQk5Xuet6mM?authuser=0&hl=en&rclk=1,"19.063751099999998,74.70852"
Masjid,Mosque,"3MFW+652 Masjid, Jagdamba Colony, Kedgaon, Ahmednagar, Maharashtra 414005","Jagdamba Colony, Kedgaon",3MFW+652,Ahmednagar,414005,Maharashtra,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3bdcb0d1adb4f5f5:0x92231a2a373f3cea!8m2!3d19.0730072!4d74.6953871!16s%2Fg%2F11dymm06tf!19sChIJ9fW0rdGw3DsR6jw_NyoaI5I?authuser=0&hl=en&rclk=1,"19.0730072,74.69538709999999"
Sunni Rehmaniya Masjid,Mosque,"3P52+WX6 Sunni Rehmaniya Masjid, Saadat nagar, Kedgaon, Ahmednagar, Maharashtra 414005","Saadat nagar, Kedgaon",3P52+WX6,Ahmednagar,414005,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Rehmaniya+Masjid/data=!4m7!3m6!1s0x3bdcb0d9c817d60f:0x4ac1f897148ae7c8!8m2!3d19.059784!4d74.702395!16s%2Fg%2F11b7gdqtb3!19sChIJD9YXyNmw3DsRyOeKFJf4wUo?authuser=0&hl=en&rclk=1,"19.059784,74.702395"
Tamboli Masjid and Qabrastan,Mosque,"Tamboli Masjid and Qabrastan, & Qabrastan, Tamboli Masjid, Sarjepura Rd, Tarakpur, Ahmednagar, Maharashtra 414001",Tarakpur,"& Qabrastan, Tamboli Masjid, Sarjepura Rd",Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Tamboli+Masjid+and+Qabrastan/data=!4m7!3m6!1s0x3bdcb07cb98faacf:0x2412828d0d32caf9!8m2!3d19.1032459!4d74.7383383!16s%2Fg%2F11cm3tz4c7!19sChIJz6qPuXyw3DsR-coyDY2CEiQ?authuser=0&hl=en&rclk=1,"19.103245899999997,74.7383383"
Baba Bangali Masjid bb bngl shh msjd,Mosque,"3PVV+PW6 Baba Bangali Masjid bb bngl shh msjd, Pune - Ahmednagar Hwy, NEAR COLLECTRATE Kalyan, Nalegaon, Ahmednagar, Maharashtra 414001",Nalegaon,"3PVV+PW6, Pune - Ahmednagar Hwy, NEAR COLLECTRATE Kalyan",Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Baba+Bangali+Masjid+%D8%A8%D8%A7%D8%A8%D8%A7+%D8%A8%D9%86%DA%AF%D8%A7%D9%84+%D8%B4%D8%A7%DB%81+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3bdcb0662de96341:0xe2877faa7d962dbb!8m2!3d19.0942883!4d74.7447565!16s%2Fg%2F1pp2vcvm3!19sChIJQWPpLWaw3DsRuy2Wfap_h-I?authuser=0&hl=en&rclk=1,"19.0942883,74.7447565"
Jama Masjid (jm` msjd)Badi Masjid,Mosque,"4Q63+48J Jama Masjid (jm` msjd)Badi Masjid, Nagardeole, Ahmednagar, Maharashtra 414001",Nagardeole,4Q63+48J,Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid+%28%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%29Badi+Masjid%E2%80%AD/data=!4m7!3m6!1s0x3bdcb074693b2369:0xb9be150dc34c1fbb!8m2!3d19.1103477!4d74.7532588!16s%2Fg%2F1260p33cj!19sChIJaSM7aXSw3DsRux9Mww0Vvrk?authuser=0&hl=en&rclk=1,"19.1103477,74.7532588"
Inam-Ul-Hasan Masjid & Madrasa,Mosque,"4Q52+XJJ Inam-Ul-Hasan Masjid & Madrasa, Mukundnagar Main Rd, Mukundnagar, Ahmednagar, Maharashtra 414001",Mukundnagar,"4Q52+XJJ, Mukundnagar Main Rd",Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Inam-Ul-Hasan+Masjid+%26+Madrasa/data=!4m7!3m6!1s0x3bdcb0741c5ec4b9:0x1a48c6782595a459!8m2!3d19.1099565!4d74.751509!16s%2Fg%2F11bw66s9pt!19sChIJucReHHSw3DsRWaSVJXjGSBo?authuser=0&hl=en&rclk=1,"19.1099565,74.751509"
Mariyam Masjid (Small),Mosque,"Mariyam Masjid (Small), 108, CIV Housing Society, Mukundnagar, Ahmednagar, Darga Daira, Maharashtra 414001","CIV Housing Society, Mukundnagar",108,"Ahmednagar, Darga Daira",414001,Maharashtra,IN,https://www.google.com/maps/place/Mariyam+Masjid+%28Small%29/data=!4m7!3m6!1s0x3bdcb0751dadcee9:0x307377c865819afe!8m2!3d19.1124145!4d74.7551196!16s%2Fg%2F11bxf_qpy2!19sChIJ6c6tHXWw3DsR_pqBZch3czA?authuser=0&hl=en&rclk=1,"19.1124145,74.7551196"
Muhammadi Masjid,Mosque,"Muhammadi Masjid, 23/12, Mukundnagar Main Rd, Mukundnagar, Darga Daira, Maharashtra 414001",Mukundnagar,"23/12, Mukundnagar Main Rd",Darga Daira,414001,Maharashtra,IN,https://www.google.com/maps/place/Muhammadi+Masjid/data=!4m7!3m6!1s0x3bdcb07486f7433d:0x5082e11cc2b1bc7b!8m2!3d19.1097813!4d74.7544333!16s%2Fg%2F1q6b6gsz4!19sChIJPUP3hnSw3DsRe7yxwhzhglA?authuser=0&hl=en&rclk=1,"19.109781299999998,74.7544333"
Dargah Daira Mehdavia Masjid (Masjid-e-Mahdavia),Religious destination,"4Q56+J8P Dargah Daira Mehdavia Masjid (Masjid-e-Mahdavia), Mukundnagar, Ahmednagar, Maharashtra 414001",Mukundnagar,4Q56+J8P,Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Dargah+Daira+Mehdavia+Masjid+%28Masjid-e-Mahdavia%29/data=!4m7!3m6!1s0x3bdcb00c7021fa65:0xdef1aace039d7e21!8m2!3d19.1090875!4d74.7608281!16s%2Fg%2F1pp2w_768!19sChIJZfohcAyw3DsRIX6dA86q8d4?authuser=0&hl=en&rclk=1,"19.109087499999998,74.7608281"
JK Auto,Chauffeur service,"JK Auto, Hatampura Chauk, Maharashtra 414002",Maliwada,Hatampura Chauk,Ahmednagar,414002,Maharashtra,IN,https://www.google.com/maps/place/JK+Auto/data=!4m7!3m6!1s0x3bdcb06706ec21eb:0xa269980a49ddc523!8m2!3d19.0933696!4d74.7428595!16s%2Fg%2F1hc68q0jq!19sChIJ6yHsBmew3DsRI8XdSQqYaaI?authuser=0&hl=en&rclk=1,"19.0933696,74.7428595"
Mariyam Masjid (Big),Mosque,"4Q53+7X5 Mariyam Masjid (Big), Mukundnagar, Darga Daira, Maharashtra 414001",Mukundnagar,4Q53+7X5,Darga Daira,414001,Maharashtra,IN,https://www.google.com/maps/place/Mariyam+Masjid+%28Big%29/data=!4m7!3m6!1s0x3bdcb0736d9106ef:0xb1efce560b0cd318!8m2!3d19.1081402!4d74.7549961!16s%2Fg%2F11clw6sklh!19sChIJ7waRbXOw3DsRGNMMC1bO77E?authuser=0&hl=en&rclk=1,"19.108140199999998,74.7549961"
Nagapur Masjid,Mosque,"4PW7+J6H Nagapur Masjid, MIDC, Ahmednagar, Maharashtra 414111",MIDC,4PW7+J6H,Ahmednagar,414111,Maharashtra,IN,https://www.google.com/maps/place/Nagapur+Masjid/data=!4m7!3m6!1s0x3bdcba487e40dce9:0xa96239def8394031!8m2!3d19.1465653!4d74.7131219!16s%2Fg%2F11gf8fgrh3!19sChIJ6dxAfki63DsRMUA5-N45Yqk?authuser=0&hl=en&rclk=1,"19.1465653,74.71312189999999"
Takhti Darvaza Masjid,Mosque,"3PVP+5HW Takhti Darvaza Masjid, Nalegaon, Ahmednagar, Maharashtra 414001",Nalegaon,3PVP+5HW,Ahmednagar,414001,Maharashtra,IN,https://www.google.com/maps/place/Takhti+Darvaza+Masjid/data=!4m7!3m6!1s0x3bdcb06055a2e565:0x3749667967e4da42!8m2!3d19.0929772!4d74.7364539!16s%2Fg%2F1tknhxth!19sChIJZeWiVWCw3DsRQtrkZ3lmSTc?authuser=0&hl=en&rclk=1,"19.0929772,74.7364539"
