name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Masjid Amaniya Jamalu ka Bagh msjd mnyh jmlw kh bG,Mosque,"Masjid Amaniya Jamalu ka Bagh msjd mnyh jmlw kh bG, Main, Maujpur Rd, Shahdara, Delhi, 110053",Shahdara,"Main, Maujpur Rd",Delhi,110053,Delhi,IN,https://www.google.com/maps/place/Masjid+Amaniya+Jamalu+ka+Bagh+%D9%85%D8%B3%D8%AC%D8%AF+%D8%A7%D9%85%D8%A7%D9%86%DB%8C%DB%81+%D8%AC%D9%85%D8%A7%D9%84%D9%88+%DA%A9%D8%A7+%D8%A8%D8%A7%D8%BA%E2%80%AD/data=!4m7!3m6!1s0x390cfc7abcd4bae7:0xe8588606af183e3c!8m2!3d28.6855897!4d77.2762341!16s%2Fg%2F11bxdtk5g1!19sChIJ57rUvHr8DDkRPD4YrwaGWOg?authuser=0&hl=en&rclk=1,"28.685589699999998,77.2762341"
Haji Rojdaar Wali Masjid,Mosque,"Haji Rojdaar Wali Masjid, 110074, Kharak, Sat Bari, New Delhi, Delhi 110074","Kharak, Sat Bari",110074,New Delhi,110074,Delhi,IN,https://www.google.com/maps/place/Haji+Rojdaar+Wali+Masjid/data=!4m7!3m6!1s0x390ce024a51f068f:0x1d8c2d91ee022fdd!8m2!3d28.4679055!4d77.2051939!16s%2Fg%2F11c5_hph3y!19sChIJjwYfpSTgDDkR3S8C7pEtjB0?authuser=0&hl=en&rclk=1,"28.467905499999997,77.2051939"
Ijaba Masjid,Mosque,"Ijaba Masjid, 1489/16, Block D, Chand Vihar, New Mustafabad, Delhi, 110094","Block D, Chand Vihar, New Mustafabad",1489/16,Delhi,110094,Delhi,IN,https://www.google.com/maps/place/Ijaba+Masjid/data=!4m7!3m6!1s0x390cfd4112cff819:0x124578cf76e8540b!8m2!3d28.7086594!4d77.2713446!16s%2Fg%2F11j08711wr!19sChIJGfjPEkH9DDkRC1Tods94RRI?authuser=0&hl=en&rclk=1,"28.7086594,77.27134459999999"
Ajijya Masjid,Mosque,"Q7JJ+5XJ Ajijya Masjid, Pavi Sadakpur, Uttar Pradesh 201102",,Q7JJ+5XJ,Pavi Sadakpur,201102,Uttar Pradesh,IN,https://www.google.com/maps/place/Ajijya+Masjid/data=!4m7!3m6!1s0x390cff3247202401:0x5e845de0a9d17e35!8m2!3d28.7804732!4d77.282382!16s%2Fg%2F11hd542t25!19sChIJASQgRzL_DDkRNX7RqeBdhF4?authuser=0&hl=en&rclk=1,"28.7804732,77.282382"
RIYAZUL JANNAHA MASJID,Mosque,"Q76V+QG7 RIYAZUL JANNAHA MASJID, Loni Dehat, Uttar Pradesh 201102",Loni Dehat,Q76V+QG7,,201102,Uttar Pradesh,IN,https://www.google.com/maps/place/RIYAZUL+JANNAHA+MASJID/data=!4m7!3m6!1s0x390cf968cc5321af:0x1885b3b9bdb94bb8!8m2!3d28.761925!4d77.2937949!16s%2Fg%2F11hyk3bd6t!19sChIJryFTzGj5DDkRuEu5vbmzhRg?authuser=0&hl=en&rclk=1,"28.761924999999998,77.2937949"
Ajhari masjid,Mosque,"Ajhari masjid, payal colony, Sector 63, Noida, Uttar Pradesh 201307",Sector 63,payal colony,Noida,201307,Uttar Pradesh,IN,https://www.google.com/maps/place/Ajhari+masjid/data=!4m7!3m6!1s0x390cef61f5379f51:0x2ae9a859b74664a!8m2!3d28.6321497!4d77.3976309!16s%2Fg%2F11jzr295yd!19sChIJUZ839WHvDDkRSmZ0m4WargI?authuser=0&hl=en&rclk=1,"28.6321497,77.3976309"
HADHRAT UMAR MASJID ALMAROOF CHOTI MASJID,Mosque,"HADHRAT UMAR MASJID ALMAROOF CHOTI MASJID, Chotti Masjid, Street number 9, Mulla Colony, Gharoli Extension, Gharoli, Delhi, 110096","Mulla Colony, Gharoli Extension, Gharoli","Chotti Masjid, Street number 9",Delhi,110096,Delhi,IN,https://www.google.com/maps/place/HADHRAT+UMAR+MASJID+ALMAROOF+CHOTI+MASJID/data=!4m7!3m6!1s0x390ce5c6cf830b2f:0x6bb8084dadf0d513!8m2!3d28.6213398!4d77.3314246!16s%2Fg%2F11sy4vfb7s!19sChIJLwuDz8blDDkRE9XwrU0IuGs?authuser=0&hl=en&rclk=1,"28.621339799999998,77.33142459999999"
Masjid e Aqsa,Mosque,"85VV+WJ Masjid e Aqsa, Dhouj, Haryana 121004",,85VV+WJ,Dhouj,,Haryana,IN,https://www.google.com/maps/place/Masjid+e+Aqsa/data=!4m7!3m6!1s0x390d273c100cea5d:0xc69a860edafdd860!8m2!3d28.344859!4d77.194044!16s%2Fg%2F11tg5sl5dg!19sChIJXeoMEDwnDTkRYNj92g6GmsY?authuser=0&hl=en&rclk=1,"28.344859,77.19404399999999"
Masjid Amania,Mosque,"Masjid Amania, Main, Maujpur Rd, Shahdara, Delhi, 110053",Shahdara,"Main, Maujpur Rd",Delhi,110053,Delhi,IN,https://www.google.com/maps/place/Masjid+Amania/data=!4m7!3m6!1s0x390cfd4212229ecb:0x56b4673279cdc3f1!8m2!3d28.6855897!4d77.2762341!16s%2Fg%2F11s0s2pf6g!19sChIJy54iEkL9DDkR8cPNeTJntFY?authuser=0&hl=en&rclk=1,"28.685589699999998,77.2762341"
