name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Noraani Masjid Aland,Mosque,"HH97+9GV Noraani Masjid Aland, moholla, Noorani Mohalla, Manolli, Karnataka",Noorani Mohalla,"HH97+9GV, moholla","Manolli, Aland",,Karnataka,IN,https://www.google.com/maps/place/Noraani+Masjid+Aland/data=!4m7!3m6!1s0x3bc8acbb9bbeb193:0xd35f6460278372c!8m2!3d17.5684797!4d76.5637817!16s%2Fg%2F11b825h2ml!19sChIJk7G-m7usyDsRLDd4Akb2NQ0?authuser=0&hl=en&rclk=1,"17.568479699999997,76.56378169999999"
Ladlemashak Darga,Mosque,"HH55+GR Ladlemashak Darga, Aland, Karnataka 585302",,HH55+GR,Aland,,Karnataka,IN,https://www.google.com/maps/place/Ladlemashak+Darga/data=!4m7!3m6!1s0x3bc8ad34b0e38631:0x66b879b25f58a!8m2!3d17.5587873!4d76.559565!16s%2Fg%2F11ptpg9ntf!19sChIJMYbjsDStyDsRivUlm4drBgA?authuser=0&hl=en&rclk=1,"17.5587873,76.55956499999999"
Jamia Masjid,Mosque,"HH69+PC4 Jamia Masjid, Aland, Karnataka 585302",,HH69+PC4,Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Jamia+Masjid/data=!4m7!3m6!1s0x3bc8ac9586ef4f23:0x72674ea0ff8f4ef4!8m2!3d17.561768!4d76.5685755!16s%2Fg%2F12hz1zyy3!19sChIJI0_vhpWsyDsR9E6P_6BOZ3I?authuser=0&hl=en&rclk=1,"17.561768,76.5685755"
Didi Masjid,Mosque,"HH88+FH2 Didi Masjid, Aland, Karnataka 585302",,HH88+FH2,Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Didi+Masjid/data=!4m7!3m6!1s0x3bc8acbe9f707587:0xbd746a09a9c9e206!8m2!3d17.5661485!4d76.5663815!16s%2Fg%2F12hnrff1n!19sChIJh3Vwn76syDsRBuLJqQlqdL0?authuser=0&hl=en&rclk=1,"17.5661485,76.56638149999999"
Ali Farhaad Khan Masjid (Kali Masjid),Mosque,"HH45+PC2 Ali Farhaad Khan Masjid (Kali Masjid), New Makhdoompura, SH 34, behind dargah, Aland, Karnataka 585302",,"HH45+PC2, New Makhdoompura, SH 34, behind dargah",Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Ali+Farhaad+Khan+Masjid+%28Kali+Masjid%29/data=!4m7!3m6!1s0x3bc8ac9996894155:0x98f9609304c68e67!8m2!3d17.5567613!4d76.5585132!16s%2Fg%2F11gbk1c168!19sChIJVUGJlpmsyDsRZ47GBJNg-Zg?authuser=0&hl=en&rclk=1,"17.556761299999998,76.5585132"
Jama Masjid Aland,Mosque,"5HW2+G7F Jama Masjid Aland, Aland, Maharashtra 431151",Aland,5HW2+G7F,,431151,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid+Aland/data=!4m7!3m6!1s0x3bdbc8b61f213cf5:0x4f44704252d36d2!8m2!3d20.1963039!4d75.5506691!16s%2Fg%2F11bzt9j743!19sChIJ9TwhH7bI2zsR0jYtJQRH9AQ?authuser=0&hl=en&rclk=1,"20.1963039,75.5506691"
Siddiqui Masjid,Mosque,"HH89+QCG Siddiqui Masjid, SH 32, Aland, Karnataka 585302",,"HH89+QCG, SH 32",Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Siddiqui+Masjid/data=!4m7!3m6!1s0x3bc8acbed31c15e5:0x8c65bfe1d7bad2d9!8m2!3d17.566945!4d76.5685862!16s%2Fg%2F11cjh_zqm0!19sChIJ5RUc076syDsR2dK61-G_ZYw?authuser=0&hl=en&rclk=1,"17.566945,76.5685862"
Badi Masjid,Mosque,"HH88+MVJ Badi Masjid, Aland, Karnataka 585302",,HH88+MVJ,Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Badi+Masjid/data=!4m7!3m6!1s0x3bc8acbebbbff307:0x310fa31a6c2117dc!8m2!3d17.5667046!4d76.5671536!16s%2Fg%2F11c7hdtp5k!19sChIJB_O_u76syDsR3BchbBqjDzE?authuser=0&hl=en&rclk=1,"17.566704599999998,76.5671536"
Gadi Masjid,Mosque,"HH79+26W Gadi Masjid, Sri Ram Market Rd, Sri Ram Market, Aland, Karnataka 585302",Sri Ram Market,"HH79+26W, Sri Ram Market Rd",Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Gadi+Masjid/data=!4m7!3m6!1s0x3bc8acbe0e9e63bf:0xec5efa65fc42aebf!8m2!3d17.5626052!4d76.5680719!16s%2Fg%2F11b8064248!19sChIJv2OeDr6syDsRv65C_GX6Xuw?authuser=0&hl=en&rclk=1,"17.5626052,76.56807189999999"
Aqsa Jamia Masjid,Mosque,"GHV7+8VG Aqsa Jamia Masjid, Aland, Karnataka 585302",,GHV7+8VG,Aland,585302,Karnataka,IN,https://www.google.com/maps/place/Aqsa+Jamia+Masjid/data=!4m7!3m6!1s0x3bc8ac8938a8f69f:0x2a1e9e794742d3e!8m2!3d17.5433!4d76.5647051!16s%2Fg%2F11c72v3fnd!19sChIJn_aoOImsyDsRPi10lOfpoQI?authuser=0&hl=en&rclk=1,"17.5433,76.5647051"
