place_id,place_name,about,link
ChIJe1-u1ITvNzoRM-n2WPfEHa0,Big Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LXkmyiyTghRvMuX9JXafkQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.6536&pitch=0&thumbfov=100
ChIJe1-u1ITvNzoRM-n2WPfEHa0,Big Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LXkmyiyTghRvMuX9JXafkQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.6536&pitch=0&thumbfov=100
ChIJSZEzaA7vNzoR7jAVSdSE190,ASHOORKHANA E BIBI SAKEENA,All,https://lh5.googleusercontent.com/p/AF1QipN19xuUBZ_FKnAvWfCj3KWaMj6U2MN-pgW4vs-F=w224-h298-k-no
ChIJpfrUwFQdDTkRnqD0qFv5Xa4,Amalapuram,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DVnNTGnU-V5gR9Xj169cCA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=87.472534&pitch=0&thumbfov=100
ChIJpfrUwFQdDTkRnqD0qFv5Xa4,Amalapuram,Exterior,https://lh5.googleusercontent.com/p/AF1QipN7n5HFYUT1k7FfnLuy_1vKd_mF3wuklZU_ibsU=w529-h298-k-no
ChIJpfrUwFQdDTkRnqD0qFv5Xa4,Amalapuram,Videos,https://lh5.googleusercontent.com/p/AF1QipN7n5HFYUT1k7FfnLuy_1vKd_mF3wuklZU_ibsU=w529-h298-k-no
ChIJpfrUwFQdDTkRnqD0qFv5Xa4,Amalapuram,From visitors,https://lh5.googleusercontent.com/p/AF1QipN7n5HFYUT1k7FfnLuy_1vKd_mF3wuklZU_ibsU=w529-h298-k-no
ChIJpfrUwFQdDTkRnqD0qFv5Xa4,Amalapuram,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DVnNTGnU-V5gR9Xj169cCA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=87.472534&pitch=0&thumbfov=100
ChIJAQBAXITvNzoRhDAh3pYFJlk,Amalapuram Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ArG0z28jbDJpM5xtmjAW1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.83382&pitch=0&thumbfov=100
ChIJAQBAXITvNzoRhDAh3pYFJlk,Amalapuram Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ArG0z28jbDJpM5xtmjAW1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.83382&pitch=0&thumbfov=100
