place_id,place_name,about,link
ChIJ0UbUnNwIrTsRtitPAqBWB-Q,TNTJ Eidgah(Eid Mussallah),All,https://lh5.googleusercontent.com/p/AF1QipOSHAKmZ-Ir2Eswo-nXdM-iQSU-Kg9g5kMlNy_M=w397-h298-k-no
ChIJb2KZpEsJrTsRt7vonUO10v4,Masjid E Rasheedh (TNTJ Bazaar Branch),All,https://lh5.googleusercontent.com/p/AF1QipPtqcaWlHOyG_0ZxbnZXHILSoQ_rI5sMSjslSEJ=w529-h298-k-no
ChIJW8fo7z0JrTsRiladRER5TIY,MASJID E UMAR ZULAIQA,All,https://lh5.googleusercontent.com/p/AF1QipNokI1P9q0FOKJ_lW_p19_GYs7bbV3Y7XDkcckQ=w476-h298-k-no
ChIJW8fo7z0JrTsRiladRER5TIY,MASJID E UMAR ZULAIQA,By owner,https://lh5.googleusercontent.com/p/AF1QipP84ARHPkG5ARxaU6S0JQfazyAQsXycbTHsR4dT=w298-h298-k-no
ChIJQRPGWv0IrTsRzMAhMfITfT8,Jamia Masjid - Big mosque(brry msjd)VANIYAMBADI,All,https://lh5.googleusercontent.com/p/AF1QipMGhAoin8CryuWpnOMdChpQZZbhmkXrBCp4gWWY=w224-h398-k-no
ChIJQRPGWv0IrTsRzMAhMfITfT8,Jamia Masjid - Big mosque(brry msjd)VANIYAMBADI,Videos,https://lh5.googleusercontent.com/p/AF1QipO1hhGh6jG99vPjV8MQyVEbOuLiJcFVJw4PcooU=w229-h298-k-no
ChIJt2Jwxx0JrTsResurJcuEwuk,MASJID-E-HASHIM msjd hshm,All,https://lh5.googleusercontent.com/p/AF1QipPIsdl2wFfcI7QpUA7HdzUQKkNn9QhhYC4mm-Vy=w224-h298-k-no
ChIJxc0tROEIrTsRcJkiAMSIoBc,Neelifield Masjid (msjd nyly khhyt),All,https://lh5.googleusercontent.com/p/AF1QipMUUVNU7bQd52SJF8gYgBW4vQa-6yO97vGXaSk=w397-h298-k-no
ChIJxc0tROEIrTsRcJkiAMSIoBc,Neelifield Masjid (msjd nyly khhyt),Dome,https://lh5.googleusercontent.com/p/AF1QipP5VgNxXQwK-kdapsZlTzjW81MlWI6yupKTuGna=w529-h298-k-no
ChIJxc0tROEIrTsRcJkiAMSIoBc,Neelifield Masjid (msjd nyly khhyt),Videos,https://lh5.googleusercontent.com/p/AF1QipOBylmDJ-Nrof_EPsBlRSPYIoHFgsK09cjd4oRA=w397-h298-k-no
ChIJr_kLHf0IrTsRrinCsSTtHEU,Choti Masjid Shadi Mahal,All,https://lh5.googleusercontent.com/p/AF1QipMy0e1tjGW6BSaDATP6LBOPTdRF0saW21ElGkoG=w529-h298-k-no
ChIJ5RzmWuQIrTsRUXckr2mCbXY,Masjid-E-Mohideen Pura,All,https://lh5.googleusercontent.com/p/AF1QipNm8ug9esMEDo9Llk6B9_cc2rGubiUIEyLrvMJZ=w397-h298-k-no
ChIJ5RzmWuQIrTsRUXckr2mCbXY,Masjid-E-Mohideen Pura,Latest,https://lh5.googleusercontent.com/p/AF1QipPzpXSF6c35Xiz81ilZFhmsLQy_tKW1-am_ZwEy=w224-h404-k-no
ChIJ0YM0h-IIrTsRJskDmUcq9iE,Noorullahpet Mosque,All,https://lh5.googleusercontent.com/p/AF1QipPLK6Z5D8m2K13BU7-Rw7LpSxMCQJtcRLHlyKMG=w397-h298-k-no
ChIJ0YM0h-IIrTsRJskDmUcq9iE,Noorullahpet Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipPEGjQN6r3fePT9GK0zxNnvhtQDf972hFox2sXN=w298-h298-k-no
ChIJ4V5d8fwIrTsRAeUXhn0M5QM,Kangerthakiya Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNy-Xx8AxTQQYObKeEFSN8yh9ekXy2YJ96VuwdF=w224-h397-k-no
ChIJ_5wy5OAIrTsRkXpDQMYaMkQ,Masjid-e-Baitul Mukarram (Phool Baagh Masjid),All,https://lh5.googleusercontent.com/p/AF1QipOWYbM3J5CnofjTUvUwO0oNXLUPi8xiD8WlmQ_j=w224-h298-k-no
ChIJ_5wy5OAIrTsRkXpDQMYaMkQ,Masjid-e-Baitul Mukarram (Phool Baagh Masjid),Dome,https://lh5.googleusercontent.com/p/AF1QipOWYbM3J5CnofjTUvUwO0oNXLUPi8xiD8WlmQ_j=w224-h298-k-no
ChIJncjYreEIrTsRP0D8pk5VXS8,Masjid-E-Showkath Ali,All,https://lh5.googleusercontent.com/p/AF1QipNpiBFB32yen1Lz0mUh948W5heL8wYzsNZvdLT8=w397-h298-k-no
ChIJC2ibluMIrTsRT8DOxO6PKoo,Sandapet Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNMubySAloxrw60l-lnZAx6N3yeTrYX8n0F8umg=w224-h298-k-no
ChIJC2ibluMIrTsRT8DOxO6PKoo,Sandapet Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNMubySAloxrw60l-lnZAx6N3yeTrYX8n0F8umg=w224-h298-k-no
