place_id,place_name,about,link
ChIJbRu_voSk1jsRQWr4COkS6x0,"Camp Masjid, Chaprasi Pura Square, Amravati",All,https://lh5.googleusercontent.com/p/AF1QipOLDTdI2LSNzHoTV0fRcVrJ9rCEI5Yh6TPaJoFK=w397-h298-k-no
ChIJbRu_voSk1jsRQWr4COkS6x0,"Camp Masjid, Chaprasi Pura Square, Amravati",Videos,https://lh5.googleusercontent.com/p/AF1QipO1Fp7eotKtCRuw1mHErKjF6qBHQvFujtf5iJOB=w224-h398-k-no
ChIJ_y8Ehauk1jsRsvJc6pERvzQ,Jama Masjid Markaz Sabanpura Amravati,All,https://lh5.googleusercontent.com/p/AF1QipOKRCQRBh1pAuIq-ZZc5H3ocOcwDw4VgEuRaF1c=w529-h298-k-no
ChIJ_y8Ehauk1jsRsvJc6pERvzQ,Jama Masjid Markaz Sabanpura Amravati,Dome,https://lh5.googleusercontent.com/p/AF1QipOvKl6Ifv8Xr3PYSbS-jlWqZ0MXxp_eokWWnFcc=w224-h485-k-no
ChIJ_y8Ehauk1jsRsvJc6pERvzQ,Jama Masjid Markaz Sabanpura Amravati,Videos,https://lh5.googleusercontent.com/p/AF1QipO8cZX8eiKVjFI3YVwtCUlb6_ye2VieAp4aN3aQ=w224-h398-k-no
ChIJ_y8Ehauk1jsRsvJc6pERvzQ,Jama Masjid Markaz Sabanpura Amravati,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nWDNCWapfu0qfcQwlW-2vQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=332.73602&pitch=0&thumbfov=100
ChIJ2yFehVul1jsRGaEwPg1Dz9M,Usmania Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMSutxgiE2C2REpI25qGA7wsw7aFm9hmIOxPr2N=w438-h298-k-no
ChIJ2yFehVul1jsRGaEwPg1Dz9M,Usmania Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOiQ1XicsZMXGj5Lsp4JrH-pj9EJnNWQ1xxUq4=w224-h398-k-no
ChIJ2yFehVul1jsRGaEwPg1Dz9M,Usmania Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPHx-p4VAQYSolD8BzzVgJH-u5Mc5bF1v92pZCO=w224-h398-k-no
ChIJ2yFehVul1jsRGaEwPg1Dz9M,Usmania Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FoUZxHroeA-ImBoImPENBA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=159.46991&pitch=0&thumbfov=100
