place_id,place_name,about,link
ChIJ53AjCryAWDkRrfd7i5kdmSE,Jumma Masjid Kasbawad,All,https://lh5.googleusercontent.com/p/AF1QipNO75twXdog0elH2aj1T0ySiiV13YK03UATXzRP=w530-h298-k-no
ChIJ53AjCryAWDkRrfd7i5kdmSE,Jumma Masjid Kasbawad,Dome,https://lh5.googleusercontent.com/p/AF1QipPF3ZZqmUxqqtzeNfz2o3ecNW3L41DfCXpa3Aln=w529-h298-k-no
ChIJ53AjCryAWDkRrfd7i5kdmSE,Jumma Masjid Kasbawad,Videos,https://lh5.googleusercontent.com/p/AF1QipPOPevbNAlGCl40w0PcDgD4hpP81fv68Lpa1D7A=w224-h395-k-no
ChIJ53AjCryAWDkRrfd7i5kdmSE,Jumma Masjid Kasbawad,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aLWu9eks5PsP32MLKM7XLA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=34.937645&pitch=0&thumbfov=100
ChIJOwJal7-AWDkRMBKiIlIUM28,Masjid e Nagina (Markaz),All,https://lh5.googleusercontent.com/p/AF1QipN6svPZ79n_nyB2TTixf9VowFiQknQVJoTlietF=w224-h298-k-no
ChIJOwJal7-AWDkRMBKiIlIUM28,Masjid e Nagina (Markaz),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T2canfUe8r5O9_xOosKkoA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=211.35707&pitch=0&thumbfov=100
ChIJNX6YOb6AWDkRECFWlRhZ1m4,"Madina Masjid, mdiinaa msjid",All,https://lh5.googleusercontent.com/p/AF1QipM2a2Gp6DSOLTEVqoYFrOt06hNoK4I1N-qsLLeC=w224-h298-k-no
ChIJNX6YOb6AWDkRECFWlRhZ1m4,"Madina Masjid, mdiinaa msjid",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hSbwlxwn6aZWoMmznu7H_A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=146.82594&pitch=0&thumbfov=100
ChIJNX6YOb6AWDkRECFWlRhZ1m4,"Madina Masjid, mdiinaa msjid",Videos,https://lh5.googleusercontent.com/p/AF1QipNeY-CmQC6S3Poe60RhRVn6r-rfY6gOvo0pTyCW=w224-h407-k-no
ChIJK3NN1buAWDkRxTa0kuGwQzE,Masjid A Ganni,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yu33nIGrYRgjebAoS1LLCw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=101.04976&pitch=0&thumbfov=100
ChIJK3NN1buAWDkRxTa0kuGwQzE,Masjid A Ganni,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yu33nIGrYRgjebAoS1LLCw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=101.04976&pitch=0&thumbfov=100
ChIJJanKRrGAWDkRhKXAV4AIhS0,"Roshan Masjid, roshn msjid",All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m3EFwAW8i5X0mjevsuNksw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=57.892815&pitch=0&thumbfov=100
ChIJJanKRrGAWDkRhKXAV4AIhS0,"Roshan Masjid, roshn msjid",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m3EFwAW8i5X0mjevsuNksw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=57.892815&pitch=0&thumbfov=100
ChIJTx54eb6AWDkRiPS7hwxNxcA,Masjid E Al Imran,All,https://lh5.googleusercontent.com/p/AF1QipPVzY2_krjxteyzg4Gt-KvPVMXhdUkyjPmKrB7P=w224-h398-k-no
ChIJTx54eb6AWDkRiPS7hwxNxcA,Masjid E Al Imran,Videos,https://lh5.googleusercontent.com/p/AF1QipMGV9BhKQuNeRxcgUMwmQmN054-YOxFGpE_se-O=w224-h398-k-no
ChIJQyfw47uAWDkR5lMIEKCLkrE,Arabvada Masjid AMRELI,All,https://lh5.googleusercontent.com/p/AF1QipMjlWX5cvlaQwJfg_Um8Ache2og_BlLjGNJAgYN=w224-h298-k-no
ChIJi4bF672AWDkRKXlp4vkAxJA,"Taqwa Masjid, msjide tkvaa",All,https://lh5.googleusercontent.com/p/AF1QipMbpq3PXuHVRn3hx_JVQOl53mM3fUMYvb7rby3i=w224-h298-k-no
ChIJi4bF672AWDkRKXlp4vkAxJA,"Taqwa Masjid, msjide tkvaa",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QK2vesnQd3VJWgfhffLHfw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.04977&pitch=0&thumbfov=100
ChIJDXa5Vr6AWDkRuF9_14GpXOE,Masjid E Swalihin,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VQ3gPTzXp9mFMfzxJKjZtA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=13.623093&pitch=0&thumbfov=100
ChIJDXa5Vr6AWDkRuF9_14GpXOE,Masjid E Swalihin,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VQ3gPTzXp9mFMfzxJKjZtA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=13.623093&pitch=0&thumbfov=100
ChIJZ7N_AumBWDkRjIbEj2lLy-U,Jamila Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VBTOv51JraGknc0GWmSluw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=121.66881&pitch=0&thumbfov=100
ChIJZ7N_AumBWDkRjIbEj2lLy-U,Jamila Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VBTOv51JraGknc0GWmSluw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=121.66881&pitch=0&thumbfov=100
ChIJuRa-PXqBWDkR6KVdsR1oFgA,Masjid- E- MAA MARYAM,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gkj_JNaCcCvFcjumVo7ghg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=17.50031&pitch=0&thumbfov=100
ChIJuRa-PXqBWDkR6KVdsR1oFgA,Masjid- E- MAA MARYAM,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gkj_JNaCcCvFcjumVo7ghg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=17.50031&pitch=0&thumbfov=100
ChIJR-WB9dCBWDkRG4-PZEsxlps,Masjid-e-arrahman,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mZ0GXMrq_Jp0xbVnau5tJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=102.190544&pitch=0&thumbfov=100
ChIJR-WB9dCBWDkRG4-PZEsxlps,Masjid-e-arrahman,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mZ0GXMrq_Jp0xbVnau5tJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=102.190544&pitch=0&thumbfov=100
ChIJU0uGd_qBWDkRfPmERHLG2L4,hjhrt shaikh jaanmohNmd daadaa (r.a) amrelii,All,https://lh5.googleusercontent.com/p/AF1QipNblWssMZ6ulbxRiX4evXQ5nJIN-v-5wRkBj960=w662-h298-k-no
ChIJU0uGd_qBWDkRfPmERHLG2L4,hjhrt shaikh jaanmohNmd daadaa (r.a) amrelii,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LTS5IOUrTK5H--T6eFlgeg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=323.80515&pitch=0&thumbfov=100
ChIJU0uGd_qBWDkRfPmERHLG2L4,hjhrt shaikh jaanmohNmd daadaa (r.a) amrelii,Videos,https://lh5.googleusercontent.com/p/AF1QipMxEFtiLldhnccZFIkCV-2bdDvxiIIc_neLakLr=w298-h298-k-no
ChIJtehH5l-BWDkRPz1Ybekv2aU,hjhrt srkaar saiyad dilaavr baapu jhaidii cishtii bNdaanvaajhii (r.a),All,https://lh5.googleusercontent.com/p/AF1QipODl4_iKduToWAFuyxp2b6S4CnO9-3vvaQ6NqDN=w224-h298-k-no
ChIJtehH5l-BWDkRPz1Ybekv2aU,hjhrt srkaar saiyad dilaavr baapu jhaidii cishtii bNdaanvaajhii (r.a),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8i4usBzL_YcYtO6ZpCrZaA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=23.139585&pitch=0&thumbfov=100
ChIJtehH5l-BWDkRPz1Ybekv2aU,hjhrt srkaar saiyad dilaavr baapu jhaidii cishtii bNdaanvaajhii (r.a),Videos,https://lh5.googleusercontent.com/p/AF1QipPfLj7MFbvy7AL_PDGs8v__CvVepf_onZvpock3=w224-h398-k-no
ChIJL0o-LFuBWDkRdQmB7b6vF38,Masjid E Fatema Aadam,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xUXj_NRcNxE4-yuguV1icA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=16.059294&pitch=0&thumbfov=100
ChIJL0o-LFuBWDkRdQmB7b6vF38,Masjid E Fatema Aadam,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xUXj_NRcNxE4-yuguV1icA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=16.059294&pitch=0&thumbfov=100
ChIJ0WdMjAiBWDkRKP5Bc8kjYRg,Bargahe mohmmadi khoja Shia isna asri masjid,All,https://lh5.googleusercontent.com/p/AF1QipPoHR4lu97CTWDjF_-MRieUsm_U4zMC7ihjD-GX=w224-h398-k-no
ChIJ0WdMjAiBWDkRKP5Bc8kjYRg,Bargahe mohmmadi khoja Shia isna asri masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T4Q4eKVG5iE1XHkKEGG9_w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.27832&pitch=0&thumbfov=100
