place_id,place_name,about,link
ChIJx0FsIxL9DDkRXwlYoAvn8wU,Fatehpuri Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPFhPqL1ex4Xf0MvwLX7TvhPGyJa9OMy8KgmMxI=w397-h298-k-no
ChIJx0FsIxL9DDkRXwlYoAvn8wU,Fatehpuri Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOTWh5xjGN_qJGs8hadsHpNsXIbyr7XGAv7JR5S=w224-h398-k-no
ChIJx0FsIxL9DDkRXwlYoAvn8wU,Fatehpuri Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNCH-TeaIGUImKMZHcmH_b5RAr3AzsDcsWd0P8c=w224-h398-k-no
ChIJx0FsIxL9DDkRXwlYoAvn8wU,Fatehpuri Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMsIqD67Fte9-XNOn53NflaGoQ37ruPgO2aiErw=w470-h298-k-no
ChIJx0FsIxL9DDkRXwlYoAvn8wU,Fatehpuri Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMC8kuGhLdFoPEyXd5jnmvZ2rDwDlJx6-eV1Ec=w224-h298-k-no-pi-16.768488-ya80.707405-ro-0-fo100
ChIJqU8NOzkfejkRASWIdr4V4PM,Shri Anandpur Dham,All,https://lh5.googleusercontent.com/p/AF1QipPA1XSDFi5B5vRe_XI4_re0xDrWuN1qo5oAZM4s=w397-h298-k-no
ChIJqU8NOzkfejkRASWIdr4V4PM,Shri Anandpur Dham,Videos,https://lh5.googleusercontent.com/p/AF1QipOOaBl9jJzloVk_7DwJldv5BWIhCepQk-81_AAf=w224-h407-k-no
ChIJA32PYQPlDDkRNWwr9_2erfY,"Shri Anandpur Satsang Ashram, N-25, Noida",All,https://lh5.googleusercontent.com/p/AF1QipO9xhUMLUWWDcgUBs14qRi6-3h2uHnZE_KOMu2g=w397-h298-k-no
ChIJA32PYQPlDDkRNWwr9_2erfY,"Shri Anandpur Satsang Ashram, N-25, Noida",Videos,https://lh5.googleusercontent.com/p/AF1QipM5hyXbASnHY3gf9t2bTLTBH1NrvzjiCQvKDre5=w529-h298-k-no
ChIJSVUu8Ko55TkRk6jdNA3SVzk,Hazi Turab Ali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO_nEBYzgPO7hF4YAKbpvINrp2f5VwMJG6bAlBn=w224-h398-k-no
