place_id,place_name,about,link
ChIJZZPeZ8lLsTsR9LuDLmOHv6g,Masjid E Abu Bakar,All,https://lh5.googleusercontent.com/p/AF1QipOCZkmxsoCkkpabdwSeATgkayXfZsivodFuKYt2=w224-h298-k-no
ChIJZZPeZ8lLsTsR9LuDLmOHv6g,Masjid E Abu Bakar,By owner,https://lh5.googleusercontent.com/p/AF1QipP_CMoKdlkGDKamlRXb1IfDHsw291fWo8HJXFs5=w298-h298-k-no
ChIJZZPeZ8lLsTsR9LuDLmOHv6g,Masjid E Abu Bakar,Videos,https://lh5.googleusercontent.com/p/AF1QipMiYtl1tM7mw9K3bUWJtHt51PkWpVo0WlPQs_vx=w411-h298-k-no
ChIJZZPeZ8lLsTsR9LuDLmOHv6g,Masjid E Abu Bakar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9bHM37d-hLCYJMy5ikj-NQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=281.7566&pitch=0&thumbfov=100
ChIJgx2tIOJKsTsRJKx6KpKnq-g,Noorani masjid,All,https://lh5.googleusercontent.com/p/AF1QipO05cLQM9TwlyT88KQONKVgvwoY58fvGRyA0AsJ=w224-h298-k-no
ChIJgx2tIOJKsTsRJKx6KpKnq-g,Noorani masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pbxJ-mBMzrEU54PK0m29sQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=105.94879&pitch=0&thumbfov=100
ChIJgx2tIOJKsTsRJKx6KpKnq-g,Noorani masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMEsh7QjameEB02JULafrxxg5-X6Oi-7ZOZTNqI=w224-h398-k-no
ChIJ4QuVxNhKsTsR8NC_bgHqmSg,Jangal Palli Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMHrDKNjYqHn9TfLxkT58ymbz44-8sxd63_odsR=w397-h298-k-no
ChIJ4QuVxNhKsTsR8NC_bgHqmSg,Jangal Palli Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PUYk87KmQs5Q08T8tJZXyQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=145.22662&pitch=0&thumbfov=100
ChIJ4QuVxNhKsTsR8NC_bgHqmSg,Jangal Palli Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNp_jDokwGGEOvFY30aXDG80Y6ROZxXvEYNEqU=w224-h398-k-no
ChIJCXtfyeBKsTsRRwVs0tIj4y8,Masjid E Rahamaniya,All,https://lh5.googleusercontent.com/p/AF1QipP8TBMjiJ3gWrNzJ_D37_lsD85unPpCwe3-mBwr=w224-h298-k-no
ChIJCXtfyeBKsTsRRwVs0tIj4y8,Masjid E Rahamaniya,Dome,https://lh5.googleusercontent.com/p/AF1QipOToIWwuQ8zgAVZDa5kKjN8yqk0Nh3Q6HhcZ6yE=w224-h448-k-no
ChIJCXtfyeBKsTsRRwVs0tIj4y8,Masjid E Rahamaniya,Videos,https://lh5.googleusercontent.com/p/AF1QipNiPGBR-KzTK__nWNUVSy9ZUarCsEwxjXln219M=w224-h398-k-no
ChIJCXtfyeBKsTsRRwVs0tIj4y8,Masjid E Rahamaniya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FFSMoGGWhCMk5hB8R9JKJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=209.06311&pitch=0&thumbfov=100
ChIJe6YIlblKsTsRTRDJ9bo1lAM,Mohammad Tara Masjid.,All,https://lh5.googleusercontent.com/p/AF1QipMP2jWrlbUAq7ASYcyZ0GYWjN3M1Ni3gVv5vsEY=w646-h298-k-no
ChIJe6YIlblKsTsRTRDJ9bo1lAM,Mohammad Tara Masjid.,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zQ9UJILJN0u8brSJb8fcJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=229.6135&pitch=0&thumbfov=100
ChIJe6YIlblKsTsRTRDJ9bo1lAM,Mohammad Tara Masjid.,Videos,https://lh5.googleusercontent.com/p/AF1QipNEAzyaCMm8kfycMIiY0SPsWeqYrpvyCTPwU2k=w529-h298-k-no
ChIJ786XLS9LsTsRw-6UqeqhOGg,Masjid-e-Raza Bhavaninagar,All,https://lh5.googleusercontent.com/p/AF1QipMUIOzv1PcGwbnE2p2mmleYAX8BkDqLbp4OVio7=w397-h298-k-no
ChIJ786XLS9LsTsRw-6UqeqhOGg,Masjid-e-Raza Bhavaninagar,Latest,https://lh5.googleusercontent.com/p/AF1QipO9euY_qpwb-MyqiEQpMHyl2tOtlku1YF--l7X9=w397-h298-k-no
ChIJ786XLS9LsTsRw-6UqeqhOGg,Masjid-e-Raza Bhavaninagar,Videos,https://lh5.googleusercontent.com/p/AF1QipMyJWjZnvRem2ncFf7LESuMuiv_5ewbS2iPmkb0=w541-h298-k-no
ChIJ786XLS9LsTsRw-6UqeqhOGg,Masjid-e-Raza Bhavaninagar,Dome,https://lh5.googleusercontent.com/p/AF1QipOFoDFwrmesDYsg1iGKmxgm267p-tNTPlH2B33j=w397-h298-k-no
ChIJ786XLS9LsTsRw-6UqeqhOGg,Masjid-e-Raza Bhavaninagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6KhZhxWgeExfl9fJVQzDBA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.1864&pitch=0&thumbfov=100
ChIJJ0986shKsTsRW1KdnMw8hr4,Mohammadiya masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m-0DINmDNbGmRqrFijQjpA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=147.09328&pitch=0&thumbfov=100
ChIJJ0986shKsTsRW1KdnMw8hr4,Mohammadiya masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m-0DINmDNbGmRqrFijQjpA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=147.09328&pitch=0&thumbfov=100
ChIJ_Xg3Qs5KsTsR8QUnB7aDMRk,2nd Road Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNS8-UXhuf-_yUrYLoRSFuoGTJRq41wfpbtnUVG=w224-h298-k-no
ChIJ_Xg3Qs5KsTsR8QUnB7aDMRk,2nd Road Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMh_dMiAZlLV7VWY4FnUIV8x_btT-CAgmMR9fpy=w224-h398-k-no
ChIJ_Xg3Qs5KsTsR8QUnB7aDMRk,2nd Road Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMyJrc2MXkUNdRoIXCFH4vqyRUR1pn8HYvNpiiI=w224-h398-k-no
ChIJ_Xg3Qs5KsTsR8QUnB7aDMRk,2nd Road Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xroEVEHUBvUHHv4YXeVP6Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.65817&pitch=0&thumbfov=100
ChIJo9nGEsBKsTsRcOQqyU-nB7w,Masjid-E-Nimrah,All,https://lh5.googleusercontent.com/p/AF1QipP55Sje6-U9whmCjN-7WKnLp2ynpDcZF-exFMw6=w224-h298-k-no
ChIJo9nGEsBKsTsRcOQqyU-nB7w,Masjid-E-Nimrah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rTzvRpae7hco0AL-2RViyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=316.9719&pitch=0&thumbfov=100
ChIJWWQkeihLsTsRxE4pfXsIwaI,Towhid masjid,All,https://lh5.googleusercontent.com/p/AF1QipPFv_Yl7SxNQ0GbqYHNx1c5MjuIhuT3CyAVQDwC=w529-h298-k-no
ChIJWWQkeihLsTsRxE4pfXsIwaI,Towhid masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yq3s9iQgM62UtNJmnUhxFA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=241.74661&pitch=0&thumbfov=100
