place_id,place_name,about,link
ChIJ5R_AlJ5sADsRuDqDaIT61Vo,Aranthangi Central Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOUZJk3akZodGNGqrRojAdhSThbypTla3_I1FQ6=w224-h298-k-no
ChIJ5R_AlJ5sADsRuDqDaIT61Vo,Aranthangi Central Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bv3FQx4Z7SJKk1NzCKuEJQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=26.758766&pitch=0&thumbfov=100
ChIJ5R_AlJ5sADsRuDqDaIT61Vo,Aranthangi Central Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipPeSXEyJ29EHvdg51uWzsvA7fDmvNRWV8Ui-jCg=w529-h298-k-no
ChIJw8Rm5J1sADsRvMXoqsznVek,Arabic School Mosque,All,https://lh5.googleusercontent.com/p/AF1QipPnlZT37iY4O1UV_su5lIq5_ZIZTO3PzyqPzxAo=w397-h298-k-no
ChIJw8Rm5J1sADsRvMXoqsznVek,Arabic School Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wp7XZ75hOggbG9e4AdhFAQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=353.9337&pitch=0&thumbfov=100
ChIJhTGs6fcTADsRmffeZcaV9cI,Muslim street end,All,https://lh5.googleusercontent.com/p/AF1QipP5f9gKxKDxQU_pnts2ky5lwu9_IknIoT5Zmpny=w529-h298-k-no
ChIJhTGs6fcTADsRmffeZcaV9cI,Muslim street end,Videos,https://lh5.googleusercontent.com/p/AF1QipNmV_axkE6V0pisn3a224aBduNDsQ6JQqj8DE3y=w224-h398-k-no
ChIJMUxNwF9rADsRtwhwGsFu5AM,Al Thakwa Mosque,All,https://lh5.googleusercontent.com/p/AF1QipM2Kc4UbKvDTP-Wa3FkiCSpvAZAPbZJLxe4S2Xi=w224-h398-k-no
ChIJMUxNwF9rADsRtwhwGsFu5AM,Al Thakwa Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ITApfksZ_DRkRhtccW5oTw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=11.351878&pitch=0&thumbfov=100
ChIJMUxNwF9rADsRtwhwGsFu5AM,Al Thakwa Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipM45105_lLJ2gbhOp7-24sr9qhRowgocWz01IKo=w529-h298-k-no
ChIJD41cg2FrADsRyUedyRyc3io,Masjithur Rahman Jum'ah Palli,All,https://lh5.googleusercontent.com/p/AF1QipOKzVmYO9CP5F4nPbel5IN-2axHYzOTn3qIVCuZ=w298-h298-k-no
ChIJD41cg2FrADsRyUedyRyc3io,Masjithur Rahman Jum'ah Palli,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CPBIHFLOUOUcJEEn-_wf5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=158.77985&pitch=0&thumbfov=100
ChIJHSL4rZ9sADsRRUX1g-QgZYM,Tamilnadu Thowheed Jamath-Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNs5sUmWAGNEC4HGBecoe-snJMi87-M6FCKnOAW=w224-h398-k-no
ChIJHSL4rZ9sADsRRUX1g-QgZYM,Tamilnadu Thowheed Jamath-Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j8WOatopsdZvnSyrkM5t8A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=33.21489&pitch=0&thumbfov=100
ChIJUY_kZqJsADsRoHuSR_5oj4g,Bus Stand Masjid (peeruntu nirruttm pllllivaacl),All,https://lh5.googleusercontent.com/p/AF1QipNjf_ijG73Eyz9UfDc2a73V9iwqPArH3pqoFgJt=w224-h398-k-no
ChIJUY_kZqJsADsRoHuSR_5oj4g,Bus Stand Masjid (peeruntu nirruttm pllllivaacl),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5HW7_vRszNt87cQeKqkh0A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=97.21839&pitch=0&thumbfov=100
ChIJvWNu2qcUADsRFeAjtoUckSs,Melapattu Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HtTxQ9wnfwzbrJo1EIWFkA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=308.0613&pitch=0&thumbfov=100
ChIJvWNu2qcUADsRFeAjtoUckSs,Melapattu Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HtTxQ9wnfwzbrJo1EIWFkA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=308.0613&pitch=0&thumbfov=100
