place_id,place_name,about,link
ChIJS1RQTHzfqjsR0WFvFJsfUX4,Mosque,All,https://lh5.googleusercontent.com/p/AF1QipP2Z567y2ni3Wtz-FFY7R5IPKv0B9m4I21PWP88=w224-h298-k-no
ChIJS1RQTHzfqjsR0WFvFJsfUX4,Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sjysy70byGOvp-4UaTv37g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=106.81925&pitch=0&thumbfov=100
ChIJW11PcAffqjsRYpjuGsJ_cXI,Masjid-E-Umar,All,https://lh5.googleusercontent.com/p/AF1QipMWssKyedIHJxrMu-VcwtQYW1jX-Kf1KkwRi6nV=w645-h298-k-no
ChIJW11PcAffqjsRYpjuGsJ_cXI,Masjid-E-Umar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JJzDTyKTK9TbxwjxbyHYYQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=110.44302&pitch=0&thumbfov=100
ChIJCW1AT3zfqjsRkXSIKxUS1PY,MOSQUE,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jIJX8uaHQUkpIH0J2KnDcA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.971886&pitch=0&thumbfov=100
ChIJCW1AT3zfqjsRkXSIKxUS1PY,MOSQUE,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jIJX8uaHQUkpIH0J2KnDcA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.971886&pitch=0&thumbfov=100
ChIJlzg7F48hqzsRhUT3Cey-fqk,Masjide Muhammadiyya,All,https://lh5.googleusercontent.com/p/AF1QipNxzq5WCWutXh0inDVtf8XLiNGhScsvRRLx9kIT=w224-h485-k-no
ChIJlzg7F48hqzsRhUT3Cey-fqk,Masjide Muhammadiyya,By owner,https://lh5.googleusercontent.com/p/AF1QipMfjIQCU5jExGgem7jLfF5IoKMfi0d9YpK12kS7=w224-h298-k-no
ChIJ4U2GnGDfqjsRtYWlZKH2FOc,Mosque In First Floor,All,https://lh5.googleusercontent.com/p/AF1QipMt41_5xeBR2ixXyj4LjhxYveXYDuLrbif013gu=w397-h298-k-no
ChIJ4U2GnGDfqjsRtYWlZKH2FOc,Mosque In First Floor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5diEv3xCCGEXg9Wj-9bTmg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=233.78757&pitch=0&thumbfov=100
ChIJ32jX-9AhqzsR3Sg3anWF9vQ,Tntj masjid ariyalur,All,https://lh5.googleusercontent.com/p/AF1QipMyKf9Kn-FcbQQpCbR6VFeCkIwDEDVEURepd1Fq=w528-h298-k-no
ChIJ32jX-9AhqzsR3Sg3anWF9vQ,Tntj masjid ariyalur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bJwNGXbdCOA2scxfY-hkzw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=177.10057&pitch=0&thumbfov=100
