place_id,place_name,about,link
ChIJQc2mnL2gkjkRMXlvgNkb64E,Masjid Singhi Kalan,All,https://lh5.googleusercontent.com/p/AF1QipMHd2_pE1duJL9HCYvvnWtOaxhPbndMMkjTpaee=w397-h298-k-no
ChIJHY_p6aagkjkRO0thJOik-4I,Khankah Faridya,All,https://lh5.googleusercontent.com/p/AF1QipO0KtkYgU2pHvfiAS8nKzBy6UQXbygn8eE0xNVk=w529-h298-k-no
ChIJHY_p6aagkjkRO0thJOik-4I,Khankah Faridya,Dome,https://lh5.googleusercontent.com/p/AF1QipPVs4VMrs49-O61citb_LsHQjOpAgFN1PzQA8JJ=w224-h398-k-no
ChIJHY_p6aagkjkRO0thJOik-4I,Khankah Faridya,Videos,https://lh5.googleusercontent.com/p/AF1QipM1Fd-ISSpMp91ARHWJhZbvimxZjmwyRrNKS9p_=w529-h298-k-no
ChIJsYfQV19fjTkR4urkQ4he3Ug,Ibraheem Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP0xEhP7T7oPNmfyJuEGzGebRP4ZJz6683hk6cW=w224-h396-k-no
ChIJsYfQV19fjTkR4urkQ4he3Ug,Ibraheem Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOgsOk8zCLlbISkFn_7jylIK7jeLp3Zy5iyK5Lo=w629-h298-k-no
ChIJsYfQV19fjTkR4urkQ4he3Ug,Ibraheem Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMOLG5JmjDLK-GJ9W-GIdf_b44OoI1RBDLEYr_s=w529-h298-k-no
ChIJQaIwbutfjTkReEPhMBnjvv0,"Chaurain Jamma Masjid,Chaurain",All,https://lh5.googleusercontent.com/p/AF1QipN-X4xDVGKEFK9GjyJq6syG1xs8II9OD5pEvu9s=w298-h298-k-no
ChIJ9Vf6IFlfjTkR4vljgFQmj9s,"Masjid, Khetari Mohalla",All,https://lh5.googleusercontent.com/p/AF1QipPl2VQ2ogDBXQXOTSGlDMCfmdunBaNx6VBb1vI7=w397-h298-k-no
ChIJ9Vf6IFlfjTkR4vljgFQmj9s,"Masjid, Khetari Mohalla",Videos,https://lh5.googleusercontent.com/p/AF1QipM5AxRNHn4XenmCouQqG-sDnny8Gt0duQVawp1A=w224-h398-k-no
ChIJjTOhnlhfjTkRrRrt1GTLMaI,Masjid Umar Bin Khattab,All,https://lh5.googleusercontent.com/p/AF1QipMHwaQdDGEHWa0dk3cNGBUjaIsu7XqUheojDtJa=w397-h298-k-no
ChIJjTOhnlhfjTkRrRrt1GTLMaI,Masjid Umar Bin Khattab,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNknj8112j1pkOITuqLY5xfHCDOEJryj-E-vTxH=w224-h298-k-no-pi-10-ya228.00002-ro0-fo100
ChIJFd2x0FdfjTkRBSkzBesbJ9w,"Chaman Ki Masjid, Doodh Katora",All,https://lh5.googleusercontent.com/p/AF1QipMSH4hNUJA77TIi63egwkAsNLnZFUIKDqrtoPfp=w397-h298-k-no
ChIJX9BBaqegkjkR_2Xpp1XP2mA,JAMA MASJID ALLAMAH ABDUL WAHHAB ARVI MOHAMMADI,All,https://lh5.googleusercontent.com/p/AF1QipOSsK5WKJeeRE-m3JfFfEw_StCni9G6usnG-raa=w397-h298-k-no
ChIJX9BBaqegkjkR_2Xpp1XP2mA,JAMA MASJID ALLAMAH ABDUL WAHHAB ARVI MOHAMMADI,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GqbKSY_Mid53PTWy9umYhg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.37274&pitch=0&thumbfov=100
