place_id,place_name,about,link
ChIJx0u3vby3dDkREoy70gaB_9c,Garhi Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOJKBjy0ymP-bzL1BlrZmn-KAcSekHKLHlNaa62=w529-h298-k-no
ChIJx0u3vby3dDkREoy70gaB_9c,Garhi Wali Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNZ6o7i6KWq7VW3mgMS9Mxr-7Fhc2r4xFwqdB9T=w323-h298-k-no
ChIJx0u3vby3dDkREoy70gaB_9c,Garhi Wali Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPTgMnwrbV8SxkbJE3RJ3oSQwXqrCb574VqxExP=w224-h471-k-no
ChIJx0u3vby3dDkREoy70gaB_9c,Garhi Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6NWFr9ayA5Bak4CeY_zKrw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=48.929234&pitch=0&thumbfov=100
ChIJyeRpVCy2dDkRsQRQsDl7U28,"Masjid E Gaddiyaan (Markaz), Atrauli",All,https://lh5.googleusercontent.com/p/AF1QipOmDxcMVJtHvIuqD1Ilo_E1WNOeeo0DdmWECbdl=w397-h298-k-no
ChIJyeRpVCy2dDkRsQRQsDl7U28,"Masjid E Gaddiyaan (Markaz), Atrauli",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ve_2XEVq9anUP7JfXjQEiA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=145.48409&pitch=0&thumbfov=100
ChIJyeRpVCy2dDkRsQRQsDl7U28,"Masjid E Gaddiyaan (Markaz), Atrauli",Videos,https://lh5.googleusercontent.com/p/AF1QipM9auZ2j7JPG7jpsAqA98tm_d20Xk5eIA72GKe2=w224-h395-k-no
ChIJp7eGMi22dDkR0-J-g6tfMBI,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-24pH78Fim2AfV9J4NTHBA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=84.86145&pitch=0&thumbfov=100
ChIJp7eGMi22dDkR0-J-g6tfMBI,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-24pH78Fim2AfV9J4NTHBA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=84.86145&pitch=0&thumbfov=100
ChIJET95wtS3dDkRilnjldk13i4,Masjid Bhanpara,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ujeMG0FFwLTrPwOWHWnSlA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=223.77158&pitch=0&thumbfov=100
