place_id,place_name,about,link
ChIJF1xVzkqjkTkRQ7Bp-2GtaJM,Jama Masjid Azamgarh.,All,https://lh5.googleusercontent.com/p/AF1QipOvOKTzExl3fLYuk98XHYlbcuCwZYmYfMZjBw3L=w529-h298-k-no
ChIJF1xVzkqjkTkRQ7Bp-2GtaJM,Jama Masjid Azamgarh.,Dome,https://lh5.googleusercontent.com/p/AF1QipPtmU9roKQV7O0iXeTeGj3K0oWlBpDRdEM0RgsU=w397-h298-k-no
ChIJF1xVzkqjkTkRQ7Bp-2GtaJM,Jama Masjid Azamgarh.,Videos,https://lh5.googleusercontent.com/p/AF1QipPxhNRZDwNNZ01b2a3lbjeBwAYKBfDn2YrBjtT7=w541-h298-k-no
ChIJRe5pyjWjkTkRtyBKMW0s5rU,Tedhiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN1Dg2YyV_7LeqFZLD2mi05v-LA3ioHO7x-KjFJ=w529-h298-k-no
ChIJRe5pyjWjkTkRtyBKMW0s5rU,Tedhiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d8qWnEF9fMAfKtGqIwSCrQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=26.646677&pitch=0&thumbfov=100
ChIJGf9A0Mq8kTkRAE6CPTJLWQU,Home,All,https://lh5.googleusercontent.com/p/AF1QipN8cARF32kd4AeecG1cNV66VBKeiiiHSaZZYshZ=w333-h298-k-no
ChIJ87AcLEujkTkRn7IoPBQNPsU,Jama Masjid jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipMyMe76M8yICYcsoHawwbRmKtozr5TvPLFe2v60=w397-h298-k-no
ChIJ87AcLEujkTkRn7IoPBQNPsU,Jama Masjid jm` msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipN9X941mCTvdxx4NlCgzSG9xOYQ0nuPXxV4ZCb7=w224-h398-k-no
ChIJZz4r2cG8kTkRwlvXQeN6-TI,Majid E Bilal Sidhari,All,https://lh5.googleusercontent.com/p/AF1QipM6ya1wrNiRnzFV8lASDXgAF_ge917jhY-nVTlJ=w397-h298-k-no
ChIJZz4r2cG8kTkRwlvXQeN6-TI,Majid E Bilal Sidhari,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yzHAztYGZTsFAl6eptWJlw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=186.77159&pitch=0&thumbfov=100
ChIJZz4r2cG8kTkRwlvXQeN6-TI,Majid E Bilal Sidhari,Videos,https://lh5.googleusercontent.com/p/AF1QipNcwZg8KKZEDynGBwpW8YOliQlgqkcYU7-DOtt6=w529-h298-k-no
ChIJiZZRAzejkTkRaUhm9syifu8,Mosque Al Ansaar,All,https://lh5.googleusercontent.com/p/AF1QipN41CPKiPH6GrEAXQcFC0GRO6Zjzbf80lcczA6u=w447-h298-k-no
ChIJ5wuLYDOjkTkRaefocMh9MdI,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNxxU3Cxt-YOZ5io_8qP4vzNuIywCkcYluKLcn-=w397-h298-k-no
ChIJU2sY2DCjkTkRmK0PXFeFmC0,Juma Masjid Rahmat Nagar,All,https://lh5.googleusercontent.com/p/AF1QipPSlXNPoFlOByPFI0uyJAXysF3iUaenjLokk8GX=w397-h298-k-no
ChIJU2sY2DCjkTkRmK0PXFeFmC0,Juma Masjid Rahmat Nagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Kdxb_z89rnHn2YGjc8aHmA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=11.007719&pitch=0&thumbfov=100
ChIJvzPHGqG8kTkRa0beaOjQ00Y,Mosque msjd,All,https://lh5.googleusercontent.com/p/AF1QipNLTybWp416x81dYT9ejOZAExZ0_mmztsCWRyOh=w224-h398-k-no
ChIJvzPHGqG8kTkRa0beaOjQ00Y,Mosque msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eE8Qi5nwtegGQVtKsZnbZw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=287.35226&pitch=0&thumbfov=100
ChIJcba1KEyjkTkRuZJvYlAwSjE,Masjid E Ayesha Badarka,All,https://lh5.googleusercontent.com/p/AF1QipM0SPDR8fS5b8auVlFqh8H2Fnzw_c5Rg6BVJYVW=w224-h398-k-no
ChIJcba1KEyjkTkRuZJvYlAwSjE,Masjid E Ayesha Badarka,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7sS1BxQiQBoCp3VFzxVBGQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.138214&pitch=0&thumbfov=100
ChIJFdF_jDWjkTkRnOnNrmniaiQ,Masjid Umar,All,https://lh5.googleusercontent.com/p/AF1QipOV_mrMmrrZD2335tkGWeTst0Q5BSv1GrKLIuMs=w224-h302-k-no
ChIJv2SMvqS8kTkRU08y_xbm9VY,Bus Stop Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNrnvpyG6J5TQ5okssgkvlMCtYj6B0r3mS2Ur8q=w529-h298-k-no
ChIJv2SMvqS8kTkRU08y_xbm9VY,Bus Stop Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JA-so8oNdQyr7PkBbWyLiw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=36.00492&pitch=0&thumbfov=100
ChIJj6pdGzejkTkRNezAfT7YFwY,Ansar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPAtvQdiKjY8Bt_OjMpOCItLqZJzr7SV8XJzP6s=w397-h298-k-no
ChIJj6pdGzejkTkRNezAfT7YFwY,Ansar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XHJOCB6HGVPsumv3JVJ5Kg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=285.1514&pitch=0&thumbfov=100
ChIJTU1tSjOjkTkR8_JwSFCK-RQ,Masjid Usman Ghani,All,https://lh5.googleusercontent.com/p/AF1QipP6pUoE4aIPJvYMTcHlG0JtAmhaws5HjgtiGi_m=w529-h298-k-no
ChIJBavrh9aikTkRqoSfZ4tL2TM,Jama Masjid Shekhpura,All,https://lh5.googleusercontent.com/p/AF1QipMFU6sW_acumPqxTUqxZzlY4gNVrhDVYlxXiEEV=w397-h298-k-no
ChIJcY2HqzKjkTkRUFw2pLmOSCU,"Noorul Uloom , Mosque",All,https://lh5.googleusercontent.com/p/AF1QipPWV-u5bDCcBZyibGT7CxctLwWN3si0O_F77UEk=w428-h298-k-no
ChIJcY2HqzKjkTkRUFw2pLmOSCU,"Noorul Uloom , Mosque",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RYBIJnnKdArNmsKQV4djYw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=254.50272&pitch=0&thumbfov=100
ChIJlwvlJTejkTkRxB-EGCTEol4,Umar Farooq Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPBBxe-gBfue-i94fI3uJA-LxHF67hHolGOVleO=w397-h298-k-no
ChIJlwvlJTejkTkRxB-EGCTEol4,Umar Farooq Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9J98Uhh-anm3K1-I4-OLAQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=247.78604&pitch=0&thumbfov=100
ChIJh_ZEoSGjkTkRGHbtdQPd93s,Darul Aman Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xW8U5zG1Ny9aI6sTFbNXLw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=244.33752&pitch=0&thumbfov=100
ChIJh_ZEoSGjkTkRGHbtdQPd93s,Darul Aman Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xW8U5zG1Ny9aI6sTFbNXLw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=244.33752&pitch=0&thumbfov=100
ChIJ1_bqf02jkTkRgJ9a6FZ6YbA,Eidgah,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-ChwP-CZSTgQkqPJnyo6Vw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.907331&pitch=0&thumbfov=100
ChIJ1_bqf02jkTkRgJ9a6FZ6YbA,Eidgah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-ChwP-CZSTgQkqPJnyo6Vw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.907331&pitch=0&thumbfov=100
ChIJ1_bqf02jkTkRgJ9a6FZ6YbA,Eidgah,Videos,https://lh5.googleusercontent.com/p/AF1QipOa2iPDw4HwcQz6SOSCrd5p27hRMyaz51Fwkxhm=w529-h298-k-no
ChIJoc8hlMa9kTkR7naUD3nJuSE,Jama Masjid jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipPVhqV_lyd7ThKAawjNuJ57zHo2K724U9XKOhbn=w224-h407-k-no
ChIJoc8hlMa9kTkR7naUD3nJuSE,Jama Masjid jm` msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipMVcGKKQzr4xCoJbK1hoWX1sZH-IKj5ylX9r3r9=w224-h407-k-no
ChIJf3zzwiajkTkRfeOSBmuAqH8,Masjid E Huda,All,https://lh5.googleusercontent.com/p/AF1QipPrum8bxYHH6wNXc42ChkxeCY0FwPOwYz8487Dl=w224-h298-k-no
ChIJf3zzwiajkTkRfeOSBmuAqH8,Masjid E Huda,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPB-XfzI2Su6mjifkk3LUz6zKxiHI4Vhxpn18lT=w224-h298-k-no-pi-20-ya320-ro-0-fo100
ChIJd0TdV7O8kTkRvLW9QAIBS9U,Ataala Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOtcpm5LThr3c4thCdD_rHuWfp21z_0xmU4DrHp=w529-h298-k-no
ChIJDWu6_qSjkTkRSJVzpYAsnik,Jama masjid jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipPbhSQN40IFHQuF8G5hqEOwAn9YjG6_Gyv3pp2g=w224-h298-k-no
ChIJLZiWoWq9kTkRcpGxmdQraKo,Jama Masjid jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipPfZh5zE82pzNfvnMmroHWFIxtyaB5UH3mRVnnH=w224-h298-k-no
ChIJLZiWoWq9kTkRcpGxmdQraKo,Jama Masjid jm` msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipMkYL4POos6nvnG7oVmpOy46xp1gygUXJ1fIVob=w224-h398-k-no
ChIJLUwysqm9kTkR1TPzSiEzMY0,Masjid msjd,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vE6Ni7IX3vxqmFiW7C9Yqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=322.64304&pitch=0&thumbfov=100
ChIJLUwysqm9kTkR1TPzSiEzMY0,Masjid msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vE6Ni7IX3vxqmFiW7C9Yqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=322.64304&pitch=0&thumbfov=100
ChIJ2acmhGO8kTkRXp0iu7FJl8w,Muslim Masjid mslm msjd,All,https://lh5.googleusercontent.com/p/AF1QipMUzJykDxFKmwQBuyWUi4-2DOHJTxokyreZU89c=w528-h298-k-no
ChIJ395yF0a9kTkRJqEfPnNAWnk,Masjid Mosque Civil Lines Near Nagar Palika,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V3SBBTzaEKVKgRgD_y-G1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=333.1128&pitch=0&thumbfov=100
ChIJ395yF0a9kTkRJqEfPnNAWnk,Masjid Mosque Civil Lines Near Nagar Palika,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V3SBBTzaEKVKgRgD_y-G1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=333.1128&pitch=0&thumbfov=100
ChIJY1UN_z-9kTkRCMwtk8Zs-Lc,Masjid Al Noor,All,https://lh5.googleusercontent.com/p/AF1QipPSzM5os9nOWU5_mhZPliHAWEFiosuWXYdb7AK6=w529-h298-k-no
ChIJY1UN_z-9kTkRCMwtk8Zs-Lc,Masjid Al Noor,Dome,https://lh5.googleusercontent.com/p/AF1QipPSzM5os9nOWU5_mhZPliHAWEFiosuWXYdb7AK6=w529-h298-k-no
ChIJuaU1oCyjkTkREAYF3hh5Pr0,Masjid Bag Lakhraon,All,https://lh5.googleusercontent.com/p/AF1QipOwd_0bzAJJt3lQQWpF37e9PfFXA7I-lEd-NMpW=w224-h398-k-no
ChIJuaU1oCyjkTkREAYF3hh5Pr0,Masjid Bag Lakhraon,Dome,https://lh5.googleusercontent.com/p/AF1QipOkNAYs9erJ7NpZ7gxYNbjgT7cTWxkFZTZUMfin=w224-h485-k-no
ChIJuaU1oCyjkTkREAYF3hh5Pr0,Masjid Bag Lakhraon,Videos,https://lh5.googleusercontent.com/p/AF1QipM2pemwXeBvPCiYnXTb-8Bk_Tkj6f-WoMWjGZDT=w224-h398-k-no
ChIJuaU1oCyjkTkREAYF3hh5Pr0,Masjid Bag Lakhraon,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ULu75jU4UjYUZs7dbvio9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=230.4483&pitch=0&thumbfov=100
ChIJrbjJgkmjkTkRcN2_XSUH_8M,Masjid Shibli Nomani msjd shbly n`mny,All,https://lh5.googleusercontent.com/p/AF1QipPXwuYuBYu7sPTYkJ3hrfdon1W5l_wnkOpB7JpE=w224-h299-k-no
ChIJrbjJgkmjkTkRcN2_XSUH_8M,Masjid Shibli Nomani msjd shbly n`mny,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPHF9w1bhl1TMAQa7v4ma0RKgBnAihx2RmAxeTb=w224-h298-k-no-pi-0.112540185-ya239.88745-ro0-fo100
ChIJc2iJ6K-jkTkR5AEfEB913rs,Karenhua Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOHtdCqq8ckOMbO7_CPt-34uZDKzZogqnPgy6y7=w645-h298-k-no
ChIJu-mrSjGjkTkRSwY70kemXE8,Aziziya Bagh Wali Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNWUYqtpFHfZY4SV4IiS731Ob4Vj65T-CpjfrE5=w678-h298-k-no
ChIJdd9pyuK9kTkR_W7lvlzydBk,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNxsDhskWi30wNqku05OjRGoeNWEP6-2vqumO8=w224-h298-k-no
ChIJdd9pyuK9kTkR_W7lvlzydBk,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nlXqf2ZrZ43o89yHzM1ZVw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.06448&pitch=0&thumbfov=100
ChIJd7ZgmwujkTkRuKkqozqiVh8,Purani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPaU78s8ZQW5SKIKY1Q1vkUfuuOsYoU5I38FPLB=w224-h313-k-no
ChIJf9prjyC9kTkRVpT_E0lkxKk,Dugdugwa - Badi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOe2ON5HYm8wvB1Yv28TCvezZGRcorIh3nHK_yh=w529-h298-k-no
