place_id,place_name,about,link
ChIJ9xDgJamCpjsRNom41aqPBu4,Poozhithala Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPbcP5pAoKg_Q0Q5f5RUzzADgJCGkkw3Bh7qgHD=w397-h298-k-no
ChIJ9xDgJamCpjsRNom41aqPBu4,Poozhithala Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d0nEabUTc7In27k4F-J0lA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=272.03983&pitch=0&thumbfov=100
ChIJHcMMnRwopDsRuNJ70S59-Ec,Manjakkal Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOzgOP3O8uNq-U3jf2LLRAoEnDSAfiZKIkU52Yr=w529-h298-k-no
ChIJHcMMnRwopDsRuNJ70S59-Ec,Manjakkal Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p0cFv_zA_-dh1oXlmaUJPQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=225.50984&pitch=0&thumbfov=100
ChIJY7zqnB6DpjsRNx33xyKD2jE,Maadaakkara Muhyudheen Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO0Gi40HivHK7VvFt0b4MydDIGQuNXPPpty3fta=w298-h298-k-no
ChIJY7zqnB6DpjsRNx33xyKD2jE,Maadaakkara Muhyudheen Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNQWUAq6OdL_jZq62oFazF-n9wxUEXpyxWygZrZ=w397-h298-k-no
ChIJY7zqnB6DpjsRNx33xyKD2jE,Maadaakkara Muhyudheen Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOT92rXMy8h3WnrTIA6rsOsMVoLDmZuP5LDMZAq=w224-h398-k-no
ChIJY7zqnB6DpjsRNx33xyKD2jE,Maadaakkara Muhyudheen Juma Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipM89feD7wum01xqioNMOE-GYss2XtckduE_kKZw=w397-h298-k-no
ChIJY7zqnB6DpjsRNx33xyKD2jE,Maadaakkara Muhyudheen Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SQX6qEoxcLti8hZcr7UyBw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=210.22&pitch=0&thumbfov=100
ChIJoYAGlqmCpjsRTPPs1hcP9kw,Moideen Juma Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2tG5WfhQHGMkaQL5gELABQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.4899&pitch=0&thumbfov=100
ChIJoYAGlqmCpjsRTPPs1hcP9kw,Moideen Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2tG5WfhQHGMkaQL5gELABQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.4899&pitch=0&thumbfov=100
ChIJw2xIyeGCpjsRbjCuqc3qKyQ,BHEECHUMMA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOOropWvh4gqUOmNxhDfadANGeBcNqFmzwD-PzT=w224-h298-k-no
ChIJw2xIyeGCpjsRbjCuqc3qKyQ,BHEECHUMMA MASJID,Latest,https://lh5.googleusercontent.com/p/AF1QipOOropWvh4gqUOmNxhDfadANGeBcNqFmzwD-PzT=w224-h298-k-no
ChIJw2xIyeGCpjsRbjCuqc3qKyQ,BHEECHUMMA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipMyDRmHSA34GjitJ4AZpBwEWqHVfQn-MIoTy-NM=w529-h298-k-no
ChIJw2xIyeGCpjsRbjCuqc3qKyQ,BHEECHUMMA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ku1jB1-OHh87xaLkLvs7A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=63.583084&pitch=0&thumbfov=100
ChIJ2wHTFB2DpjsR5Ifs6CejwmI,Salafi Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNXv9gJgjEcGECe3_rk4pUbVXAF6_WFkjOyiBhZ=w529-h298-k-no
ChIJ2wHTFB2DpjsR5Ifs6CejwmI,Salafi Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xaZv5BKrnx7k--gghBEg9Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=262.7265&pitch=0&thumbfov=100
ChIJP63ZgOWCpjsRVegGR_xu4Ak,Mukkali Muslim Palli,All,https://lh5.googleusercontent.com/p/AF1QipMttZNnWz72gomYooSk9hY_FUak2ZvLicjDUM7Z=w529-h298-k-no
ChIJP63ZgOWCpjsRVegGR_xu4Ak,Mukkali Muslim Palli,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=muaozi2cp8GPbbkU3TzrdQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=244.06403&pitch=0&thumbfov=100
ChIJtevPVJWCpjsRX4mE6QIHpVQ,Salafi Masjid (Madrasa Himayathul Qur'an),All,https://lh5.googleusercontent.com/p/AF1QipOmwm7P2a3SBWoZ7yKDvnIoJi-GEhAAuzHPnN4t=w487-h298-k-no
ChIJtevPVJWCpjsRX4mE6QIHpVQ,Salafi Masjid (Madrasa Himayathul Qur'an),Latest,https://lh5.googleusercontent.com/p/AF1QipNjviaa46xcOq4j_GDKyOJS8mfQELlMfNyIigS8=w224-h398-k-no
ChIJtevPVJWCpjsRX4mE6QIHpVQ,Salafi Masjid (Madrasa Himayathul Qur'an),Videos,https://lh5.googleusercontent.com/p/AF1QipP9YdadttXD3e2LuEJlYvyU1uohJ3gSZYWi26Up=w541-h298-k-no
ChIJ8VRxaaWCpjsR7BwY8f-RqeM,Hajiar Pally Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOsp1cBPlriE89_pcgrRHSyMoxt8M-zsNneB24=w529-h298-k-no
ChIJ8VRxaaWCpjsR7BwY8f-RqeM,Hajiar Pally Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMUMYnG24k4wXhWjYdJYIDg4Z39Sy07FpatF50=w529-h298-k-no
ChIJqflUH-mDpjsRfvptAAzVjyM,Azhiyoor Anjaam peedika Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipODN42IdKeaG3NWTx4VDrdrJAVi0aZlQnvpUe_j=w529-h298-k-no
ChIJqflUH-mDpjsRfvptAAzVjyM,Azhiyoor Anjaam peedika Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPdY4ooaUmzxELP_-FXXXHL8CKlDQDfxOLAQ7q1=w224-h398-k-no
ChIJqflUH-mDpjsRfvptAAzVjyM,Azhiyoor Anjaam peedika Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7ZUozS1Hngkg6w17Yr7BeQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=220.62634&pitch=0&thumbfov=100
ChIJYWKOrZuCpjsRVECHD2XwWyU,VARERI RAMATH MASJID,All,https://lh5.googleusercontent.com/p/AF1QipPs2Vgwv6VUXR3YVhqpWPOFEEr0BXTuDv3e2AJH=w298-h298-k-no
ChIJrzDaG5eCpjsRAasPDiEiDjE,Salafi Centre,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xIsyun4P6en5siJGDdlxSw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=294.8473&pitch=0&thumbfov=100
ChIJrzDaG5eCpjsRAasPDiEiDjE,Salafi Centre,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xIsyun4P6en5siJGDdlxSw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=294.8473&pitch=0&thumbfov=100
ChIJixKFj7uCpjsRuzZpSvA6OMg,Azhiyoor Juma Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fcQKd9xAkkcgBH4i9Td1Ng&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=227.60704&pitch=0&thumbfov=100
ChIJixKFj7uCpjsRuzZpSvA6OMg,Azhiyoor Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMppvDtQSYUNQIBzM3nfvBE-6e0SKRGq9RPg74R=w397-h298-k-no
ChIJixKFj7uCpjsRuzZpSvA6OMg,Azhiyoor Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fcQKd9xAkkcgBH4i9Td1Ng&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=227.60704&pitch=0&thumbfov=100
ChIJEVksChoopDsRlwzQ2g_F2zc,Al Salafi Mujahid Mosque,All,https://lh5.googleusercontent.com/p/AF1QipPsl0qzXIpUT9xjPcafv7lsP1qA_c-0HbO7aKZo=w397-h298-k-no
ChIJGTc3e5GCpjsRBW9_Ui0m_qA,Darussalam juma masjid,All,https://lh5.googleusercontent.com/p/AF1QipPiwc80rnUXcYcqDigRW9Er9Imp7buh5EJn1b98=w397-h298-k-no
ChIJGTc3e5GCpjsRBW9_Ui0m_qA,Darussalam juma masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pySTUZrm9jmYZPxYUp78qg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=102.40963&pitch=0&thumbfov=100
ChIJleCi_K-CpjsRZadSveL-oF0,Asya Road Masjid(Baharunnoor),All,https://lh5.googleusercontent.com/p/AF1QipOKsXKz6RFrBE-bBAtwVyGPAjrluFxqbUaYTlCJ=w467-h298-k-no
ChIJleCi_K-CpjsRZadSveL-oF0,Asya Road Masjid(Baharunnoor),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e-B_Pjw2GK6IY6BVbKaM7w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=114.87928&pitch=0&thumbfov=100
ChIJT_QHugYopDsRZvahorYuCmE,"Azheeckal Masjid, New Mahe",All,https://lh5.googleusercontent.com/p/AF1QipOhgQ7xE1IhgkWzKh48byOer2d9Zr9LYfs0m2U8=w397-h298-k-no
ChIJT_QHugYopDsRZvahorYuCmE,"Azheeckal Masjid, New Mahe",Videos,https://lh5.googleusercontent.com/p/AF1QipOYVXm6hkSDyP4-681n-vKxISnTFPmJBeRSKVTF=w541-h298-k-no
ChIJDcd0CWwppDsRrKli9ycVR_w,Masjid Sa'ad Bin Muad,All,https://lh5.googleusercontent.com/p/AF1QipMYrvVrPvwb3sY59nnemoWOOdAY2vq0YGI1XChj=w224-h398-k-no
ChIJDcd0CWwppDsRrKli9ycVR_w,Masjid Sa'ad Bin Muad,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E6QXMxfOS-n0n7kmRqXg2g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=73.23742&pitch=0&thumbfov=100
