name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Lal Masjid,Mosque,"Lal Masjid, BHIWANI STAND, Quilla Rd, Babra Mohalla, Rohtak, Haryana 124001",Babra Mohalla,"BHIWANI STAND, Quilla Rd",Rohtak,124001,Haryana,IN,https://www.google.com/maps/place/Lal+Masjid/data=!4m7!3m6!1s0x390d85bb93c615c1:0xb2b4dbf78f3f80f1!8m2!3d28.897572!4d76.5794456!16s%2Fg%2F1hjh6p95f!19sChIJwRXGk7uFDTkR8YA_j_fbtLI?authuser=0&hl=en&rclk=1,"28.897572,76.5794456"
Masjid Babrala msjid bbraalaa,Mosque,"7C73+5PF Masjid Babrala msjid bbraalaa, Babrala, Uttar Pradesh 243751",,7C73+5PF,Babrala,243751,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Babrala+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6+%E0%A4%AC%E0%A4%AC%E0%A4%B0%E0%A4%BE%E0%A4%B2%E0%A4%BE/data=!4m7!3m6!1s0x390b33e6dddab837:0x88e2a8cbb6af506d!8m2!3d28.2629309!4d78.4042862!16s%2Fg%2F11b7q1xblt!19sChIJN7ja3eYzCzkRbVCvtsuo4og?authuser=0&hl=en&rclk=1,"28.262930899999997,78.4042862"
Food court,Mosque,"Food court, khoja khana street, Babra, Gujarat 365421",,khoja khana street,Babra,365421,Gujarat,IN,https://www.google.com/maps/place/Food+court/data=!4m7!3m6!1s0x39588c6f277840f5:0xaccc95188cca5039!8m2!3d21.844931!4d71.3043038!16s%2Fg%2F11g6m1d_cw!19sChIJ9UB4J2-MWDkROVDKjBiVzKw?authuser=0&hl=en&rclk=1,"21.844931,71.3043038"
Jama Masjid,Mosque,"RX49+FR4 Jama Masjid, Khabariyan, Sihora Baz, Uttar Pradesh 244926",Khabariyan,RX49+FR4,Sihora Baz,244926,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390af25e944eb9c3:0x4c6fcf9e2d8d5cd5!8m2!3d28.806132!4d78.96957!16s%2Fg%2F11fzf99_9b!19sChIJw7lOlF7yCjkR1VyNLZ7Pb0w?authuser=0&hl=en&rclk=1,"28.806131999999998,78.96956999999999"
Jumma Masjid Babara,Mosque,"R8X3+488 Jumma Masjid Babara, Babra, Gujarat 365421",,R8X3+488,Babra,365421,Gujarat,IN,https://www.google.com/maps/place/Jumma+Masjid+Babara/data=!4m7!3m6!1s0x39588c6589855055:0x279ed49f4ff49736!8m2!3d21.8477822!4d71.3033382!16s%2Fg%2F11c5szgvf3!19sChIJVVCFiWWMWDkRNpf0T5_Unic?authuser=0&hl=en&rclk=1,"21.847782199999997,71.3033382"
Dargah Sareef Hajrat Saah Gulam Jilani Rah,Mosque,"Dargah Sareef Hajrat Saah Gulam Jilani Rah, 642/6, Quilla Rd, quilla Mohalla, Rohtak, Haryana 124001",quilla Mohalla,"642/6, Quilla Rd",Rohtak,124001,Haryana,IN,https://www.google.com/maps/place/Dargah+Sareef+Hajrat+Saah+Gulam+Jilani+Rah/data=!4m7!3m6!1s0x390d85bc7b9978f9:0x806da633a78e54ee!8m2!3d28.8990675!4d76.5801787!16s%2Fg%2F11c2pldg17!19sChIJ-XiZe7yFDTkR7lSOpzOmbYA?authuser=0&hl=en&rclk=1,"28.899067499999997,76.58017869999999"
yaaa gebnshaah piir || Ya Gebanshah pir ||,Mosque,"R8V3+8W6 yaaa gebnshaah piir || Ya Gebanshah pir ||, Amrapara Rd, Amarapara, Khakhriya, Babra, Gujarat 365421","Amarapara, Khakhriya","R8V3+8W6, Amrapara Rd",Babra,365421,Gujarat,IN,https://www.google.com/maps/place/%E0%AA%AF%E0%AA%BE+%E0%AA%97%E0%AB%87%E0%AA%AC%E0%AA%A8%E0%AA%B6%E0%AA%BE%E0%AA%B9+%E0%AA%AA%E0%AB%80%E0%AA%B0+%7C%7C+Ya+Gebanshah+pir+%7C%7C/data=!4m7!3m6!1s0x39588d5d5b6f5607:0x19639f7e2fc510be!8m2!3d21.8432779!4d71.3047594!16s%2Fg%2F11h43gc2q2!19sChIJB1ZvW12NWDkRvhDFL36fYxk?authuser=0&hl=en&rclk=1,"21.8432779,71.3047594"
Dawoodi Bohra Masjid Babra,Mosque,"R8W3+75V Dawoodi Bohra Masjid Babra, Babra, Gujarat 365421",,R8W3+75V,Babra,365421,Gujarat,IN,https://www.google.com/maps/place/Dawoodi+Bohra+Masjid+Babra/data=!4m7!3m6!1s0x39588dc0b3014115:0x8895fde74e92ca91!8m2!3d21.845742!4d71.3029117!16s%2Fg%2F11g0zl0qrc!19sChIJFUEBs8CNWDkRkcqSTuf9lYg?authuser=0&hl=en&rclk=1,"21.845741999999998,71.3029117"
Jama masjid singar,Mosque,"HRXQ+F4Q Jama masjid singar, Majri, Haryana 124507",,HRXQ+F4Q,Majri,124507,Haryana,IN,https://www.google.com/maps/place/Jama+masjid+singar/data=!4m7!3m6!1s0x390d0d63645e0121:0xebf2103da2d6cc82!8m2!3d28.5995503!4d76.8359575!16s%2Fg%2F11p5llgm75!19sChIJIQFeZGMNDTkRgszWoj0Q8us?authuser=0&hl=en&rclk=1,"28.599550299999997,76.83595749999999"
Jamia Masjid Saddiqiya askari cement factory babra gate,Mosque,"Jamia Masjid Saddiqiya askari cement factory babra gate, Bhabhra Gate, K-Lane Wah, Rawalpindi, Punjab, Pakistan",K-Lane,Bhabhra Gate,Wah,,"Rawalpindi, Punjab",PK,https://www.google.com/maps/place/Jamia+Masjid+Saddiqiya+askari+cement+factory+babra+gate/data=!4m7!3m6!1s0x38dfa9caadebde87:0xd5e6fcffc277210b!8m2!3d33.8103107!4d72.730964!16s%2Fg%2F11mpmr5cxk!19sChIJh97rrcqp3zgRCyF3wv_85tU?authuser=0&hl=en&rclk=1,"33.810310699999995,72.730964"
