name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Bachhaon,Students support association,"W6HM+522 Bachhaon, Bachhraon, Uttar Pradesh 244225",,W6HM+522,Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Bachhaon/data=!4m7!3m6!1s0x390b9f5139bde723:0xa5d889bf19a59cb6!8m2!3d28.9278943!4d78.2325091!16s%2Fg%2F11gnnstjmw!19sChIJI-e9OVGfCzkRtpylGb-J2KU?authuser=0&hl=en&rclk=1,"28.9278943,78.2325091"
Lal Masjid,Mosque,"W6GJ+HVF Lal Masjid, Bachhraon, Uttar Pradesh 244225",,W6GJ+HVF,Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Lal+Masjid/data=!4m7!3m6!1s0x390b9e46e6fa1893:0xd7ab292053a4497d!8m2!3d28.9264345!4d78.2321674!16s%2Fg%2F1hd_dp6tj!19sChIJkxj65kaeCzkRfUmkUyApq9c?authuser=0&hl=en&rclk=1,"28.9264345,78.2321674"
Jama Masjid,Place of worship,"W6GM+5JC Jama Masjid, peerzadjan, Bachhraon, Uttar Pradesh 244225",,"W6GM+5JC, peerzadjan",Bachhraon,,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390b9e47a560a491:0x4040943e0b66d803!8m2!3d28.9254336!4d78.2340089!16s%2Fg%2F11b7y9l4g4!19sChIJkaRgpUeeCzkRA9hmCz6UQEA?authuser=0&hl=en&rclk=1,"28.925433599999998,78.23400889999999"
Choudhary Wali Masjid,Mosque,"W6FM+HVJ Choudhary Wali Masjid, Salik seth building, near choudhary wali maajid, Bachhraon, Uttar Pradesh 244225",,"W6FM+HVJ Salik seth building, near choudhary wali maajid",Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Choudhary+Wali+Masjid/data=!4m7!3m6!1s0x390b9e478cdcea17:0x67cdec3045ea0ea1!8m2!3d28.9237374!4d78.2346286!16s%2Fg%2F11cs9mbllj!19sChIJF-rcjEeeCzkRoQ7qRTDszWc?authuser=0&hl=en&rclk=1,"28.9237374,78.2346286"
Haji Peer Wali Masjid,Mosque,"W6GJ+2V8 Haji Peer Wali Masjid, Bachhraon, Uttar Pradesh 244225",,W6GJ+2V8,Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Haji+Peer+Wali+Masjid/data=!4m7!3m6!1s0x390b9ffde25281b9:0xcbafb12605c070fc!8m2!3d28.925026!4d78.2322002!16s%2Fg%2F11g1ksyr3y!19sChIJuYFS4v2fCzkR_HDABSaxr8s?authuser=0&hl=en&rclk=1,"28.925026,78.2322002"
Yaad-E-ilahi Bagh Wali Masjid,Mosque,"Yaad-E-ilahi Bagh Wali Masjid, police station, dist, near kashiram colony, behind to, Bachhraon, Amroha, Uttar Pradesh 244225",,"police station, dist, near kashiram colony, behind to","Bachhraon, Amroha",,Uttar Pradesh,IN,https://www.google.com/maps/place/Yaad-E-ilahi+Bagh+Wali+Masjid/data=!4m7!3m6!1s0x390b9e358227bf2f:0x64c832862bc223d9!8m2!3d28.9231275!4d78.2444996!16s%2Fg%2F11cs9m1by4!19sChIJL78ngjWeCzkR2SPCK4YyyGQ?authuser=0&hl=en&rclk=1,"28.9231275,78.2444996"
Mev wali masjid,Mosque,"Mev wali masjid, Bachhraon, Uttar Pradesh 244225",,,Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Mev+wali+masjid/data=!4m7!3m6!1s0x390b9fed3b2b8c29:0x2ddab0922dc4add0!8m2!3d28.9233648!4d78.2317096!16s%2Fg%2F11rchr1bqn!19sChIJKYwrO-2fCzkR0K3ELZKw2i0?authuser=0&hl=en&rclk=1,"28.923364799999998,78.2317096"
Chand Masjid Bachhraon,Mosque,"W6HP+2FV Chand Masjid Bachhraon, Unnamed Road, Bachhraon, Uttar Pradesh 244225",,"W6HP+2FV, Unnamed Road",Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Chand+Masjid+Bachhraon/data=!4m7!3m6!1s0x390b9ffb520703ed:0xea8eed4989552200!8m2!3d28.9276061!4d78.2361591!16s%2Fg%2F11fhkd20k7!19sChIJ7QMHUvufCzkRACJViUntjuo?authuser=0&hl=en&rclk=1,"28.9276061,78.2361591"
kunde wali masjid,Mosque,"W6CP+9M4 kunde wali masjid, Bachhraon, Uttar Pradesh 244225",,W6CP+9M4,Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/kunde+wali+masjid/data=!4m7!3m6!1s0x390b9e378391e887:0x28c2a51709eb954d!8m2!3d28.9208885!4d78.2367072!16s%2Fg%2F11dz3p3bz3!19sChIJh-iRgzeeCzkRTZXrCRelwig?authuser=0&hl=en&rclk=1,"28.9208885,78.2367072"
Bismillah Masjid,Mosque,"W6CJ+GCJ Bismillah Masjid, Bachhraon, Uttar Pradesh 244225",,W6CJ+GCJ,Bachhraon,244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Bismillah+Masjid/data=!4m7!3m6!1s0x390b9feb4ce7116d:0x2867ea439f7edd35!8m2!3d28.921333!4d78.2310294!16s%2Fg%2F11gv1y4425!19sChIJbRHnTOufCzkRNd1-n0PqZyg?authuser=0&hl=en&rclk=1,"28.921332999999997,78.2310294"
