name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Masjid Sarai Khalil,Mosque,"Masjid Sarai Khalil, 2733, Idgah Rd D.D.A FLAT SARAI KHALIL, Narain Market, Sadar Bazaar, New Delhi, Delhi 110006","Narain Market, Sadar Bazaar","2733, Idgah Rd D.D.A FLAT SARAI KHALIL","New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/Masjid+Sarai+Khalil/data=!4m7!3m6!1s0x390cfd6dca84d497:0xf96841361b10a0e2!8m2!3d28.6547095!4d77.2134842!16s%2Fg%2F11cn6htrcd!19sChIJl9SEym39DDkR4qAQGzZBaPk?authuser=0&hl=en&rclk=1,"28.6547095,77.2134842"
Masjid Abu bakar R.z Ahle Hadees,Mosque,"Masjid Abu bakar R.z Ahle Hadees, G.336 Juma bazar Road, Shaheed Nagar, Ghaziabad, Uttar Pradesh 201005",Shaheed Nagar,G.336 Juma bazar Road,Ghaziabad,201005,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Abu+bakar+R.z+Ahle+Hadees/data=!4m7!3m6!1s0x390cfb8374f606bb:0x8cdb3f4f490e4a2e!8m2!3d28.6806126!4d77.3359288!16s%2Fg%2F11h1pdqs72!19sChIJuwb2dIP7DDkRLkoOSU8_24w?authuser=0&hl=en&rclk=1,"28.6806126,77.33592879999999"
Al Noor Masjid,Mosque,"Al Noor Masjid, Nafees Rd, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Batla House, Jamia Nagar, Okhla",Nafees Rd,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Al+Noor+Masjid/data=!4m7!3m6!1s0x390ce476496a23f3:0xa12d95c7c3bb68ab!8m2!3d28.569068!4d77.2862973!16s%2Fg%2F1tg_7v_w!19sChIJ8yNqSXbkDDkRq2i7w8eVLaE?authuser=0&hl=en&rclk=1,"28.569067999999998,77.2862973"
Moti Masjid mwty msjd,Mosque,"J6M9+G8H Moti Masjid mwty msjd, Block B, Connaught Place, New Delhi, Delhi 110001","Block B, Connaught Place",J6M9+G8H,New Delhi,110001,Delhi,IN,https://www.google.com/maps/place/Moti+Masjid+%D9%85%D9%88%D8%AA%DB%8C+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390cfd37e8bc616b:0x53561f476fe48084!8m2!3d28.6338043!4d77.2183479!16s%2Fg%2F12hvs_63d!19sChIJa2G86Df9DDkRhIDkb0cfVlM?authuser=0&hl=en&rclk=1,"28.633804299999998,77.2183479"
MASJID LAHORI GATE,Mosque,"M649+R65 MASJID LAHORI GATE, Lahori Gate Chowk, Naya Bazar New, Rui Mandi, Sadar Bazaar, New Delhi, Delhi 110006","Rui Mandi, Sadar Bazaar","M649+R65, Lahori Gate Chowk, Naya Bazar New","New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/MASJID+LAHORI+GATE/data=!4m7!3m6!1s0x390cfd12b059aa81:0x3ef9e6f71bcd0d22!8m2!3d28.6570074!4d77.2181025!16s%2Fg%2F11fxzjxlh5!19sChIJgapZsBL9DDkRIg3NG_fm-T4?authuser=0&hl=en&rclk=1,"28.657007399999998,77.2181025"
Zeenat-ul Masjid,Mosque,"J6WV+HXF Zeenat-ul Masjid, Daryaganj, New Delhi, Delhi, 110002",Daryaganj,J6WV+HXF,"New Delhi, Delhi",110002,Delhi,IN,https://www.google.com/maps/place/Zeenat-ul+Masjid/data=!4m7!3m6!1s0x390cfcde5e11d987:0xdf29372369063d5f!8m2!3d28.6464447!4d77.2449347!16s%2Fg%2F1vrq80b4!19sChIJh9kRXt78DDkRXz0GaSM3Kd8?authuser=0&hl=en&rclk=1,"28.6464447,77.2449347"
Hari Masjid - hry msjd,Mosque,"Hari Masjid - hry msjd, S5, Rajguru Marg, Chuna Mandi, Paharganj, New Delhi, Delhi 110055","Bazar Sangatrashan, Chuna Mandi, Paharganj","S5, Rajguru Marg",New Delhi,110055,Delhi,IN,https://www.google.com/maps/place/Hari+Masjid+-+%DB%81%D8%B1%DB%8C+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390cfd420fb3ca0d:0xb47391289f663fde!8m2!3d28.6451083!4d77.2107922!16s%2Fg%2F12ml2wx8n!19sChIJDcqzD0L9DDkR3j9mnyiRc7Q?authuser=0&hl=en&rclk=1,"28.6451083,77.2107922"
Color Leaf sign & fabrication,Mosque,"Color Leaf sign & fabrication, Shop no 1883 Houz wali masjid, Turkman Gate, Delhi, 110006","Turkman Gate, Chandni Chowk",Shop no 1883 Houz wali masjid,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Color+Leaf+sign+%26+fabrication/data=!4m7!3m6!1s0x390cfd22e6a5c5bf:0x7b76cad8fc88e2eb!8m2!3d28.645055!4d77.2307879!16s%2Fg%2F11btx09669!19sChIJv8Wl5iL9DDkR6-KI_NjKdns?authuser=0&hl=en&rclk=1,"28.645055,77.2307879"
Masjid Mubarak Begum,Mosque,"Masjid Mubarak Begum, 4959, Hauz Qazi Chowk, Bazar Sirkiwalan, Kaccha Pandit Main Bazar, Lal Kuan Bazar, Chandni Chowk, New Delhi, Delhi, 110006","Bazar Sirkiwalan, Kaccha Pandit Main Bazar, Lal Kuan Bazar, Chandni Chowk","4959, Hauz Qazi Chowk","New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/Masjid+Mubarak+Begum/data=!4m7!3m6!1s0x390cfd1654f26d27:0x1a2a01ea4e297fd3!8m2!3d28.6497554!4d77.2260268!16s%2Fg%2F11jlq7lcc_!19sChIJJ23yVBb9DDkR038pTuoBKho?authuser=0&hl=en&rclk=1,"28.6497554,77.2260268"
