name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Madrasa E Arabia Roohul Islam Bagepalli (H Nazeer Ahmed Baqavi Founder),Mosque,"Madrasa E Arabia Roohul Islam Bagepalli (H Nazeer Ahmed Baqavi Founder), Bagepalli, NH 44, Gantamvarapalli ., Karnataka 561207",,"Bagepalli, NH 44",Gantamvarapalli .,561207,Karnataka,IN,https://www.google.com/maps/place/Madrasa+E+Arabia+Roohul+Islam+Bagepalli+%28H+Nazeer+Ahmed+Baqavi+Founder%29/data=!4m7!3m6!1s0x3bb18f9091e38d6d:0xb33ce12497879f1e!8m2!3d13.7779506!4d77.7785261!16s%2Fg%2F12615lgbr!19sChIJbY3jkZCPsTsRHp-HlyThPLM?authuser=0&hl=en&rclk=1,"13.777950599999999,77.7785261"
Jamia Masjid Bagepalli,Mosque,"QQPV+JHQ Jamia Masjid Bagepalli, Kumbar pat 18th ward, Kothapalli, Bagepalli, Karnataka 561207",Kothapalli,"QQPV+JHQ, Kumbar pat 18th ward",Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/Jamia+Masjid+Bagepalli/data=!4m7!3m6!1s0x3bb18f78fadb805b:0xf38cb91b651eeae7!8m2!3d13.785759!4d77.7932684!16s%2Fg%2F11gc5n9xl9!19sChIJW4Db-niPsTsR5-oeZRu5jPM?authuser=0&hl=en&rclk=1,"13.785758999999999,77.7932684"
Farooq Masjid,Mosque,"QQJV+QW3 Farooq Masjid, 8th ward, Kothapalli, Bagepalli, Karnataka 561207",Kothapalli,"QQJV+QW3, 8th ward",Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/Farooq+Masjid/data=!4m7!3m6!1s0x3bb18fc7f82f466b:0xd94896964495c869!8m2!3d13.7818853!4d77.7947859!16s%2Fg%2F11g0ssxbdm!19sChIJa0Yv-MePsTsRaciVRJaWSNk?authuser=0&hl=en&rclk=1,"13.781885299999999,77.7947859"
Masjid e Madeena,Mosque,"QQJX+399 Masjid e Madeena, Bagepalli, Karnataka 561207",,QQJX+399,Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+Madeena/data=!4m7!3m6!1s0x3bb18f70e4271cc7:0xba3dfe71453e36e3!8m2!3d13.780159!4d77.798495!16s%2Fg%2F11g9w5khgb!19sChIJxxwn5HCPsTsR4zY-RXH-Pbo?authuser=0&hl=en&rclk=1,"13.780159,77.798495"
MASJID E MUHAMMADIA Ahle Hadees,Mosque,"MASJID E MUHAMMADIA Ahle Hadees, 561207, Bhagyanagra, Kothapalli, Bagepalli, Karnataka 561207","Bhagyanagra, Kothapalli",561207,Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/MASJID+E+MUHAMMADIA+Ahle+Hadees/data=!4m7!3m6!1s0x3bb18f7bc8fc05a9:0xb3924fce336afa47!8m2!3d13.7859006!4d77.7979241!16s%2Fg%2F11dxj0y31h!19sChIJqQX8yHuPsTsRR_pqM85PkrM?authuser=0&hl=en&rclk=1,"13.7859006,77.7979241"
MASJID E AZAM,Mosque,"QQMQ+WPX MASJID E AZAM, Digavabandlakere, Bagepalli, Karnataka 561207",,QQMQ+WPX,"Digavabandlakere, Bagepalli",561207,Karnataka,IN,https://www.google.com/maps/place/MASJID+E+AZAM/data=!4m7!3m6!1s0x3bb18f825f7d15e3:0x44a1aa9cae9f6730!8m2!3d13.7848588!4d77.7893444!16s%2Fg%2F11c60ds0zf!19sChIJ4xV9X4KPsTsRMGefrpyqoUQ?authuser=0&hl=en&rclk=1,"13.784858799999999,77.78934439999999"
Masjid-E-Noorani,Mosque,"Masjid-E-Noorani, near new water tank, Bhagyanagra, Bagepalli, Karnataka 561207",Bhagyanagra,near new water tank,Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-Noorani/data=!4m7!3m6!1s0x3bb18f7a31deb9a1:0xdef21a82aab473c7!8m2!3d13.7848593!4d77.7974123!16s%2Fg%2F11f3xg95pn!19sChIJobneMXqPsTsRx3O0qoIa8t4?authuser=0&hl=en&rclk=1,"13.784859299999999,77.79741229999999"
"Masjid E Umar,",Mosque,"QQFP+WGG Masjid E Umar,, G V S Layout, Timmakalapalli, Bagepalli, Karnataka 561207",,"QQFP+WGG, G V S Layout, Timmakalapalli",Bagepalli,561207,Karnataka,IN,"https://www.google.com/maps/place/Masjid+E+Umar,/data=!4m7!3m6!1s0x3bb18fc9c0e610e1:0xbc6ead58cb4969fe!8m2!3d13.7748125!4d77.7863125!16s%2Fg%2F11h84lb3pg!19sChIJ4RDmwMmPsTsR_mlJy1itbrw?authuser=0&hl=en&rclk=1","13.7748125,77.7863125"
Masjid E Quba,Mosque,"QRP2+4VJ Masjid E Quba, Near stadium, Bhainsalotan, Bagepalli, 561207",,"QRP2+4VJ, Near stadium, Bhainsalotan",Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Quba/data=!4m7!3m6!1s0x3bb18f7ad4300699:0x577e6731b239cb8d!8m2!3d13.7853353!4d77.8021432!16s%2Fg%2F11gfxlqxck!19sChIJmQYw1HqPsTsRjcs5sjFnflc?authuser=0&hl=en&rclk=1,"13.7853353,77.8021432"
Huda masjid hud msjid,Mosque,"QRQ3+G4C Huda masjid hud msjid, Bagepalli, Karnataka 561207",,QRQ3+G4C,Bagepalli,561207,Karnataka,IN,https://www.google.com/maps/place/Huda+masjid+%E0%B2%B9%E0%B3%81%E0%B2%A6+%E0%B2%AE%E0%B2%B8%E0%B3%8D%E0%B2%9C%E0%B2%BF%E0%B2%A6%E0%B3%8D/data=!4m7!3m6!1s0x3bb18f512ccb16db:0x317d65f96885d11!8m2!3d13.7888103!4d77.8027525!16s%2Fg%2F11td3p230k!19sChIJ2xbLLFGPsTsREV2Ill_WFwM?authuser=0&hl=en&rclk=1,"13.7888103,77.8027525"
