place_id,place_name,about,link
ChIJgbIyLRCsmTkRZtq_Qwx_HdA,Maneejri Masjid Dargah Shareef Bahraich,All,https://lh5.googleusercontent.com/p/AF1QipNfpZMiPNWXbFg3s-1SGkC2iIB6GwPDP4x5PjZC=w397-h298-k-no
ChIJgbIyLRCsmTkRZtq_Qwx_HdA,Maneejri Masjid Dargah Shareef Bahraich,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qmTV9fY2hJTlWOULu8eCPA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=28.294989&pitch=0&thumbfov=100
ChIJgbIyLRCsmTkRZtq_Qwx_HdA,Maneejri Masjid Dargah Shareef Bahraich,Videos,https://lh5.googleusercontent.com/p/AF1QipMvP4ZDcuw0XXpcWhC2puQqRgui4mejxJzVHck=w224-h398-k-no
ChIJYU5yJ1SpmTkRRgoMw7vBmQk,Qazi Chandan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMr2w58S6TUbF28C32OIiBdMyGVjJGm0MqEaVg3=w397-h298-k-no
ChIJYU5yJ1SpmTkRRgoMw7vBmQk,Qazi Chandan Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM2Dyn7d8waR1hiYn7BBWfROoCNEboWJoWl6N9y=w529-h298-k-no
ChIJYU5yJ1SpmTkRRgoMw7vBmQk,Qazi Chandan Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMWlsAw5c4wZ95MbZ_j33cNy49vEs1GIIoL-37Q=w529-h298-k-no
ChIJYU5yJ1SpmTkRRgoMw7vBmQk,Qazi Chandan Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AkZ5-HxDbBKgQP_fwLw0oA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=63.788048&pitch=0&thumbfov=100
ChIJr-YeB-KrmTkRdZZBtKOXxq0,Jama Masjid Bahraich,All,https://lh5.googleusercontent.com/p/AF1QipN1yZ0YtlRhWIzwbIw9W0Zc8E6pLPLOlMVG5Ca-=w529-h298-k-no
ChIJr-YeB-KrmTkRdZZBtKOXxq0,Jama Masjid Bahraich,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-JKoWKFYxiGRSJ6WkWP8Kw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=346.79953&pitch=0&thumbfov=100
ChIJr-YeB-KrmTkRdZZBtKOXxq0,Jama Masjid Bahraich,Videos,https://lh5.googleusercontent.com/p/AF1QipPtMPSX1QGaxmwtJ8v4QCZtq_7myLJmtwNx6Q-2=w529-h298-k-no
