place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJb3ZBFQLZmTkRMQIEzqMEQMs,Purani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM10APBMimU1t40UBaaEdyzfiH3_r8plyvtPNZs=w531-h298-k-no
ChIJb3ZBFQLZmTkRMQIEzqMEQMs,Purani Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipN5Kx8nVFd7iswi6TLVQS7o07YeH061vBnYef9w=w224-h407-k-no
ChIJb3ZBFQLZmTkRMQIEzqMEQMs,Purani Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOzuSTlFfMVYxHnfnWyH1pHWyTFbDl8-1eDyeb8=w224-h407-k-no
ChIJb3ZBFQLZmTkRMQIEzqMEQMs,Purani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0fhNjIwal8SEZzgpjx3yzQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=168.3273&pitch=0&thumbfov=100
ChIJsZf13_3Y9TkR8UoH1PM4fHA,Balarampur Badi Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipNtgNAelRYiw5YbOgj0YEli7Nj40ksv3IGi9aiu=w529-h298-k-no
ChIJsZf13_3Y9TkR8UoH1PM4fHA,Balarampur Badi Masjid msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipNxije7c-8VeO_kVpOb36f1M_aqiSElSdZW13k7=w224-h398-k-no
ChIJsZf13_3Y9TkR8UoH1PM4fHA,Balarampur Badi Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipPzpzXRPRVl-PZtzGMduC7o9JmRUMdvh566posv=w224-h401-k-no
ChIJhUpvfS3fmTkRle6_jESrvlo,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOl-N6AaWTO8nGiJGoxeyhJm3GnSbJc5BcdqyXF=w224-h298-k-no
ChIJhUpvfS3fmTkRle6_jESrvlo,Noori Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNWGeJow1xi4-67ZhF17-EFAPBeF_IDnGlrrm76=w224-h398-k-no
ChIJhUpvfS3fmTkRle6_jESrvlo,Noori Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOoUzqfVRXW31HtAygfGwBsInJCMrUU23UhAxO_=w529-h298-k-no
ChIJFQKLyM_emTkRb4WMyLJn7VA,Masjid Railway Station Balrampur,All,https://lh5.googleusercontent.com/p/AF1QipMs9L34K2FgGZaEV3p2gr2Zl6DEQHnQKHbOMqJl=w224-h397-k-no
ChIJFQKLyM_emTkRb4WMyLJn7VA,Masjid Railway Station Balrampur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4KFshvgQA1gEDJOQY_-KwQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.9138&pitch=0&thumbfov=100
ChIJFQKLyM_emTkRb4WMyLJn7VA,Masjid Railway Station Balrampur,Videos,https://lh5.googleusercontent.com/p/AF1QipMS0lh6iWQrl5IUGjZN2igokJpKRSXYbL0IF5Or=w224-h398-k-no
ChIJl3uZvczYmTkRETuRtu91IME,Masjid GIC. Balrampur,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ACQ6H40goKchmz1p62_dcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=330.2963&pitch=0&thumbfov=100
ChIJl3uZvczYmTkRETuRtu91IME,Masjid GIC. Balrampur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ACQ6H40goKchmz1p62_dcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=330.2963&pitch=0&thumbfov=100
ChIJy4-y0zLfmTkRYbg03X2SCZw,"Masjid Takiya Masoom Ali Shah, Gadurahwa",All,https://lh5.googleusercontent.com/p/AF1QipPc_qMW7eRlNeE3s51oRvd24rPV-otg7IVWEwTi=w224-h460-k-no
ChIJy4-y0zLfmTkRYbg03X2SCZw,"Masjid Takiya Masoom Ali Shah, Gadurahwa",Latest,https://lh5.googleusercontent.com/p/AF1QipOJwcbH9DBMOmIiYvviiJdAWMRf7Kcff8dofq9o=w224-h336-k-no
ChIJy4-y0zLfmTkRYbg03X2SCZw,"Masjid Takiya Masoom Ali Shah, Gadurahwa",Videos,https://lh5.googleusercontent.com/p/AF1QipPEK7mynptzmDghTUOFrXnZ73Xw06gEo-064qcI=w224-h398-k-no
ChIJy4-y0zLfmTkRYbg03X2SCZw,"Masjid Takiya Masoom Ali Shah, Gadurahwa",Dome,https://lh5.googleusercontent.com/p/AF1QipPEK7mynptzmDghTUOFrXnZ73Xw06gEo-064qcI=w224-h398-k-no
ChIJ5X5aozTfmTkRxRsMoZk8GQQ,Kaliya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNwgqU7_jaw9RLA2C1YCLYxAS4H0LaeVek3JvEr=w224-h398-k-no
ChIJ5X5aozTfmTkRxRsMoZk8GQQ,Kaliya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP6AqXupVeCwqxcr8Tdib_dmL7k5qKkDDVePTU=w224-h395-k-no
ChIJecY5OTPfmTkRCi4rEH_UrhA,Markaz Masjid Balrampur,All,https://lh5.googleusercontent.com/p/AF1QipNe1cjaEPUJGdmavxJebcpkcNOPkc0qi9WMNqWg=w397-h298-k-no
