name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Bade Khan Gazi Masjid - Sunni Hanafi,Mosque,"FWVQ+2GW Bade Khan Gazi Masjid - Sunni Hanafi, Motiganj, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Motiganj, Manikhamb",FWVQ+2GW,"Balasore, Gopalgoan",756001,Odisha,IN,https://www.google.com/maps/place/Bade+Khan+Gazi+Masjid+-+Sunni+Hanafi/data=!4m7!3m6!1s0x3a1cf500e6ef3d51:0xfe6bf04f4373d217!8m2!3d21.4926096!4d86.9388287!16s%2Fg%2F11f0kxnbmp!19sChIJUT3v5gD1HDoRF9JzQ0_wa_4?authuser=0&hl=en&rclk=1,"21.492609599999998,86.9388287"
Eidgah Masjid - Sunni Hanafi,Mosque,"GW2G+PWP Eidgah Masjid - Sunni Hanafi, Vivekanand Marg, Balasore, Gopalgoan, Odisha 756001",Balasore,"GW2G+PWP, Vivekanand Marg",Gopalgoan,756001,Odisha,IN,https://www.google.com/maps/place/Eidgah+Masjid+-+Sunni+Hanafi/data=!4m7!3m6!1s0x3a1cf5a3f7984467:0xc90b3822680d8350!8m2!3d21.5018272!4d86.9273404!16s%2Fg%2F11bwghlph0!19sChIJZ0SY96P1HDoRUIMNaCI4C8k?authuser=0&hl=en&rclk=1,"21.501827199999997,86.92734039999999"
Arad Bazar Masjid - Sunni Masjid,Mosque,"Arad Bazar Masjid - Sunni Masjid, Arad Bazaar Rd, Arad Bazar, Balia, Balasore, Gopalgoan, Odisha 756001","Arad Bazar, Balia",Arad Bazaar Rd,"Balasore, Gopalgoan",756001,Odisha,IN,https://www.google.com/maps/place/Arad+Bazar+Masjid+-+Sunni+Masjid/data=!4m7!3m6!1s0x3a1cf5bcef284b05:0x2659d3f1a4489af7!8m2!3d21.5087222!4d86.9256875!16s%2Fg%2F11c2pwkb8b!19sChIJBUso77z1HDoR95pIpPHTWSY?authuser=0&hl=en&rclk=1,"21.508722199999998,86.9256875"
Quadri Rizvi Masjid - Sunni Hanafi,Mosque,"GW6H+R56 Quadri Rizvi Masjid - Sunni Hanafi, Lalbahadur Shastri Marg, Arad Bazar, Balia, Balasore, Gopalgoan, Odisha 756001","Arad Bazar, Balia","GW6H+R56, Lalbahadur Shastri Marg","Balasore, Gopalgoan",756001,Odisha,IN,https://www.google.com/maps/place/Quadri+Rizvi+Masjid+-+Sunni+Hanafi/data=!4m7!3m6!1s0x3a1cf5bbf03c4eab:0xeded579d01c895ab!8m2!3d21.5120414!4d86.9278923!16s%2Fg%2F11c2lr3m6x!19sChIJq0488Lv1HDoRq5XIAZ1X7e0?authuser=0&hl=en&rclk=1,"21.512041399999998,86.9278923"
Khawaja Bagh Masjid - Sunni Hanafi,Mosque,"FWPX+5W6 Khawaja Bagh Masjid - Sunni Hanafi, Mallikashpur, Balasore, Gopalgoan, Odisha 756002",Mallikashpur,FWPX+5W6,"Balasore, Gopalgoan",756002,Odisha,IN,https://www.google.com/maps/place/Khawaja+Bagh+Masjid+-+Sunni+Hanafi/data=!4m7!3m6!1s0x3a1cf4fb1c56bb3f:0x1a11f2920b512072!8m2!3d21.4854096!4d86.9497734!16s%2Fg%2F1pyqvjr_q!19sChIJP7tWHPv0HDoRciBRC5LyERo?authuser=0&hl=en&rclk=1,"21.4854096,86.9497734"
Farooqi Masjid - Tablighi Jamaat (Sunni Hanafi),Mosque,"FXQ2+88M Farooqi Masjid - Tablighi Jamaat (Sunni Hanafi), Puruna Balasore Rd, Mallikashpur, Balasore, Gopalgoan, Odisha 756002",Mallikashpur,"FXQ2+88M, Puruna Balasore Rd","Balasore, Gopalgoan",756002,Odisha,IN,https://www.google.com/maps/place/Farooqi+Masjid+-+Tablighi+Jamaat+%28Sunni+Hanafi%29/data=!4m7!3m6!1s0x3a1cf4fa3b064afb:0x508dda49b9678065!8m2!3d21.4883274!4d86.9507869!16s%2Fg%2F11bwysgpsr!19sChIJ-0oGO_r0HDoRZYBnuUnajVA?authuser=0&hl=en&rclk=1,"21.4883274,86.9507869"
Boro Mosque,Mosque,"FWMR+RCC Boro Mosque, Mallikashpur, Balasore, Taziabad, Odisha 756002",Mallikashpur,FWMR+RCC,"Balasore, Taziabad",756002,Odisha,IN,https://www.google.com/maps/place/Boro+Mosque/data=!4m7!3m6!1s0x3a1cf502ea1f6133:0xeae5958402dc7074!8m2!3d21.4845639!4d86.941019!16s%2Fg%2F1pyqhc5p4!19sChIJM2Ef6gL1HDoRdHDcAoSV5eo?authuser=0&hl=en&rclk=1,"21.484563899999998,86.941019"
Jama Masjid Balasore - Sunni Hanafi,Mosque,"FWHX+JMH Jama Masjid Balasore - Sunni Hanafi, Mallikashpur, Balasore, Hidigan, Odisha 756002",Mallikashpur,FWHX+JMH,"Balasore, Hidigan",756002,Odisha,IN,https://www.google.com/maps/place/Jama+Masjid+Balasore+-+Sunni+Hanafi/data=!4m7!3m6!1s0x3a1cf4e447cb1c4d:0xb0694a1a03b828ca!8m2!3d21.4790668!4d86.9492294!16s%2Fg%2F1pyqkz0wg!19sChIJTRzLR-T0HDoRyii4AxpKabA?authuser=0&hl=en&rclk=1,"21.4790668,86.9492294"
Qalandari Masjid,Mosque,"FWWV+FVX Qalandari Masjid, Manikhamb, Balasore, Gopalgoan, Odisha 756003",Manikhamb,FWWV+FVX,"Balasore, Gopalgoan",756003,Odisha,IN,https://www.google.com/maps/place/Qalandari+Masjid/data=!4m7!3m6!1s0x3a1cf4557416ad8d:0xc3ac945e2ffd60d0!8m2!3d21.4962398!4d86.9447292!16s%2Fg%2F11bw5zkf_9!19sChIJja0WdFX0HDoR0GD9L16UrMM?authuser=0&hl=en&rclk=1,"21.496239799999998,86.9447292"
Dargha Mosque,Mosque,"FWQW+PQW Dargha Mosque, Puruna Balasore Rd, Old Balasore, Balasore, Gopalgoan, Odisha 756002",Old Balasore,"FWQW+PQW, Puruna Balasore Rd","Balasore, Gopalgoan",756002,Odisha,IN,https://www.google.com/maps/place/Dargha+Mosque/data=!4m7!3m6!1s0x3a1cf4fea834ed89:0xd75083544be17c6d!8m2!3d21.4893583!4d86.9469641!16s%2Fg%2F11bwggm7z5!19sChIJie00qP70HDoRbXzhS1SDUNc?authuser=0&hl=en&rclk=1,"21.4893583,86.9469641"
