place_id,place_name,about,link
ChIJRwmkktHoQzkRpWX5hNSEEFg,Madinah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOY0nDPKEq3Jwx_hP5oyimBuq56oQtMFvFzlpeZ=w529-h298-k-no
ChIJRwmkktHoQzkRpWX5hNSEEFg,Madinah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j0za0oRDx78jqk0Moq1roA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.6615&pitch=0&thumbfov=100
ChIJRwmkktHoQzkRpWX5hNSEEFg,Madinah Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNxjHXtBquoFLOaH3yIb44Hbnsip4gZUD7FPzdS=w332-h298-k-no
ChIJteOZAMboQzkRT0Su9n2y-7U,Noorani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOsqRfo6Q0SgOSfwxrG0N0lmA6cdFmcihI5trx-=w529-h298-k-no
ChIJteOZAMboQzkRT0Su9n2y-7U,Noorani Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMu8LF5a7yuOayBtpSMKY4ZpXm1eKLDcKm-Umdt=w529-h298-k-no
ChIJteOZAMboQzkRT0Su9n2y-7U,Noorani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eudBi8k_fvbxt-bguKGvyg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=289.88495&pitch=0&thumbfov=100
ChIJydo87CnpQzkRVloTzQTHDkE,Nagina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPT7A82hMFq5mLfBbLHBuiA9EEAlgTTYlQg2rgL=w224-h298-k-no
ChIJydo87CnpQzkRVloTzQTHDkE,Nagina Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOObdAKq8SNeZ_-seN3kXjU0pGKAiGuaE5nOFfn=w224-h298-k-no-pi0-ya4.0000052-ro-0-fo100
ChIJydo87CnpQzkRVloTzQTHDkE,Nagina Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPCWt8JaiX1YTySoratjlUV3jfRf2TBn2ptrIY=w224-h389-k-no
ChIJe0jZUtfoQzkRJqjzV8RAU_0,Dargah Hazrat Bhola Peer,All,https://lh5.googleusercontent.com/p/AF1QipPH7K4hlygJsVh3xxpbxzKkUdGdvM_TJr9hNWsE=w529-h298-k-no
ChIJe0jZUtfoQzkRJqjzV8RAU_0,Dargah Hazrat Bhola Peer,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Cre9kENnt7tF8butxpLEHg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=290.87933&pitch=0&thumbfov=100
ChIJe0jZUtfoQzkRJqjzV8RAU_0,Dargah Hazrat Bhola Peer,Videos,https://lh5.googleusercontent.com/p/AF1QipObJtqG-AmvJPf6iYAb0jrBOlUSGetTS6dyOqt9=w529-h298-k-no
ChIJt8XkRtroQzkR3b4GnUjHTRo,Garib Nawaz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPsvRadrc4PU6Hyde1SixG8ZkR91vxqLqwhTOUI=w224-h399-k-no
ChIJt8XkRtroQzkR3b4GnUjHTRo,Garib Nawaz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kC6CnMNin9JxnRxUi6cg6Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=338.50912&pitch=0&thumbfov=100
ChIJHUYaNS7vQzkRGhGbTqmgCTE,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lmx1x_YS5-IKLhXr9DS3_A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=196.21269&pitch=0&thumbfov=100
