name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Madinah Masjid,Mosque,"R6MV+X68 Madinah Masjid, Ward Number 17, Madinah Mohalla, Balotra, Rajasthan 344022","Ward Number 17, Madinah Mohalla",R6MV+X68,Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Madinah+Masjid/data=!4m7!3m6!1s0x3943e8d192a40947:0x581084d484f965a5!8m2!3d25.8349109!4d72.2430682!16s%2Fg%2F1hhkrdsp2!19sChIJRwmkktHoQzkRpWX5hNSEEFg?authuser=0&hl=en&rclk=1,"25.8349109,72.2430682"
Noorani Masjid,Mosque,"R6VX+594 Noorani Masjid, Noorani Mohllah, National Highway 112, Balotra, Rajasthan 344022",,"R6VX+594, Noorani Mohllah, National Highway 112",Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Noorani+Masjid/data=!4m7!3m6!1s0x3943e8c60099e3b5:0xb5fbb27df6ae444f!8m2!3d25.8428998!4d72.2484391!16s%2Fg%2F11b8_ptw3r!19sChIJteOZAMboQzkRT0Su9n2y-7U?authuser=0&hl=en&rclk=1,"25.842899799999998,72.2484391"
Nagina Masjid,Mosque,"R6FV+H83 Nagina Masjid, Jerla Rd, Balotra, Rajasthan 344022",,"R6FV+H83, Jerla Rd",Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Nagina+Masjid/data=!4m7!3m6!1s0x3943e929ec3cdac9:0x410ec704cd135a56!8m2!3d25.8238827!4d72.2433043!16s%2Fg%2F12cpqfh8z!19sChIJydo87CnpQzkRVloTzQTHDkE?authuser=0&hl=en&rclk=1,"25.8238827,72.24330429999999"
Dargah Hazrat Bhola Peer,Mosque,"R6JX+F3J Dargah Hazrat Bhola Peer, Behind Balotra railway station, Balotra, Rajasthan 344022",,"R6JX+F3J, Behind Balotra railway station",Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Dargah+Hazrat+Bhola+Peer/data=!4m7!3m6!1s0x3943e8d752d9487b:0xfd5340c457f3a826!8m2!3d25.8312232!4d72.2476521!16s%2Fg%2F1hhwfsb3v!19sChIJe0jZUtfoQzkRJqjzV8RAU_0?authuser=0&hl=en&rclk=1,"25.8312232,72.2476521"
Garib Nawaz Masjid,Mosque,"R7M2+73P Garib Nawaz Masjid, Jhanwar - Balotra Rd, Balotra, Rajasthan 344022",,"R7M2+73P, Jhanwar - Balotra Rd",Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Garib+Nawaz+Masjid/data=!4m7!3m6!1s0x3943e8da46e4c5b7:0x1a4dc7489d06bedd!8m2!3d25.8332234!4d72.2502083!16s%2Fg%2F12cpg071w!19sChIJt8XkRtroQzkR3b4GnUjHTRo?authuser=0&hl=en&rclk=1,"25.833223399999998,72.2502083"
Masjid,Mosque,"R6MH+72H Masjid, Balotra, Rajasthan 344022",,R6MH+72H,Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3943ef2e351a461d:0x3109a0a94e9b111a!8m2!3d25.8331776!4d72.2276187!16s%2Fg%2F12cnrv05r!19sChIJHUYaNS7vQzkRGhGbTqmgCTE?authuser=0&hl=en&rclk=1,"25.8331776,72.2276187"
Tayyba Masjid,Mosque,"R6PX+Q67 Tayyba Masjid, Balotra, Rajasthan 344022",,R6PX+Q67,Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Tayyba+Masjid/data=!4m7!3m6!1s0x3943e8d0003c0171:0x1b62e7f4ee120085!8m2!3d25.836909!4d72.2480619!16s%2Fg%2F12cpf0r24!19sChIJcQE8ANDoQzkRhQAS7vTnYhs?authuser=0&hl=en&rclk=1,"25.836909,72.2480619"
Masjid e Moula Ali,Mosque,"R6XQ+J65 Masjid e Moula Ali, Unnamed Road, Balotra, Rajasthan 344022",,"R6XQ+J65, Unnamed Road",Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Masjid+e+Moula+Ali/data=!4m7!3m6!1s0x3943e9fb3bdd3355:0x25d4e12a3502b5a9!8m2!3d25.8490155!4d72.238125!16s%2Fg%2F11h41qw340!19sChIJVTPdO_vpQzkRqbUCNSrh1CU?authuser=0&hl=en&rclk=1,"25.8490155,72.238125"
Masjid Laal Shah,Mosque,"R7P5+XC8 Masjid Laal Shah, Balotra, Rajasthan 344022",,R7P5+XC8,Balotra,344022,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Laal+Shah/data=!4m7!3m6!1s0x3943e8dd389d60b3:0xadc06968020f8333!8m2!3d25.8374101!4d72.2585838!16s%2Fg%2F11c1wr_6ws!19sChIJs2CdON3oQzkRM4MPAmhpwK0?authuser=0&hl=en&rclk=1,"25.8374101,72.2585838"
Masjid-e-Kabristan,Mosque,"R6GW+X3J Masjid-e-Kabristan, In Kabristan, Balotra, Rajasthan",,"R6GW+X3J, In Kabristan",Balotra,,Rajasthan,IN,https://www.google.com/maps/place/Masjid-e-Kabristan/data=!4m7!3m6!1s0x3943e8d652947119:0x82a79b409e03fc99!8m2!3d25.8274522!4d72.2451479!16s%2Fg%2F11c5_wfrz4!19sChIJGXGUUtboQzkRmfwDnkCbp4I?authuser=0&hl=en&rclk=1,"25.8274522,72.24514789999999"
