place_id,place_name,about,link
ChIJTUwY4cKtdjkRmePa1755Dx4,Maqqa Maszid,All,https://lh5.googleusercontent.com/p/AF1QipPCkbJIuYAkvCBVbUWM3JCjYINT-1CZ53IjSBko=w224-h472-k-no
ChIJTUwY4cKtdjkRmePa1755Dx4,Maqqa Maszid,By owner,https://lh5.googleusercontent.com/p/AF1QipPCkbJIuYAkvCBVbUWM3JCjYINT-1CZ53IjSBko=w224-h472-k-no
ChIJG5xeoEbjDDkRXak7mlvVX74,Kalan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOokSYSy-YY2RmhStO927ip1ELQGyM3_29z2KfY=w238-h298-k-no
ChIJG5xeoEbjDDkRXak7mlvVX74,Kalan Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HoxWhqMFpOy20cA0CMNzPg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=124.59403&pitch=0&thumbfov=100
ChIJG5xeoEbjDDkRXak7mlvVX74,Kalan Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNYfzmR786Vo4tRHUNvviSg_G7CZYpZmjBOvEtP=w224-h448-k-no
ChIJq2n-QEGZfDkRa0dwCtTXoW4,Masjid Bawdi Wali,All,https://lh5.googleusercontent.com/p/AF1QipPsaCDXUEThhM4_v8DDP9wB75X_MPW331tX3mwV=w529-h298-k-no
ChIJq2n-QEGZfDkRa0dwCtTXoW4,Masjid Bawdi Wali,Videos,https://lh5.googleusercontent.com/p/AF1QipOkRvKI__pdgpwE-cN2uIHT94J1GSkdsIv1O3sb=w224-h398-k-no
ChIJjyrZvZOPYzkRHM5V3tAQ2BA,Zama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPUQm5sOkU5y7CnsNxwPQUFXcr9ZcIanqv_Xj-g=w224-h493-k-no
ChIJjyrZvZOPYzkRHM5V3tAQ2BA,Zama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPUQm5sOkU5y7CnsNxwPQUFXcr9ZcIanqv_Xj-g=w224-h493-k-no
ChIJjyrZvZOPYzkRHM5V3tAQ2BA,Zama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMUSPceS7kvI3L0X63LaKrkSMhz2_rpnVgX8qGj=w224-h398-k-no
ChIJ1RqFsXqPdzkRKKx2SKK-f_Y,Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP35cMCW_yqYNDhgpfc6nNyYdwMNpQhiWEJrWYN=w662-h298-k-no
ChIJ85Jsl84zcDkR3d-VGWhDrjA,masjid msjid,All,https://lh5.googleusercontent.com/p/AF1QipNPC1CQbr8WO-LRdLzmAqBklLwFa0m4JUO2rAkB=w397-h298-k-no
ChIJT_32-W6TdjkRGjEeHQY1y8A,Masjid e Abubakar,All,https://lh5.googleusercontent.com/p/AF1QipM4qZzbmZb7LL3xxAMOY0Nf7pRKGTg-JHtvLsMN=w224-h298-k-no
ChIJpZGbx5rJfDkR1txaOHQaV_A,Masjid pagrawad kalan,All,https://lh5.googleusercontent.com/p/AF1QipN4Q4oNSocx08dBTQ5tn1dg3T5jTq8ZU8diYHd3=w395-h298-k-no
ChIJJx0H5KNhfDkRNcLBGmS8pQc,Jama Masjid Khori,All,https://lh5.googleusercontent.com/p/AF1QipO3Oo-_MmeBaKecnHmT6xiMliFfX48EXjoiXiIS=w224-h398-k-no
ChIJJx0H5KNhfDkRNcLBGmS8pQc,Jama Masjid Khori,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B01f4vpUYGwuV4SKFuxYjQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=316.19064&pitch=0&thumbfov=100
ChIJKVt4PDLBdjkRmAviCuH_p7M,Jumma masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5ZHz3DLihVZYHFAHcrg2kQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.59799&pitch=0&thumbfov=100
ChIJKVt4PDLBdjkRmAviCuH_p7M,Jumma masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5ZHz3DLihVZYHFAHcrg2kQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.59799&pitch=0&thumbfov=100
ChIJKVt4PDLBdjkRmAviCuH_p7M,Jumma masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOs0-ycNn9po6yuUTUix1NmZc9pRjRPNANJAKPZ=w224-h398-k-no
ChIJZ4DoZcwTejkRfEvCp7BNCNA,Jama masjid kalabag,All,https://lh5.googleusercontent.com/p/AF1QipOZclkFj7FJxOuVHUOYiZdtY7RpA6MpND6-3bsn=w529-h298-k-no
ChIJZ4DoZcwTejkRfEvCp7BNCNA,Jama masjid kalabag,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ap14P3QYUnXVA-ar_lNwog&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.28543&pitch=0&thumbfov=100
ChIJBQbB-CFjeDkR2PgeP4oD7jM,maszid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=naYDrkxKsGKQjndmtzsCbA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=172.07266&pitch=0&thumbfov=100
ChIJBQbB-CFjeDkR2PgeP4oD7jM,maszid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=naYDrkxKsGKQjndmtzsCbA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=172.07266&pitch=0&thumbfov=100
ChIJM-3V3qy_djkRbkBwxubAhFc,Masjid salman farsi,All,https://lh5.googleusercontent.com/p/AF1QipMdW_XgBmOOZfcLTxaFnibRK-nkxLRZOlNq8pf8=w224-h398-k-no
ChIJ7RJxSGivfDkR7F7IilACNSE,Abubakar masjid,All,https://lh5.googleusercontent.com/p/AF1QipNrIOUY6jUhsGpT9HSMkS4_7XvvK60SLtNQAFkG=w395-h298-k-no
ChIJ7RJxSGivfDkR7F7IilACNSE,Abubakar masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNB8OLQyNEucVRab3TpEUj0gEK70cqmaTn7L-0n=w224-h398-k-no
ChIJx0xkdhL7bzkR3W5Fjv4_ArI,Masjid bamuliya kalan,All,https://lh5.googleusercontent.com/p/AF1QipN8EW7qNXGmJKiCdHMrGRvPQlWy3pnVtqkiB4Vh=w224-h398-k-no
ChIJEdWta5iTfDkRKF1pSV_kS8g,masjid madrse wali,All,https://lh5.googleusercontent.com/p/AF1QipM-rUpFGJXDAcnwh55kp2hBQnPt-ytceR5L1F5v=w224-h398-k-no
ChIJEdWta5iTfDkRKF1pSV_kS8g,masjid madrse wali,Videos,https://lh5.googleusercontent.com/p/AF1QipM-rUpFGJXDAcnwh55kp2hBQnPt-ytceR5L1F5v=w224-h398-k-no
ChIJQ0DzbtLteTkRwGbhMCN8cxA,Bamore Kalan,All,https://lh5.googleusercontent.com/p/AF1QipOmcX2jN0fprWyHTKOEz2IiQmFH7LMCeGhEaXWV=w397-h298-k-no
ChIJQ0DzbtLteTkRwGbhMCN8cxA,Bamore Kalan,Videos,https://lh5.googleusercontent.com/p/AF1QipM7tTCuq5NEW0tSWbUZqQs4w_qRLkuWqNc9lAkd=w529-h298-k-no
ChIJcytzRyOxdjkR0g0CPkUvGFo,Masjid Nurabad,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=grEU-9VKBGdN8s2VrOIr9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=281.87848&pitch=0&thumbfov=100
ChIJcytzRyOxdjkR0g0CPkUvGFo,Masjid Nurabad,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=grEU-9VKBGdN8s2VrOIr9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=281.87848&pitch=0&thumbfov=100
ChIJVTuIr_hzfDkRizLu4ZpG6tI,Masjid Budhor,All,https://lh5.googleusercontent.com/p/AF1QipPLLcj-Ev_6BP3gq_i_I59pvNw71JeOU_N3qeXn=w224-h342-k-no
ChIJVTuIr_hzfDkRizLu4ZpG6tI,Masjid Budhor,Videos,https://lh5.googleusercontent.com/p/AF1QipPEDOjJxOdk2nnN73e5CfP41S7rJ3262zOy8M7K=w224-h497-k-no
ChIJTSHcGki5gjkRALMnrQB3Z2Y,JAMA masjid kurraha,All,https://lh5.googleusercontent.com/p/AF1QipN8HicpMx5sSo0lwsrTr0G6hTBr-OllkpOI6q5u=w224-h298-k-no
ChIJTSHcGki5gjkRALMnrQB3Z2Y,JAMA masjid kurraha,Latest,https://lh5.googleusercontent.com/p/AF1QipPth886DLTRXUBPwAcL2EWWPELNM2Bhj54qcmAe=w224-h398-k-no
ChIJTSHcGki5gjkRALMnrQB3Z2Y,JAMA masjid kurraha,Videos,https://lh5.googleusercontent.com/p/AF1QipPth886DLTRXUBPwAcL2EWWPELNM2Bhj54qcmAe=w224-h398-k-no
ChIJoeEl2AuJfDkRIBIukEeXDqg,jaamaa msjid baamuliyaa,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tp92Aj466KE1pe6tpO5SLA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=115.37886&pitch=0&thumbfov=100
ChIJoeEl2AuJfDkRIBIukEeXDqg,jaamaa msjid baamuliyaa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tp92Aj466KE1pe6tpO5SLA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=115.37886&pitch=0&thumbfov=100
ChIJq7jNUm-ffDkRKQfy60eNfWs,Masjid Islam pura ( msjid islaampuraa ),All,https://lh5.googleusercontent.com/p/AF1QipOovn342NT3EXUxx_0w9sqqx0Uko5kpcfUxDM90=w224-h298-k-no
ChIJq7jNUm-ffDkRKQfy60eNfWs,Masjid Islam pura ( msjid islaampuraa ),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8LjVHgW-LZfUfRY0fufcvA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=160.13551&pitch=0&thumbfov=100
ChIJq7jNUm-ffDkRKQfy60eNfWs,Masjid Islam pura ( msjid islaampuraa ),Videos,https://lh5.googleusercontent.com/p/AF1QipNyi-dC6Z9YVSXE0YZNpenkpPzhjsPqjvGtE7Xd=w224-h395-k-no
