name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Garabad New (Jame Masjid),Mosque,"Garabad New (Jame Masjid), Garabad, Tentultala, West Bengal 743502",,,"Garabad, Tentultala",743502,West Bengal,IN,https://www.google.com/maps/place/Garabad+New+%28Jame+Masjid%29/data=!4m7!3m6!1s0x3a02056f2994e34d:0x60efbc59491dcbfd!8m2!3d22.4953858!4d88.675372!16s%2Fg%2F11thm2ybmj!19sChIJTeOUKW8FAjoR_csdSVm872A?authuser=0&hl=en&rclk=1,"22.495385799999998,88.675372"
Tipu Sultan Masjid Kolkata,Mosque,"Tipu Sultan Masjid Kolkata, 185, Lenin Sarani Rd, Esplanade, Chandni Chawk, Ward Number 46, Kolkata, West Bengal 700013","Esplanade, Chandni Chawk, Ward Number 46","185, Lenin Sarani Rd",Kolkata,700013,West Bengal,IN,https://www.google.com/maps/place/Tipu+Sultan+Masjid+Kolkata/data=!4m7!3m6!1s0x3a0277a7c161e97f:0xb98c0c81435de34b!8m2!3d22.5655184!4d88.3520934!16zL20vMGJfbF83!19sChIJf-lhwad3AjoRS-NdQ4EMjLk?authuser=0&hl=en&rclk=1,"22.5655184,88.3520934"
Ganima Masjid msjd,Mosque,"9CWR+X4X Ganima Masjid msjd, Malancha Mahi Nagar, Faridpur, West Bengal 700147",Malancha Mahi Nagar,9CWR+X4X,Faridpur,700147,West Bengal,IN,https://www.google.com/maps/place/Ganima+Masjid+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3a026d75524171f7:0x3e248521415d5b8f!8m2!3d22.3974838!4d88.4403562!16s%2Fg%2F11f1pkt707!19sChIJ93FBUnVtAjoRj1tdQSGFJD4?authuser=0&hl=en&rclk=1,"22.3974838,88.4403562"
BAGER MASJID,Mosque,"XC3H+6FW BAGER MASJID, Bidhanpally, Halisahar, Kolkata, Kanchrapara, West Bengal 743145","Bidhanpally, Halisahar",XC3H+6FW,"Kolkata, Kanchrapara",743145,West Bengal,IN,https://www.google.com/maps/place/BAGER+MASJID/data=!4m7!3m6!1s0x39f894f0dc4e26fd:0x612f0b3f1bd25db8!8m2!3d22.953118!4d88.4286888!16s%2Fg%2F11hbg8z0kq!19sChIJ_SZO3PCU-DkRuF3SGz8LL2E?authuser=0&hl=en&rclk=1,"22.953118,88.42868879999999"
BAGKHAL JAMA MASJID,Mosque,"P972+V67 BAGKHAL JAMA MASJID, Jawahar Lal Nehru Sarani, Bagkhal, Rishra, West Bengal 712248","Jawahar Lal Nehru Sarani, Bagkhal, Rishra",P972+V67,,712248,West Bengal,IN,https://www.google.com/maps/place/BAGKHAL+JAMA+MASJID/data=!4m7!3m6!1s0x39f89b6458e98b89:0x43e0cf2588aa6f11!8m2!3d22.7146742!4d88.3505508!16s%2Fg%2F11f3m97hzq!19sChIJiYvpWGSb-DkREW-qiCXP4EM?authuser=0&hl=en&rclk=1,"22.714674199999997,88.3505508"
Mallickpara Boro Masjid,Mosque,"Mallickpara Boro Masjid, 35, Mallicpara, Ghoramara, Serampore, Hooghly, Dakshin Rajyadharpur, West Bengal 712203","Mallicpara, Ghoramara, Serampore",35,"Hooghly, Dakshin Rajyadharpur",712203,West Bengal,IN,https://www.google.com/maps/place/Mallickpara+Boro+Masjid/data=!4m7!3m6!1s0x39f89b2615b66fa1:0xd3287412d141f44e!8m2!3d22.7497311!4d88.3345819!16s%2Fg%2F11c6cd1jt2!19sChIJoW-2FSab-DkRTvRB0RJ0KNM?authuser=0&hl=en&rclk=1,"22.749731099999998,88.33458189999999"
Purani Masjid,Mosque,"Purani Masjid, Purani Masjid, 24 parganas North,, Jagatdal, Kolkata, West Bengal 743132",Jagatdal,"Purani Masjid, 24 parganas North,","Kolkata, Bhatpara",743132,West Bengal,IN,https://www.google.com/maps/place/Purani+Masjid/data=!4m7!3m6!1s0x39f89122f48a9487:0x7a7f4a28a86c3e67!8m2!3d22.8590824!4d88.3837914!16s%2Fg%2F11c5xkwy7b!19sChIJh5SK9CKR-DkRZz5sqChKf3o?authuser=0&hl=en&rclk=1,"22.8590824,88.38379139999999"
BORO MASJID,Mosque,"7V24+4QX BORO MASJID, Bahir Sarbamangala Para Rd, Khudiram Pally, Bardhaman, West Bengal 713101",Khudiram Pally,"7V24+4QX, Bahir Sarbamangala Para Rd",Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/BORO+MASJID/data=!4m7!3m6!1s0x39f849e05da00c23:0xc90c0ce9eb260d92!8m2!3d23.2503684!4d87.8569957!16s%2Fg%2F11cjpczp5x!19sChIJIwygXeBJ-DkRkg0m6-kMDMk?authuser=0&hl=en&rclk=1,"23.2503684,87.8569957"
Kachchi Mosque,Mosque,"P9H2+FFR Kachchi Mosque, Abdul Kalam Azad Rd, Bangur Park, Kali Tala, West Bengal 712248","Bangur Park, Kali Tala","P9H2+FFR, Abdul Kalam Azad Rd",,712248,West Bengal,IN,https://www.google.com/maps/place/Kachchi+Mosque/data=!4m7!3m6!1s0x39f89b6d1987b79b:0xc60574b4edc66002!8m2!3d22.7287375!4d88.3511348!16s%2Fg%2F1q6j8f75g!19sChIJm7eHGW2b-DkRAmDG7bR0BcY?authuser=0&hl=en&rclk=1,"22.728737499999998,88.3511348"
Mollaber Masjid,Mosque,"P7CX+4R5 Mollaber Masjid, Mollaber Village, Mollarber, West Bengal 712310",Mollaber Village,P7CX+4R5,Mollarber,712310,West Bengal,IN,https://www.google.com/maps/place/Mollaber+Masjid/data=!4m7!3m6!1s0x39f884973326b5e7:0x9685cf024e4b8083!8m2!3d22.7202718!4d88.299612!16s%2Fg%2F11c4c2_xm0!19sChIJ57UmM5eE-DkRg4BLTgLPhZY?authuser=0&hl=en&rclk=1,"22.7202718,88.299612"
