place_id,place_name,about,link
ChIJsZFgeseDnjkRtrWzjGuTAHM,Masjid Noori,All,https://lh5.googleusercontent.com/p/AF1QipMydsxtHbJFofOP-PwgEVU7qqSKsfO99H0Efs6s=w397-h298-k-no
ChIJsZFgeseDnjkRtrWzjGuTAHM,Masjid Noori,Videos,https://lh5.googleusercontent.com/p/AF1QipO6ansayHfytBcq5qRUywhoY7UH47IIRplaCMwi=w224-h398-k-no
ChIJF2szbLiDnjkRgww3xXvrmm4,Gulam Mustafa Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPK3OgUfmjhc6PVwg1e_wqLfD0XkCPVmXy7S7ta=w224-h298-k-no
ChIJLTmyWsiDnjkR34eCgGk11ys,Makka Masjid Bangarmau,All,https://lh5.googleusercontent.com/p/AF1QipNcOl28beqAuwvM1O4igpwXJsCHlsMuAwwVKz9g=w529-h298-k-no
ChIJLTmyWsiDnjkR34eCgGk11ys,Makka Masjid Bangarmau,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Lnv2hmmv6oe5LZZ4-5-ZoA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=345.1414&pitch=0&thumbfov=100
ChIJe-9w7siDnjkRAHrXJ8_W2Q0,SheeshMahal Masjid Bangarmau,All,https://lh5.googleusercontent.com/p/AF1QipMpbDProJBpjlRO7EmHWZuJ44lZz7eG8ImpMW2O=w529-h298-k-no
ChIJe-9w7siDnjkRAHrXJ8_W2Q0,SheeshMahal Masjid Bangarmau,Dome,https://lh5.googleusercontent.com/p/AF1QipM0IiuWmn07MK4ZXT9VF4ogwvUgXgDkEDs_4b2y=w224-h398-k-no
ChIJe-9w7siDnjkRAHrXJ8_W2Q0,SheeshMahal Masjid Bangarmau,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ni5frT28bpzuXtf1NEh0Jg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=326.7419&pitch=0&thumbfov=100
ChIJAdzHELeDnjkRMqcvYLMUuHk,Jama Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IKCqjdHRyQamNPxq1YVdRg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=279.76764&pitch=0&thumbfov=100
ChIJAdzHELeDnjkRMqcvYLMUuHk,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IKCqjdHRyQamNPxq1YVdRg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=279.76764&pitch=0&thumbfov=100
