place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJf8lDbOLlDDkRX_6NSPi-DTc,ICICI BANK ATM,All,https://lh5.googleusercontent.com/p/AF1QipOK29tQkvQwoOpV8WYnUFuw9ITVs83cJc-sh5QD=w227-h298-k-no
ChIJf8lDbOLlDDkRX_6NSPi-DTc,ICICI BANK ATM,Exterior,https://lh5.googleusercontent.com/p/AF1QipOK29tQkvQwoOpV8WYnUFuw9ITVs83cJc-sh5QD=w227-h298-k-no
ChIJh-6PznXkDDkR_hpBgqNeqj0,Axis Bank ATM,All,https://lh5.googleusercontent.com/p/AF1QipOdzdJIJ0CrTExQ8f7paaRwP7_6gSNqjCitwXsK=w224-h298-k-no
ChIJh-6PznXkDDkR_hpBgqNeqj0,Axis Bank ATM,Exterior,https://lh5.googleusercontent.com/p/AF1QipMe0_fj_BEUwuxibqsKzd8mDSY9olftBnCmiSnn=w224-h298-k-no
ChIJh-6PznXkDDkR_hpBgqNeqj0,Axis Bank ATM,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2aIH87e_zWu6Pl0g0yIcHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=112.687485&pitch=0&thumbfov=100
ChIJ8bZeJC3iDDkRbOBujykJ9Jo,Bank Of Baroda,All,https://lh5.googleusercontent.com/p/AF1QipMXfsy1WA9hMRVHUgSJCDS85GiAt05820RnVgW4=w529-h298-k-no
ChIJ8bZeJC3iDDkRbOBujykJ9Jo,Bank Of Baroda,By owner,https://lh5.googleusercontent.com/p/AF1QipMXfsy1WA9hMRVHUgSJCDS85GiAt05820RnVgW4=w529-h298-k-no
ChIJ8bZeJC3iDDkRbOBujykJ9Jo,Bank Of Baroda,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uRmUl5y7TF7kO9MD1pwi5w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=19.595154&pitch=0&thumbfov=100
ChIJhViviMTlDDkRDs_pKNCexdk,Digital Dakiya,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6Tbkun8e_YllqgsDDvRbhA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=233.743&pitch=0&thumbfov=100
ChIJhViviMTlDDkRDs_pKNCexdk,Digital Dakiya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6Tbkun8e_YllqgsDDvRbhA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=233.743&pitch=0&thumbfov=100
ChIJafVIr2bjDDkRoD6EWY_gI70,ICICI BANK ATM,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lg50lHR3viiOkTP65RCI3A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=13.574488&pitch=0&thumbfov=100
ChIJafVIr2bjDDkRoD6EWY_gI70,ICICI BANK ATM,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lg50lHR3viiOkTP65RCI3A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=13.574488&pitch=0&thumbfov=100
ChIJ-8mkTInjDDkRDZIebaWK9JA,Jama Masjid of Zakir Nagar,All,https://lh5.googleusercontent.com/p/AF1QipNnQ7KPxTjCyAkzPdMrVL8pyfdlcBb8MjgK2jim=w298-h298-k-no
ChIJ-8mkTInjDDkRDZIebaWK9JA,Jama Masjid of Zakir Nagar,Latest,https://lh5.googleusercontent.com/p/AF1QipMqjhIlV0OvWu8_GgGkSe8bFhkL0O7eYylmTFYm=w224-h398-k-no
ChIJ-8mkTInjDDkRDZIebaWK9JA,Jama Masjid of Zakir Nagar,Videos,https://lh5.googleusercontent.com/p/AF1QipNyJBE-1StcYpeKx-qx0nWA2fjxnXZXwrlzJla6=w224-h440-k-no
ChIJ-8mkTInjDDkRDZIebaWK9JA,Jama Masjid of Zakir Nagar,By owner,https://lh5.googleusercontent.com/p/AF1QipP1EvRuOfox6TwSsA6-QDw3so9laiwQuLzbjfvA=w224-h485-k-no
ChIJ-8mkTInjDDkRDZIebaWK9JA,Jama Masjid of Zakir Nagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=axn5J6I_hv_Ns5ogPT3yQA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=30.408138&pitch=0&thumbfov=100
ChIJE13e0XXkDDkRmatH5aZWAeA,Khalilullah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMTNUbx3lD0q7y16NcdzZuav8KGw75kUagWw90a=w397-h298-k-no
ChIJE13e0XXkDDkRmatH5aZWAeA,Khalilullah Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipO7PdRpC5LpCNpQZjf8JPHvNdq4KucpDiXDn77d=w224-h298-k-no
ChIJE13e0XXkDDkRmatH5aZWAeA,Khalilullah Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNzFAyXsbcvVRRJ6AMKkaGBfhoFQCdSpV9iNHdH=w529-h298-k-no
