place_id,place_name,about,link
ChIJ5988mKN4AjoRwGq15fTnrDk,Baitul Aman Zame Masijd,All,https://lh5.googleusercontent.com/p/AF1QipMOlcJcqndLKPF-8H-0QDBiSIT_xn-5sYsty7F5=w529-h298-k-no
ChIJ5988mKN4AjoRwGq15fTnrDk,Baitul Aman Zame Masijd,Latest,https://lh5.googleusercontent.com/p/AF1QipM_9TEAqtRXOv4VWVjSkfAVysIhrGw6-Sx_moaJ=w397-h298-k-no
ChIJ5988mKN4AjoRwGq15fTnrDk,Baitul Aman Zame Masijd,Videos,https://lh5.googleusercontent.com/p/AF1QipPf7MZRH6Y6q2PlrLzU0_YLWrJPis4tNYEEzEwr=w224-h398-k-no
ChIJ5YmmzIB4AjoRMT0jkylyBHA,BANKRA MONDAL PARA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipPO9by-uXd7jkk76BpxkYFdZPilyuK9kxgOst4W=w224-h298-k-no
ChIJ5YmmzIB4AjoRMT0jkylyBHA,BANKRA MONDAL PARA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RcTR-g1jJ14kqVci-cFqSw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.86625&pitch=0&thumbfov=100
ChIJ5YmmzIB4AjoRMT0jkylyBHA,BANKRA MONDAL PARA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipNaabKcdztGxfwhT-rOVJ7BEB8kB2CmXQF7fUZt=w224-h398-k-no
ChIJozynqIF4AjoR59pMWaRYaAg,JAM-E-MASJID BANKRA,All,https://lh5.googleusercontent.com/p/AF1QipPBWGBZ550RDS4PO69PEe--mOaF8VARyNYrCk-Y=w551-h298-k-no
ChIJozynqIF4AjoR59pMWaRYaAg,JAM-E-MASJID BANKRA,Dome,https://lh5.googleusercontent.com/p/AF1QipNUZhkPyX7idRbp5K8tM-bWncw20u9V3ZlnxGZ-=w224-h448-k-no
ChIJozynqIF4AjoR59pMWaRYaAg,JAM-E-MASJID BANKRA,Videos,https://lh5.googleusercontent.com/p/AF1QipPyGv00sIW5VjvOpw_GJ7TbBIxeSOB_sLOSHMs5=w529-h298-k-no
ChIJozynqIF4AjoR59pMWaRYaAg,JAM-E-MASJID BANKRA,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMFsHEwLoF-j_5OcfI7FznFz6PqoEFDtlEAyELu=w224-h298-k-no-pi-10-ya358-ro-0-fo100
ChIJyWKJuqN4AjoRMhPMAYyMP90,Iztama markaz,All,https://lh5.googleusercontent.com/p/AF1QipNAcRqI-eA5UPXvlUGtt61hFcx6GfWeWdNNA10M=w397-h298-k-no
ChIJyWKJuqN4AjoRMhPMAYyMP90,Iztama markaz,Latest,https://lh5.googleusercontent.com/p/AF1QipPcefu9x84RhhMdQ2GK0v6D0uln9d0kEPClB8tO=w224-h398-k-no
ChIJyWKJuqN4AjoRMhPMAYyMP90,Iztama markaz,Videos,https://lh5.googleusercontent.com/p/AF1QipNf-lMO3Qxmnd-ejWbg4JoOVtBl9K7tNDQLodSW=w541-h298-k-no
