place_id,place_name,about,link
ChIJvw1YTziWtTsRk5keGEQg2fM,Roshan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPeX3k_2m3WmJnnb3bZ06zfJ_JKL6Fd0z-NdTw=w397-h298-k-no
ChIJvw1YTziWtTsRk5keGEQg2fM,Roshan Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eoUwV2nsUt_TaJgViMUrTQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=208.68741&pitch=0&thumbfov=100
ChIJsQKOjQu9pDsRMdja323UoJI,Bannur Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iu0xkCKIN2VYlT0Z94c0eg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=260.44342&pitch=0&thumbfov=100
ChIJsQKOjQu9pDsRMdja323UoJI,Bannur Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iu0xkCKIN2VYlT0Z94c0eg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=260.44342&pitch=0&thumbfov=100
ChIJITVikgq9pDsR5o9XbfTMR8k,Masjid E Noori Sunni Hanafi Juma Masjid Bannur,All,https://lh5.googleusercontent.com/p/AF1QipNGrqD3-OJ24nQFhiJIrMTVyi3HtIsaw3HdTKAp=w329-h298-k-no
ChIJITVikgq9pDsR5o9XbfTMR8k,Masjid E Noori Sunni Hanafi Juma Masjid Bannur,Dome,https://lh5.googleusercontent.com/p/AF1QipNtz-Ypt7SYd2TUhcwY10NRIEO1UUq3THAMRDYT=w397-h298-k-no
ChIJITVikgq9pDsR5o9XbfTMR8k,Masjid E Noori Sunni Hanafi Juma Masjid Bannur,Videos,https://lh5.googleusercontent.com/p/AF1QipPx9emZNTMLxUCR5SaQAY39uP-yQEFybLJtiUBp=w529-h298-k-no
ChIJITVikgq9pDsR5o9XbfTMR8k,Masjid E Noori Sunni Hanafi Juma Masjid Bannur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xzbNg9tEYH8J5KxJB28swQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=47.00005&pitch=0&thumbfov=100
ChIJzXV0sA8NrzsRiHixzMWgQJk,"Jamia Masjid Markaz, Bannur (jm` msjd ,bnwr)",All,https://lh5.googleusercontent.com/p/AF1QipOgsqAKuojy7NSJ6KKhNWBYuZ5k1owU-Gk3Mp8j=w224-h298-k-no
ChIJzXV0sA8NrzsRiHixzMWgQJk,"Jamia Masjid Markaz, Bannur (jm` msjd ,bnwr)",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7ihG5oP7vFBHNQ2bcxUAXw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=284.70175&pitch=0&thumbfov=100
ChIJ1TOk1xENrzsRAkd4ICfiF5M,"Masjid-E-Aqsa, Bannur (msjd qSy)",All,https://lh5.googleusercontent.com/p/AF1QipOerncxPhgnhXOAvZJwmufQilxM8Dvj4HBlYJ1y=w224-h398-k-no
ChIJ1TOk1xENrzsRAkd4ICfiF5M,"Masjid-E-Aqsa, Bannur (msjd qSy)",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZjcBvLXepAC4beVT4PVzoA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=100.9369&pitch=0&thumbfov=100
ChIJ1TOk1xENrzsRAkd4ICfiF5M,"Masjid-E-Aqsa, Bannur (msjd qSy)",Videos,https://lh5.googleusercontent.com/p/AF1QipMKn7SpadKigtazc6LlZDPFzJ2ELrAQcpMmnkLm=w224-h407-k-no
ChIJfdTrBg4NrzsR3kaJT3LpnQw,"Madina Masjid Trust, Bannur (mdyn@ msjd )",All,https://lh5.googleusercontent.com/p/AF1QipOqYITFnDmFqgJProC_svBAoVj37r6mTWqV5hb7=w529-h298-k-no
ChIJfdTrBg4NrzsR3kaJT3LpnQw,"Madina Masjid Trust, Bannur (mdyn@ msjd )",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2kSSJWCx1PXYaiMdvxWIvA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=317.28305&pitch=0&thumbfov=100
ChIJfdTrBg4NrzsR3kaJT3LpnQw,"Madina Masjid Trust, Bannur (mdyn@ msjd )",Videos,https://lh5.googleusercontent.com/p/AF1QipN6QmlRk_1ZCEyiptevJqmOfNFZSjVJqYP6cEIB=w529-h298-k-no
ChIJ1VL09Q4NrzsRHdym81f3i8g,"Masjid-E-Rahmati, Bannur (msjdi rHmt~)",All,https://lh5.googleusercontent.com/p/AF1QipMLsRTpQuxAgZPcWsoGpT3G-QL057UQ2AlxUQX3=w397-h298-k-no
ChIJHaomkgu9pDsR8R8r6UVtwIc,Badriya Jumma Masjid Bannur,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Nt9vqUt5pPzi5v0fnFFwNA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=216.23933&pitch=0&thumbfov=100
