place_id,place_name,about,link
ChIJI3czqRuT-DkRxM_RTcVQvpE,Shyama stores,All,https://lh5.googleusercontent.com/p/AF1QipNHXqIy5O97pA-4mZGMf1iP8SuWZy5g5uRFd6Hm=w397-h298-k-no
ChIJI3czqRuT-DkRxM_RTcVQvpE,Shyama stores,Videos,https://lh5.googleusercontent.com/p/AF1QipOz6Ssr_2y8BwKy9ZVVGFdTuzl6PF-7PPNuLLlY=w529-h298-k-no
ChIJXWq7ilyT-DkRSLFuA1LNncQ,Jinnati Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOYpLOa4RFwnP2HJjBkgStkrOk8R3rQKO5RAcrg=w224-h398-k-no
ChIJXWq7ilyT-DkRSLFuA1LNncQ,Jinnati Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPHtP4kbgwAfqBizfwdqRq_enKO8zibzUWIYuru=w224-h334-k-no
ChIJXWq7ilyT-DkRSLFuA1LNncQ,Jinnati Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP2ongQJhi1BJUaEPkkP59rmL6IJ-4a2RYWh4v7=w541-h298-k-no
ChIJXWq7ilyT-DkRSLFuA1LNncQ,Jinnati Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NWXkzCYe9xR3m4JBNoUm1w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=280.5038&pitch=0&thumbfov=100
ChIJRyASIEOT-DkR5iwOvYVAp18,Madina Masjid(Ahle Sunnat),All,https://lh5.googleusercontent.com/p/AF1QipMupk0Ej94HZ_tGIY99f7npnmc2ke7MYFxb2yz_=w397-h298-k-no
ChIJRyASIEOT-DkR5iwOvYVAp18,Madina Masjid(Ahle Sunnat),Dome,https://lh5.googleusercontent.com/p/AF1QipPbB0sn--fPGMuYLq2lWkesRttUEtDdHy72fpPE=w272-h298-k-no
ChIJRyASIEOT-DkR5iwOvYVAp18,Madina Masjid(Ahle Sunnat),Videos,https://lh5.googleusercontent.com/p/AF1QipMhOi79-SPQTgrUaofAPPzhR9b0ZvcPgJo4l0EV=w541-h298-k-no
ChIJRyASIEOT-DkR5iwOvYVAp18,Madina Masjid(Ahle Sunnat),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K2yff_96m2u7oGy2anUI5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.60611&pitch=0&thumbfov=100
ChIJMVKk_2aT-DkRm8r6qP5ZZ-g,Masjid FAZLUR RAHMANIA,All,https://lh5.googleusercontent.com/p/AF1QipMCpvcTKrym1oDPnq1_IYZDlTO0gEaISA8fd99w=w527-h298-k-no
ChIJMVKk_2aT-DkRm8r6qP5ZZ-g,Masjid FAZLUR RAHMANIA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2dEMoWWvNmfmKdRwdITiRQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=131.69797&pitch=0&thumbfov=100
ChIJMVKk_2aT-DkRm8r6qP5ZZ-g,Masjid FAZLUR RAHMANIA,Videos,https://lh5.googleusercontent.com/p/AF1QipMA9jnAYf__1UQcjP4xMI6sfZWQ_R8T9muIMufj=w529-h298-k-no
ChIJuxfV_FyT-DkR_K7ewPFamfA,Mohammadi Masjid Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipMXNrsJfcw2SyOVtYLEFnYcAVBF_kkJNEA_ipEm=w397-h298-k-no
ChIJuxfV_FyT-DkR_K7ewPFamfA,Mohammadi Masjid Ahle Hadees,Latest,https://lh5.googleusercontent.com/p/AF1QipPgfe7TtAdaXPEvNDdVPtbsTfI5BK9e4r9npFii=w397-h298-k-no
ChIJ886HRVuT-DkRXeIqBZrELvQ,Masjid e Iqra msjd,All,https://lh5.googleusercontent.com/p/AF1QipMY4n5UXCupltwQdPj-8QO1iCibBBj0vKJxE6Tm=w224-h298-k-no
ChIJ886HRVuT-DkRXeIqBZrELvQ,Masjid e Iqra msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipO08M00yzp9domsutt6J4njDp5ymCUrbecbPtun=w397-h298-k-no
