place_id,place_name,about,link
ChIJzfEJcLw_SjoRc-2efNrzxZ4,Hajrath Syed Qutubuddin Sha Khakhai Maatanvali Avuliya Dargah,All,https://lh5.googleusercontent.com/p/AF1QipNaPnS6Lv482buGLhw-5c-IuDUHq7Vt9PKRNn-I=w529-h298-k-no
ChIJzfEJcLw_SjoRc-2efNrzxZ4,Hajrath Syed Qutubuddin Sha Khakhai Maatanvali Avuliya Dargah,Dome,https://lh5.googleusercontent.com/p/AF1QipNGyccHUe_ek33dr-2QZNTUgmNBQHKfKZGBtyZJ=w397-h298-k-no
ChIJzfEJcLw_SjoRc-2efNrzxZ4,Hajrath Syed Qutubuddin Sha Khakhai Maatanvali Avuliya Dargah,Videos,https://lh5.googleusercontent.com/p/AF1QipPa_5HRsALUZeE-cCKkqDGhXJdangFy9Q-GSeIi=w529-h298-k-no
ChIJRStvZ3A_SjoRghIjLCE8e7A,Ahlehadees masjid,All,https://lh5.googleusercontent.com/p/AF1QipNbdKCBvZVGOz2nUM7cB6T4BWJLH0KhiCFZnyPA=w397-h298-k-no
ChIJ0f54mOdASjoRN3IKYWsoFqs,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MITuS9bLMjDFntmxwS05LA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=67.59107&pitch=0&thumbfov=100
ChIJ0f54mOdASjoRN3IKYWsoFqs,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MITuS9bLMjDFntmxwS05LA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=67.59107&pitch=0&thumbfov=100
ChIJyVhBoZ4_SjoRrRsdV1Imxtc,Masjid-e-Anjuman,All,https://lh5.googleusercontent.com/p/AF1QipPG-u4xcZHgmtGZdt72t1tNekjER30dSdoGdlNm=w397-h298-k-no
ChIJyVhBoZ4_SjoRrRsdV1Imxtc,Masjid-e-Anjuman,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XdBKMOF67Cn5v4d5q72Ecw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=5.334832&pitch=0&thumbfov=100
ChIJ_yuUaZw_SjoR6Fb8b7aqFO4,Mosque,All,https://lh5.googleusercontent.com/p/AF1QipPGOCepBJc6sP1_b-ZP4buuwUxF-FjODzGGaZfN=w397-h298-k-no
ChIJ_yuUaZw_SjoR6Fb8b7aqFO4,Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9WYpa5MAPRHzdnDdDVnceA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=344.7016&pitch=0&thumbfov=100
ChIJ_yuUaZw_SjoR6Fb8b7aqFO4,Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipNkIrtJxnuhiK7qNwW-y-lnPufm-reb3xLA1G2b=w529-h298-k-no
ChIJI86yNc8_SjoR6VYEmdJcAx8,"Madina Masjid,Jamedarpeta",All,https://lh5.googleusercontent.com/p/AF1QipPKFOCMGnRMj5JWnx6S3HiRypK9hlyn4VZtZ7uH=w224-h485-k-no
