place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJk8-_OQrkDDkROG2MINyFw6k,Masjid Babul ilm,All,https://lh5.googleusercontent.com/p/AF1QipMY5yPMgETbLmmmvH7-wETBg16jevr5L3E1ttZe=w224-h298-k-no
ChIJk8-_OQrkDDkROG2MINyFw6k,Masjid Babul ilm,Latest,https://lh5.googleusercontent.com/p/AF1QipNEgzHzp8pb3qtY3xirQTN5q0iiabKU6aIlvP29=w224-h302-k-no
ChIJk8-_OQrkDDkROG2MINyFw6k,Masjid Babul ilm,Videos,https://lh5.googleusercontent.com/p/AF1QipOhSwfU14aBojeIIIPrfGaG86Bgg9-NW6oDtjkq=w224-h398-k-no
ChIJk8-_OQrkDDkROG2MINyFw6k,Masjid Babul ilm,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zOs3qizhGBlZvBIBXc0sww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=242.58801&pitch=0&thumbfov=100
ChIJlamLQufjDDkRxPwjfWxcY4Y,(Giri Nagar) Masjid Govindpuri msjd gwwndpwry,All,https://lh5.googleusercontent.com/p/AF1QipOMRB8WrXG7qJaIg7UlTVgGysHQtGDRY1MXKEpB=w298-h298-k-no
ChIJlamLQufjDDkRxPwjfWxcY4Y,(Giri Nagar) Masjid Govindpuri msjd gwwndpwry,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeZowRqhN-F-zGyrZvlvdA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=150.78642&pitch=0&thumbfov=100
ChIJlamLQufjDDkRxPwjfWxcY4Y,(Giri Nagar) Masjid Govindpuri msjd gwwndpwry,Videos,https://lh5.googleusercontent.com/p/AF1QipMdTE7J3iTZKFKy3rulmECUwlZdraaKtshIduZF=w529-h298-k-no
ChIJox67OrzlDDkRM-u89hKEBAA,Char Minar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM7gw3nE09EvQ65JYTnIUL6HGfKvkcMjRGiuV6z=w224-h298-k-no
ChIJox67OrzlDDkRM-u89hKEBAA,Char Minar Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMAKGf5KkGcUa3QvA6UYcLV-wl2Cf5KeuSupcvJ=w224-h502-k-no
ChIJox67OrzlDDkRM-u89hKEBAA,Char Minar Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNWtt47S2QbqOIuHlJmdWDgmYeZX4x_MibEkd3p=w224-h397-k-no
ChIJm24ZoLID8zkRB1jhLRGARjc,Bara Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oXNJm46nLCEHT-J1xbxdtw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=101.46582&pitch=0&thumbfov=100
ChIJm24ZoLID8zkRB1jhLRGARjc,Bara Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oXNJm46nLCEHT-J1xbxdtw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=101.46582&pitch=0&thumbfov=100
