name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Masjid Barah Bhaiyan, Talab Para",Mosque,"4G37+275 Masjid Barah Bhaiyan, Talab Para, Talab Para Rd, Sadar Bazar, Baran, Rajasthan 325205",Sadar Bazar,"4G37+275, Talab Para Rd",Baran,325205,Rajasthan,IN,"https://www.google.com/maps/place/Masjid+Barah+Bhaiyan,+Talab+Para/data=!4m7!3m6!1s0x3970010fdb5826b5:0xb53f5fc754d93cda!8m2!3d25.1028791!4d76.5134615!16s%2Fg%2F1pp2wwpbt!19sChIJtSZY2w8BcDkR2jzZVMdfP7U?authuser=0&hl=en&rclk=1","25.1028791,76.51346149999999"
Masjid Shopriyan Ansari,Mosque,"4G38+H7R Masjid Shopriyan Ansari, Mangrol Bypass, Sadar Bazar, Baran, Rajasthan 325205",Sadar Bazar,"4G38+H7R, Mangrol Bypass",Baran,325205,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Shopriyan+Ansari/data=!4m7!3m6!1s0x39700110350a4299:0xa88b10f282ea1059!8m2!3d25.1039878!4d76.5156295!16s%2Fg%2F1pp2vmzyb!19sChIJmUIKNRABcDkRWRDqgvIQi6g?authuser=0&hl=en&rclk=1,"25.1039878,76.5156295"
Razvia Masjid,Mosque,"4G48+WG3 Razvia Masjid, Gopal Colony, Baran, Rajasthan 325205",Gopal Colony,4G48+WG3,Baran,325205,Rajasthan,IN,https://www.google.com/maps/place/Razvia+Masjid/data=!4m7!3m6!1s0x397001122877e8cf:0x31fa6bd1e26f9c50!8m2!3d25.1072635!4d76.5163094!16s%2Fg%2F11dyyy702t!19sChIJz-h3KBIBcDkRUJxv4tFr-jE?authuser=0&hl=en&rclk=1,"25.1072635,76.5163094"
Mecca Masjid,Mosque,"4G46+5V8 Mecca Masjid, RJ SH 1, Gandhi Colony, Baran, Rajasthan 325205",Gandhi Colony,"4G46+5V8, RJ SH 1",Baran,325205,Rajasthan,IN,https://www.google.com/maps/place/Mecca+Masjid/data=!4m7!3m6!1s0x3970010e69aa341b:0x666851cc81e7a878!8m2!3d25.1054199!4d76.5121968!16s%2Fg%2F1pp2vn4nb!19sChIJGzSqaQ4BcDkReKjngcxRaGY?authuser=0&hl=en&rclk=1,"25.105419899999998,76.5121968"
Eidgah Baran,Mosque,"4G34+FG7 Eidgah Baran, eidgah bypass, Hospital Rd, Baran, Rajasthan 325205",Gandhi Colony,"4G34+FG7, eidgah bypass, Hospital Rd","Baran, Nalka",325205,Rajasthan,IN,https://www.google.com/maps/place/Eidgah+Baran/data=!4m7!3m6!1s0x397001091c801e7b:0xd1e77851dbb722f6!8m2!3d25.1036688!4d76.5063119!16s%2Fg%2F1pp2vn4dw!19sChIJex6AHAkBcDkR9iK321F459E?authuser=0&hl=en&rclk=1,"25.103668799999998,76.5063119"
"Masjid Neelgaran, Baran, Rajasthan",Mosque,"4G29+GG8 Masjid Neelgaran, Baran, Rajasthan, Shahabad, gate, Baran, Rajasthan 325205",gate,"4G29+GG8, Shahabad",Baran,325205,Rajasthan,IN,"https://www.google.com/maps/place/Masjid+Neelgaran,+Baran,+Rajasthan/data=!4m7!3m6!1s0x3970011a0efc25a3:0xc2e1fd4709400ae8!8m2!3d25.1012793!4d76.5188189!16s%2Fg%2F11c5rs146q!19sChIJoyX8DhoBcDkR6ApACUf94cI?authuser=0&hl=en&rclk=1","25.101279299999998,76.5188189"
"Masjid, Gazanpura",Mosque,"4F47+CGF Masjid, Gazanpura, Bamboliya, Baran, Rajasthan 325205",Bamboliya,4F47+CGF,Baran,325205,Rajasthan,IN,"https://www.google.com/maps/place/Masjid,+Gazanpura/data=!4m7!3m6!1s0x397001ddb9bd4887:0xf5ae708ae5423b44!8m2!3d25.106052!4d76.463805!16s%2Fg%2F11fy2plrwf!19sChIJh0i9ud0BcDkRRDtC5YpwrvU?authuser=0&hl=en&rclk=1","25.106052,76.463805"
Jama Masjid,Mosque,"4G28+7CC Jama Masjid, Sadar Bazar, Baran, Rajasthan 325205",Sadar Bazar,4G28+7CC,Baran,325205,Rajasthan,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x397001f7c98c0b19:0xca37fc2a32ff97e9!8m2!3d25.1006961!4d76.5160027!16s%2Fg%2F11h8r1zddd!19sChIJGQuMyfcBcDkR6Zf_Mir8N8o?authuser=0&hl=en&rclk=1,"25.1006961,76.5160027"
Nayapuyra Maszid,Mosque,"4G48+78H Nayapuyra Maszid, Gopal Colony, Baran, Rajasthan 325205",Gopal Colony,4G48+78H,Baran,325205,Rajasthan,IN,https://www.google.com/maps/place/Nayapuyra+Maszid/data=!4m7!3m6!1s0x397001085ad866a5:0xd032560e280b45ab!8m2!3d25.1056782!4d76.5158725!16s%2Fg%2F11h_ycvlx_!19sChIJpWbYWggBcDkRq0ULKA5WMtA?authuser=0&hl=en&rclk=1,"25.1056782,76.5158725"
Masjid Bhola Shah Sahab,Mosque,"Masjid Bhola Shah Sahab, Near, Mangrol Bypass, Sadar Bazar, Baran, Rajasthan 325205",Sadar Bazar,"Near, Mangrol Bypass",Baran,325205,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Bhola+Shah+Sahab/data=!4m7!3m6!1s0x3970010fc7f5278b:0xf4a0c15e4cafc83a!8m2!3d25.103289!4d76.5127983!16s%2Fg%2F11f5bxl3nz!19sChIJiyf1xw8BcDkROsivTF7BoPQ?authuser=0&hl=en&rclk=1,"25.103289,76.5127983"
