name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Kamarhati Badi Masjid,Mosque,"Kamarhati Badi Masjid, new line, Sabji Bagan Rd, Kamarhati, Kolkata, West Bengal 700058",Kamarhati,"new line, Sabji Bagan Rd",Kolkata,700058,West Bengal,IN,https://www.google.com/maps/place/Kamarhati+Badi+Masjid/data=!4m7!3m6!1s0x39f89c5957fe6eb7:0x9e921699476e6ff1!8m2!3d22.6763298!4d88.3675103!16s%2Fg%2F1tp1x707!19sChIJt27-V1mc-DkR8W9uR5kWkp4?authuser=0&hl=en&rclk=1,"22.676329799999998,88.36751029999999"
Alambazar Jama Masjid,Mosque,"J9W6+2VC Alambazar Jama Masjid, Maharaja Nand Kumar Rd, Barahanagar Jute Mill Area, Ariadaha, Baranagar, West Bengal 700035","Barahanagar Jute Mill Area, Ariadaha","J9W6+2VC, Maharaja Nand Kumar Rd",Baranagar,700035,West Bengal,IN,https://www.google.com/maps/place/Alambazar+Jama+Masjid/data=!4m7!3m6!1s0x39f89da234747edd:0x6b992314ac741709!8m2!3d22.645068!4d88.3621251!16s%2Fg%2F11b6jbzq_0!19sChIJ3X50NKKd-DkRCRd0rBQjmWs?authuser=0&hl=en&rclk=1,"22.645068,88.3621251"
Noori Jamia Masjid,Mosque,"Noori Jamia Masjid, 110, PB Ghat Rd, Kamarhati, Agarpara, Panihati, West Bengal 700058","Kamarhati, Agarpara","110, PB Ghat Rd",Panihati,700058,West Bengal,IN,https://www.google.com/maps/place/Noori+Jamia+Masjid/data=!4m7!3m6!1s0x39f89c5d77d64389:0xbda4efbdc760e456!8m2!3d22.6822623!4d88.3700771!16s%2Fg%2F1thtm_zh!19sChIJiUPWd12c-DkRVuRgx73vpL0?authuser=0&hl=en&rclk=1,"22.682262299999998,88.37007709999999"
Basak Bagan Jama Masjid,Mosque,"Basak Bagan Jama Masjid, 99, Cossipore Rd, CIT, Cossipore, Kolkata, West Bengal 700002","CIT, Cossipore","99, Cossipore Rd",Kolkata,700002,West Bengal,IN,https://www.google.com/maps/place/Basak+Bagan+Jama+Masjid/data=!4m7!3m6!1s0x39f89d8fb29cadcf:0x5818e4706253ac01!8m2!3d22.6213893!4d88.3748038!16s%2Fg%2F11b8_q2y73!19sChIJz62cso-d-DkRAaxTYnDkGFg?authuser=0&hl=en&rclk=1,"22.6213893,88.3748038"
Kalakar Para Makka Masjid,Mosque,"Kalakar Para Makka Masjid, 25/1, RN Kalakar Para, Alam Bazar, Dhirendra Nath Chatterjee Rd, Alambazar, Ashokgarh, Baranagar, West Bengal 700035","Alambazar, Ashokgarh","25/1, RN Kalakar Para, Alam Bazar, Dhirendra Nath Chatterjee Rd",Baranagar,700035,West Bengal,IN,https://www.google.com/maps/place/Kalakar+Para+Makka+Masjid/data=!4m7!3m6!1s0x39f89da8eff1f3c9:0xf92037b966cba736!8m2!3d22.6494947!4d88.3658448!16s%2Fg%2F11c5zyk3_y!19sChIJyfPx76id-DkRNqfLZrk3IPk?authuser=0&hl=en&rclk=1,"22.649494699999998,88.36584479999999"
Agarpara Jama Masjid Kamarhati,Mosque,"3, Agarpara Jama Masjid Kamarhati, 1, Graham Rd, Kamarhati, Ariadaha, Panihati, West Bengal 700058","Kamarhati, Ariadaha","3, 1, Graham Rd",Panihati,700058,West Bengal,IN,https://www.google.com/maps/place/Agarpara+Jama+Masjid+Kamarhati/data=!4m7!3m6!1s0x39f89c4355d1754b:0x2310ce6c3c38de8c!8m2!3d22.677446!4d88.3726847!16s%2Fg%2F11hblpqphq!19sChIJS3XRVUOc-DkRjN44PGzOECM?authuser=0&hl=en&rclk=1,"22.677446,88.3726847"
BALLY JAMA MASJID,Mosque,"BALLY JAMA MASJID, Shri Charan Sarani, near krishna Tower, Bally Khal, Howrah, West Bengal 711201",Bally Khal,"Shri Charan Sarani, near krishna Tower",Howrah,711201,West Bengal,IN,https://www.google.com/maps/place/BALLY+JAMA+MASJID/data=!4m7!3m6!1s0x39f89d36d6d80b3f:0x6a845ae89acf1dd3!8m2!3d22.6547135!4d88.3468571!16s%2Fg%2F11h6qdqvrq!19sChIJPwvY1jad-DkR0x3PmuhahGo?authuser=0&hl=en&rclk=1,"22.6547135,88.3468571"
Jame Masjid,Mosque,"J9RP+F8F Jame Masjid, Forward Colony, Palpara, Baranagar, West Bengal 700090","Forward Colony, Palpara, Baranagar",J9RP+F8F,Baranagar,700090,West Bengal,IN,https://www.google.com/maps/place/Jame+Masjid/data=!4m7!3m6!1s0x39f89dd6aad3deb1:0xa17abdf8658b58e0!8m2!3d22.6411968!4d88.3858021!16s%2Fg%2F11pdw9b9dp!19sChIJsd7Tqtad-DkR4FiLZfi9eqE?authuser=0&hl=en&rclk=1,"22.6411968,88.38580209999999"
Kamarhati Muhammadi Masjid,Mosque,"Kamarhati Muhammadi Masjid, 91, Toot Bagan, Nehaboot Nagar, Ariadaha, Kolkata, West Bengal 700058","Toot Bagan, Nehaboot Nagar, Ariadaha",91,Kolkata,700058,West Bengal,IN,https://www.google.com/maps/place/Kamarhati+Muhammadi+Masjid/data=!4m7!3m6!1s0x39f89c595f7d8a37:0x4f11f54687d4420a!8m2!3d22.6758702!4d88.3676388!16s%2Fg%2F11gdsfdp85!19sChIJN4p9X1mc-DkRCkLUh0b1EU8?authuser=0&hl=en&rclk=1,"22.6758702,88.3676388"
Jamuria Mosque,Mosque,"J98G+VG3 Jamuria Mosque, Lala Babu Ln, Sawdagarh Pally, Cossipore, Kolkata, West Bengal 700002","Sawdagarh Pally, Cossipore","J98G+VG3, Lala Babu Ln",Kolkata,700002,West Bengal,IN,https://www.google.com/maps/place/Jamuria+Mosque/data=!4m7!3m6!1s0x39f89d8949081793:0xb5d26424fce3e89d!8m2!3d22.6171479!4d88.3762872!16s%2Fg%2F1q6b6gqgw!19sChIJkxcISYmd-DkRnejj_CRk0rU?authuser=0&hl=en&rclk=1,"22.6171479,88.3762872"
