place_id,place_name,about,link
ChIJy4sZJo1LDDkRbcQKck_0KUI,Badi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMa0ea11uJKnm7LOITCBJUeSSoWHOa9lpxzBTn5=w224-h298-k-no
ChIJy4sZJo1LDDkRbcQKck_0KUI,Badi Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOSPzf8NaKfywsOpOxHEVRud2YGe8yUvAB-Ndai=w224-h398-k-no
ChIJmVDQ0_FLDDkRKISa1Nwle-k,"Station Wali Masjid, Baraut",All,https://lh5.googleusercontent.com/p/AF1QipMNCtDF55VzHJSDFsMw65TQs6Y-DWhrnynPksJ0=w529-h298-k-no
ChIJmVDQ0_FLDDkRKISa1Nwle-k,"Station Wali Masjid, Baraut",Dome,https://lh5.googleusercontent.com/p/AF1QipMNs1RTqNbEVrpcDbYJezfcHDTrbxj-re107r4Q=w529-h298-k-no
ChIJmVDQ0_FLDDkRKISa1Nwle-k,"Station Wali Masjid, Baraut",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bpQtWD8jyj_usuLTjJYOug&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=257.04886&pitch=0&thumbfov=100
ChIJfQ7sHL5LDDkRIbYxwLA5VYM,NOORANI MASJID,All,https://lh5.googleusercontent.com/p/AF1QipM8y08AjgqrABW2cpf1CFpJOhWxAYilXE9OVvzy=w448-h298-k-no
ChIJfQ7sHL5LDDkRIbYxwLA5VYM,NOORANI MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=up7OQp47PGBrhWFvfn4egQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=142.31648&pitch=0&thumbfov=100
ChIJfQ7sHL5LDDkRIbYxwLA5VYM,NOORANI MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipNwEATdkJEDstYnxTXM4WLC2uAVh815bJTye9d6=w224-h398-k-no
ChIJg9vGXZ9ODDkRwwPQqjR2yM8,Jama Masjid Hilwari,All,https://lh5.googleusercontent.com/p/AF1QipMEzAKKp0xCddFfQkSxFVizVttXgDFSUde0dpm7=w443-h298-k-no
ChIJg9vGXZ9ODDkRwwPQqjR2yM8,Jama Masjid Hilwari,Dome,https://lh5.googleusercontent.com/p/AF1QipMqpWZTNGirI7M3-yh_SRwPOsygWMO0UB42JiHn=w224-h398-k-no
ChIJg9vGXZ9ODDkRwwPQqjR2yM8,Jama Masjid Hilwari,Videos,https://lh5.googleusercontent.com/p/AF1QipMJ_TM70YIV_kFjuM64_fMUuxo0svXYwXIf7Urz=w224-h399-k-no
ChIJg9vGXZ9ODDkRwwPQqjR2yM8,Jama Masjid Hilwari,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=It8lfRo9QxqLfiWDfLFMZQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.851006&pitch=0&thumbfov=100
ChIJXV3u1fJLDDkRhuU-yD0A9b8,Aysha Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO-cYiKf68KgfzDLWwUkm5Cr-6AV0X7F8KQCt8J=w224-h398-k-no
ChIJXV3u1fJLDDkRhuU-yD0A9b8,Aysha Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM1f3bx8BVsO9aZUTNfzkQagVXPPjHGf8Mwo6h2=w224-h398-k-no
ChIJ87SHePNLDDkRDnOWZhbVjt8,"Madrsa Darul Quran, Masjid Al Koshr",All,https://lh5.googleusercontent.com/p/AF1QipO9-d_XGJVtqGxMfK4MLLT5GRPOxzKsKkEYDVgp=w596-h298-k-no
ChIJ87SHePNLDDkRDnOWZhbVjt8,"Madrsa Darul Quran, Masjid Al Koshr",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=shExjOX9r2a4t6C1auPaXw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=219.59474&pitch=0&thumbfov=100
ChIJRXk-wfJLDDkRLsf8GxJX7ZI,Abubakar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOqwUch23UbU2zxMPS6rvixzietasbUCYjPdqY=w397-h298-k-no
ChIJRXk-wfJLDDkRLsf8GxJX7ZI,Abubakar Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipO6BiPhClhzCehF8f-UC8olQ2MpvL4-TpdhrB9I=w224-h298-k-no-pi-20-ya111.999985-ro-0-fo100
ChIJe3bhipNLDDkRjXJEk-9jLIs,Chatta Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM-reHil57Xp9TAPQik0WX29bppughy9OnToxNP=w224-h398-k-no
