name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Barabazar Mosque,Mosque,"6VR5+444 Barabazar Mosque, BC Rd, Shyamlal Colony, Baburbag, Bardhaman, West Bengal 713101","Shyamlal Colony, Baburbag","6VR5+444, BC Rd",Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Barabazar+Mosque/data=!4m7!3m6!1s0x39f849d97266488f:0xd0ad092614035315!8m2!3d23.2402533!4d87.8578283!16s%2Fg%2F1tmptd88!19sChIJj0hmctlJ-DkRFVMDFCYJrdA?authuser=0&hl=en&rclk=1,"23.2402533,87.8578283"
Rasikpur Mosque,Mosque,"Rasikpur Mosque, Rasikpur, Subhas Pally, Bardhaman, West Bengal 713101","Rasikpur, Subhas Pally",,Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Rasikpur+Mosque/data=!4m7!3m6!1s0x39f849e77ef00cb1:0xc4f407a7778a1202!8m2!3d23.2490205!4d87.862148!16s%2Fg%2F1264gkjgc!19sChIJsQzwfudJ-DkRAhKKd6cH9MQ?authuser=0&hl=en&rclk=1,"23.2490205,87.86214799999999"
Golapbag Mosque,Mosque,"7V42+923 Golapbag Mosque, University Rd, Bardhaman University, Bardhaman, West Bengal 713104",Bardhaman University,"7V42+923, University Rd",Bardhaman,713104,West Bengal,IN,https://www.google.com/maps/place/Golapbag+Mosque/data=!4m7!3m6!1s0x39f8361bf5794fb9:0x158f4942d099dfc0!8m2!3d23.2558809!4d87.8500514!16s%2Fg%2F124yf15n3!19sChIJuU959Rs2-DkRwN-Z0EJJjxU?authuser=0&hl=en&rclk=1,"23.255880899999998,87.8500514"
Vivekananda College More Masjid,Mosque,"6VG5+44G Vivekananda College More Masjid, Barabalidanga, Bardhaman, West Bengal 713101",Barabalidanga,6VG5+44G,Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Vivekananda+College+More+Masjid/data=!4m7!3m6!1s0x39f849d4d16d2013:0xdd9a4e6ce29534af!8m2!3d23.225321!4d87.8578245!16s%2Fg%2F11f03p4172!19sChIJEyBt0dRJ-DkRrzSV4mxOmt0?authuser=0&hl=en&rclk=1,"23.225320999999997,87.85782449999999"
Court Compound Mosque,Mosque,"6VQC+V3G Court Compound Mosque, Badamtala, Kalibazar, Bardhaman, West Bengal 713101","Badamtala, Kalibazar",6VQC+V3G,Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Court+Compound+Mosque/data=!4m7!3m6!1s0x39f849c67c8d8855:0xe75d9398473f2bca!8m2!3d23.2396801!4d87.8702037!16s%2Fg%2F11cjhjl5cw!19sChIJVYiNfMZJ-DkRyis_R5iTXec?authuser=0&hl=en&rclk=1,"23.239680099999998,87.87020369999999"
Solapukur Masjid,Mosque,"7V3C+4FG Solapukur Masjid, Bajepratappur, Bardhaman, West Bengal 713101",Bajepratappur,7V3C+4FG,Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Solapukur+Masjid/data=!4m7!3m6!1s0x39f849ebb97e9c69:0x176c0e6d91fe3681!8m2!3d23.2528116!4d87.8712071!16s%2Fg%2F11c5hh_gs2!19sChIJaZx-uetJ-DkRgTb-kW0ObBc?authuser=0&hl=en&rclk=1,"23.252811599999998,87.87120709999999"
Kamal Sayar Shaahi Jama Masjid,Mosque,"Kamal Sayar Shaahi Jama Masjid, Goda, Bardhaman, West Bengal 713104",Goda,,Bardhaman,713104,West Bengal,IN,https://www.google.com/maps/place/Kamal+Sayar+Shaahi+Jama+Masjid/data=!4m7!3m6!1s0x39f8361011d92daf:0x88e6457bbebe2c33!8m2!3d23.2594593!4d87.8445272!16s%2Fg%2F11c6sm82nx!19sChIJry3ZERA2-DkRMyy-vntF5og?authuser=0&hl=en&rclk=1,"23.2594593,87.8445272"
Parkas Road Jama Masjid,Mosque,"Parkas Road Jama Masjid, 1, Parcus Rd., Laskar Dighi, Khosbagan, Bardhaman, West Bengal 713101","Laskar Dighi, Khosbagan","1, Parcus Rd.",Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Parkas+Road+Jama+Masjid/data=!4m7!3m6!1s0x39f849c390e35755:0x4266039bdc4d9e72!8m2!3d23.2438959!4d87.8680067!16s%2Fg%2F1pyqjz0rl!19sChIJVVfjkMNJ-DkRcp5N3JsDZkI?authuser=0&hl=en&rclk=1,"23.2438959,87.8680067"
Nurani Masjid (Burdwan district markaj),Mosque,"Nurani Masjid (Burdwan district markaj), 105, BC Rd, Khosbagan, Bardhaman, West Bengal 713101",Khosbagan,"105, BC Rd",Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/Nurani+Masjid+%28Burdwan+district+markaj%29/data=!4m7!3m6!1s0x39f849db03f1dc25:0xc9a6abef59250d71!8m2!3d23.240307!4d87.8627452!16s%2Fg%2F1pyqnqncx!19sChIJJdzxA9tJ-DkRcQ0lWe-rpsk?authuser=0&hl=en&rclk=1,"23.240306999999998,87.86274519999999"
BORO MASJID,Mosque,"7V24+4QX BORO MASJID, Bahir Sarbamangala Para Rd, Khudiram Pally, Bardhaman, West Bengal 713101",Khudiram Pally,"7V24+4QX, Bahir Sarbamangala Para Rd",Bardhaman,713101,West Bengal,IN,https://www.google.com/maps/place/BORO+MASJID/data=!4m7!3m6!1s0x39f849e05da00c23:0xc90c0ce9eb260d92!8m2!3d23.2503684!4d87.8569957!16s%2Fg%2F11cjpczp5x!19sChIJIwygXeBJ-DkRkg0m6-kMDMk?authuser=0&hl=en&rclk=1,"23.2503684,87.8569957"
