name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Bashiran Masjid,Mosque,"2WH2+972 Bashiran Masjid, Barwani, Madhya Pradesh 451551",,2WH2+972,Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Bashiran+Masjid/data=!4m7!3m6!1s0x3961f93e4c7ae18b:0xda3494cac7de30af!8m2!3d22.0283952!4d74.9006331!16s%2Fg%2F11fx679tmb!19sChIJi-F6TD75YTkRrzDex8qUNNo?authuser=0&hl=en&rclk=1,"22.0283952,74.9006331"
Saify Mosque,Mosque,"2VJW+5FH Saify Mosque, Bohra Mohalla, Barwani, Madhya Pradesh 451551",Bohrawari,"2VJW+5FH, Bohra Mohalla",Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Saify+Mosque/data=!4m7!3m6!1s0x3961f96aa31de847:0x39d32f887369e93b!8m2!3d22.0304453!4d74.8962189!16s%2Fg%2F11bwq97gmb!19sChIJR-gdo2r5YTkRO-lpc4gv0zk?authuser=0&hl=en&rclk=1,"22.0304453,74.8962189"
Sahi Masjid,Mosque,"Sahi Masjid, 15, Subhash Marg, Jwahar Ward, Ranipura, Barwani, Madhya Pradesh 451551","Jwahar Ward, Ranipura","15, Subhash Marg",Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Sahi+Masjid/data=!4m7!3m6!1s0x3961f96ba999e133:0x1f5a307223dd5c3c!8m2!3d22.0330099!4d74.8944308!16s%2Fg%2F11d_5mvms0!19sChIJM-GZqWv5YTkRPFzdI3IwWh8?authuser=0&hl=en&rclk=1,"22.0330099,74.8944308"
Kadimi Masjid,Mosque,"2VJX+H6C Kadimi Masjid, Barwani, Madhya Pradesh 451551",,2VJX+H6C,Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Kadimi+Masjid/data=!4m7!3m6!1s0x3961f91549d0e67f:0x911a8081a82a9ac6!8m2!3d22.0314264!4d74.8980042!16s%2Fg%2F11g8sqfdvh!19sChIJf-bQSRX5YTkRxpoqqIGAGpE?authuser=0&hl=en&rclk=1,"22.031426399999997,74.8980042"
Usmania Masjid,Mosque,"2VGW+X7Q Usmania Masjid, Sneh Nagar Colony, Barwani, Madhya Pradesh 451551",Sneh Nagar Colony,2VGW+X7Q,Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Usmania+Masjid/data=!4m7!3m6!1s0x3961f94058555555:0x735e4a071a17e461!8m2!3d22.0274684!4d74.8957324!16s%2Fg%2F11dzv44mkt!19sChIJVVVVWED5YTkRYeQXGgdKXnM?authuser=0&hl=en&rclk=1,"22.0274684,74.8957324"
Eidgah,Mosque,"2VHQ+7Q7 Eidgah, Barwani, Madhya Pradesh 451551",,2VHQ+7Q7,Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Eidgah/data=!4m7!3m6!1s0x3961f94265f039a9:0x2bd30f3808797e2a!8m2!3d22.0281603!4d74.8894124!16s%2Fg%2F11fx68vp_8!19sChIJqTnwZUL5YTkRKn55CDgP0ys?authuser=0&hl=en&rclk=1,"22.0281603,74.8894124"
Saood Masjid,Mosque,"2VQX+V62 Saood Masjid, Barwani, Madhya Pradesh 451551",,2VQX+V62,Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Saood+Masjid/data=!4m7!3m6!1s0x3961f912c6eac71f:0xbda6d443c5d6634a!8m2!3d22.0396308!4d74.8980297!16s%2Fg%2F11fx3zp6qt!19sChIJH8fqxhL5YTkRSmPWxUPUpr0?authuser=0&hl=en&rclk=1,"22.039630799999998,74.8980297"
Mohammedi Marqaz masjid,Mosque,"2VMW+W98 Mohammedi Marqaz masjid, Neminath Nagar, Barwani, Madhya Pradesh 451551",Neminath Nagar,2VMW+W98,Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Mohammedi+Marqaz+masjid/data=!4m7!3m6!1s0x3961f9f855b2e273:0xf33ecc78ede8ee9!8m2!3d22.0347946!4d74.8959594!16s%2Fg%2F11fstmm8vj!19sChIJc-KyVfj5YTkR6Y7ejsfsMw8?authuser=0&hl=en&rclk=1,"22.034794599999998,74.8959594"
Ezzi Masjid,Mosque,"Ezzi Masjid, 174, Devi Singh Marg, Barwani, Madhya Pradesh 451551",,"174, Devi Singh Marg",Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Ezzi+Masjid/data=!4m7!3m6!1s0x3961f9d7e7d7ad79:0xf74fd7cee47868de!8m2!3d22.0289705!4d74.8949431!16s%2Fg%2F11t_vjklc_!19sChIJea3X59f5YTkR3mh45M7XT_c?authuser=0&hl=en&rclk=1,"22.0289705,74.89494309999999"
Zama Masjid,School,"Zama Masjid, 187, MG Rd, Old Itwariya Bazar, Barwani, Madhya Pradesh 451551",Old Itwariya Bazar,"187, MG Rd",Barwani,451551,Madhya Pradesh,IN,https://www.google.com/maps/place/Zama+Masjid/data=!4m7!3m6!1s0x3961f91507eb2f67:0xda4f9068e2f49671!8m2!3d22.0324364!4d74.8999814!16s%2Fg%2F11c6_jxqvc!19sChIJZy_rBxX5YTkRcZb04miQT9o?authuser=0&hl=en&rclk=1,"22.032436399999998,74.8999814"
