place_id,place_name,about,link
ChIJzf8cVMw7zzsR5kuDlIs9itU,Masjid e noore mohammedi,All,https://lh5.googleusercontent.com/p/AF1QipOK6GFN8XW4k3EyB0fDEmlUPWfqbEVR6eLaZKp_=w315-h298-k-no
ChIJzf8cVMw7zzsR5kuDlIs9itU,Masjid e noore mohammedi,Latest,https://lh5.googleusercontent.com/p/AF1QipO_5z9RRZhESEwCl7dkIyTCAu95fvx5LrerGzGY=w529-h298-k-no
ChIJzf8cVMw7zzsR5kuDlIs9itU,Masjid e noore mohammedi,Videos,https://lh5.googleusercontent.com/p/AF1QipOxdFVx1LOnAYNT1YyF0xjsr3QfSKMOXhzfwBH_=w529-h298-k-no
ChIJzf8cVMw7zzsR5kuDlIs9itU,Masjid e noore mohammedi,By owner,https://lh5.googleusercontent.com/p/AF1QipPlhWKecSnHDWYfgQ7scdGX4bUk3GCRG_TeuoON=w529-h298-k-no
ChIJzf8cVMw7zzsR5kuDlIs9itU,Masjid e noore mohammedi,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TFg-vJU2NlENP1FsfyLizg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=287.34808&pitch=0&thumbfov=100
ChIJ731-H447zzsRgM80mphB004,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMbL1dWgZs5Mky3gHQ_8_DgIAZKJRoVOtEHUW9B=w662-h298-k-no
ChIJ731-H447zzsRgM80mphB004,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMh2X6q6xh3OGlS87gEUaP4Nd9oPSccPtDGJisf=w298-h298-k-no
ChIJ731-H447zzsRgM80mphB004,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4kyjcBYcqfWYLoAQ-jIxUw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.48451&pitch=0&thumbfov=100
ChIJM_H6Tbw7zzsRWmCzSTsaxQE,Umar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNikQ6pag0i2v83QaH1c6DRE-cNXCtMwko4-JvP=w268-h298-k-no
ChIJM_H6Tbw7zzsRWmCzSTsaxQE,Umar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jUea4sKAcwsMaQJcBf7-pA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=221.36542&pitch=0&thumbfov=100
ChIJM_H6Tbw7zzsRWmCzSTsaxQE,Umar Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNikQ6pag0i2v83QaH1c6DRE-cNXCtMwko4-JvP=w268-h298-k-no
ChIJQ_BAZ7o7zzsRCm3idKnEWxM,Masjid E Hashmat,All,https://lh5.googleusercontent.com/p/AF1QipMjRoJDSvmZGOHJFr572Wp2dlEItXO0t2QoaQ5l=w529-h298-k-no
ChIJQ_BAZ7o7zzsRCm3idKnEWxM,Masjid E Hashmat,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VV_xW0cIMLkWa8syc5ysHg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=282.85925&pitch=0&thumbfov=100
ChIJHxEfqbw7zzsR1sKGIMZy-b0,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOZjVoTSECPMlA-mIhlzv_TCAdOlZWbQPuaE6iC=w397-h298-k-no
ChIJDxySZo47zzsR-j3cU0mfFeI,Masjid Sang-e- Siyah,All,https://lh5.googleusercontent.com/p/AF1QipMoSO3N-WpAyyzJeedIRH_g4be4ZLvmYpM7nG03=w224-h298-k-no
ChIJDxySZo47zzsR-j3cU0mfFeI,Masjid Sang-e- Siyah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ypqvc1xIp1bVjoLxlv5YLQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=277.94458&pitch=0&thumbfov=100
ChIJ4zJamJI7zzsRy3WoJzX1vfY,Bilal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO-ZyKdzvzTMyZ4YZ9VL8FMr28JAyIY5BJoWCah=w224-h298-k-no
ChIJ4zJamJI7zzsRy3WoJzX1vfY,Bilal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EL14GF9JmD1M3ximGaaIzQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=253.27014&pitch=0&thumbfov=100
ChIJ4zJamJI7zzsRy3WoJzX1vfY,Bilal Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP1YSRnfqGqLbzYAiOgeAUs9LkWzzKPkKhbJNHw=w224-h398-k-no
ChIJQQzmaZo7zzsRT46YeGPShRs,Masjid-e-baitul mukhaddas,All,https://lh5.googleusercontent.com/p/AF1QipNYfEoNOYIgUPA0WJPrZVq7JCf0iTXamuS6eGgH=w397-h298-k-no
ChIJQQzmaZo7zzsRT46YeGPShRs,Masjid-e-baitul mukhaddas,Videos,https://lh5.googleusercontent.com/p/AF1QipNk9C5AR3EMt7Q4KYFQGVP664DR1umgmEFEfzOi=w224-h395-k-no
ChIJBTeKspE7zzsR3KvluBvLvMw,Masjid-e-MOHAMMADIA Mominpura Dharagiri,All,https://lh5.googleusercontent.com/p/AF1QipMoltaHisSvQexC7tlC06l1tiJ1kbAlkegosGw3=w397-h298-k-no
ChIJOVyW6Lo7zzsRGli-ofhqtgQ,Masjid E Hashmat Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipP4cE9LZMQaTFPzQlCOgi3EH9zqGqTPXdrZhSMh=w529-h298-k-no
ChIJOVyW6Lo7zzsRGli-ofhqtgQ,Masjid E Hashmat Ahle Hadees,Videos,https://lh5.googleusercontent.com/p/AF1QipP4cE9LZMQaTFPzQlCOgi3EH9zqGqTPXdrZhSMh=w529-h298-k-no
ChIJ15RDmLA7zzsRejiMTRp1FIg,MASJID E ILAHI,All,https://lh5.googleusercontent.com/p/AF1QipPLSV3BQUiNE6FoI0VP9r9RdbKjp0SO-8lNKFhE=w224-h298-k-no
ChIJ15RDmLA7zzsRejiMTRp1FIg,MASJID E ILAHI,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_T8Vgl81_khifGnvV8dquw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=172.90479&pitch=0&thumbfov=100
ChIJlb1aAI47zzsR6ZU39pTbiEA,Masjide Maqbara,All,https://lh5.googleusercontent.com/p/AF1QipOl90BzwLrhMQ6FrPkbmDEcUskEaIxaPrDeTBRs=w397-h298-k-no
ChIJlb1aAI47zzsR6ZU39pTbiEA,Masjide Maqbara,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n9eOnnUEU8AQo1bCM_bB3g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=18.126957&pitch=0&thumbfov=100
ChIJk9_W5ZI7zzsRtPyMN7fsD2Y,EID GAH,All,https://lh5.googleusercontent.com/p/AF1QipP-jfdkDyCCkeWGnH-fgihp_oA7azvLWz4feGs=w397-h298-k-no
