name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid e noore mohammedi,Mosque,"Masjid e noore mohammedi, Yaqubpura Basavakalyan, Mandai, Basavakalyan, Karnataka 585327",Mandai,Yaqubpura Basavakalyan,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+noore+mohammedi/data=!4m7!3m6!1s0x3bcf3bcc541cffcd:0xd58a3d8b94834be6!8m2!3d17.876956!4d76.9420616!16s%2Fg%2F11sb3l3cnl!19sChIJzf8cVMw7zzsR5kuDlIs9itU?authuser=0&hl=en&rclk=1,"17.876956,76.9420616"
Jama Masjid,Mosque,"Jama Masjid, Mandai, Basavakalyan, Karnataka 585327",Mandai,,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bcf3b8e1f7e7def:0x4ed341989a34cf80!8m2!3d17.8782795!4d76.9484631!16s%2Fg%2F1trpp7l2!19sChIJ731-H447zzsRgM80mphB004?authuser=0&hl=en&rclk=1,"17.878279499999998,76.9484631"
Umar Masjid,Mosque,"Umar Masjid, Azam Colony, 2, Main Rd, Tripuranth, Shivaji Nagar, Basavakalyan, Karnataka 585327","Tripuranth, Shivaji Nagar","Azam Colony, 2, Main Rd",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Umar+Masjid/data=!4m7!3m6!1s0x3bcf3bbc4dfaf133:0x1c51a3b49b3605a!8m2!3d17.8634888!4d76.9491224!16s%2Fg%2F11c0rnsnm_!19sChIJM_H6Tbw7zzsRWmCzSTsaxQE?authuser=0&hl=en&rclk=1,"17.8634888,76.9491224"
Masjid E Hashmat,Mosque,"VW4X+FQW Masjid E Hashmat, Basavakalyan, Karnataka 585327",,VW4X+FQW,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Hashmat/data=!4m7!3m6!1s0x3bcf3bba6740f043:0x135bc4a974e26d0a!8m2!3d17.8562321!4d76.9494658!16s%2Fg%2F11c75sk7j2!19sChIJQ_BAZ7o7zzsRCm3idKnEWxM?authuser=0&hl=en&rclk=1,"17.8562321,76.9494658"
Madina Masjid,Mosque,"VX62+CQC Madina Masjid, 585327, Jaishankar Colony, Madina Colony, Basavakalyan, Karnataka 585327","Jaishankar Colony, Madina Colony","VX62+CQC, 585327",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bcf3bbca91f111f:0xbdf972c62086c2d6!8m2!3d17.8611051!4d76.9522585!16s%2Fg%2F11g6nzx00d!19sChIJHxEfqbw7zzsR1sKGIMZy-b0?authuser=0&hl=en&rclk=1,"17.8611051,76.9522585"
Masjid Sang-e- Siyah,Mosque,"VWJX+577 Masjid Sang-e- Siyah, Khila galli, SH163, Basavakalyan, Karnataka 585327",Mandai,"VWJX+577, Khila galli, SH163",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+Sang-e-+Siyah/data=!4m7!3m6!1s0x3bcf3b8e66921c0f:0xe2159f4953dc3dfa!8m2!3d17.8804189!4d76.9481702!16s%2Fg%2F11cms_j2jh!19sChIJDxySZo47zzsR-j3cU0mfFeI?authuser=0&hl=en&rclk=1,"17.8804189,76.94817019999999"
Bilal Masjid,Mosque,"Bilal Masjid, Yaqoobpura Basavakalyan, Morkhandi, Basavakalyan, Karnataka 585327",Morkhandi,Yaqoobpura Basavakalyan,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Bilal+Masjid/data=!4m7!3m6!1s0x3bcf3b92985a32e3:0xf6bdf53527a875cb!8m2!3d17.8721808!4d76.9470229!16s%2Fg%2F11fy575w6t!19sChIJ4zJamJI7zzsRy3WoJzX1vfY?authuser=0&hl=en&rclk=1,"17.8721808,76.9470229"
Masjid-e-baitul mukhaddas,Mosque,"VXF3+RJP Masjid-e-baitul mukhaddas, Allah Nagar, Basavakalyan, Karnataka 585327",Allah Nagar,VXF3+RJP,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-baitul+mukhaddas/data=!4m7!3m6!1s0x3bcf3b9a69e60c41:0x1b85d26378988e4f!8m2!3d17.8745972!4d76.9540884!16s%2Fg%2F11gbksj0wg!19sChIJQQzmaZo7zzsRT46YeGPShRs?authuser=0&hl=en&rclk=1,"17.8745972,76.9540884"
Masjid-e-MOHAMMADIA Mominpura Dharagiri,Mosque,"Masjid-e-MOHAMMADIA Mominpura Dharagiri, Allah Nagar, Basavakalyan, Karnataka 585327",Allah Nagar,,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-MOHAMMADIA+Mominpura+Dharagiri/data=!4m7!3m6!1s0x3bcf3b91b28a3705:0xccbccb1bb8e5abdc!8m2!3d17.8760012!4d76.9497298!16s%2Fg%2F11dy794dk5!19sChIJBTeKspE7zzsR3KvluBvLvMw?authuser=0&hl=en&rclk=1,"17.876001199999997,76.9497298"
Masjid E Hashmat Ahle Hadees,Mosque,"VWCW+R6M Masjid E Hashmat Ahle Hadees, near GESCOM office, Morkhandi, Basavakalyan, Karnataka 585327",Morkhandi,"VWCW+R6M, near GESCOM office",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Hashmat+Ahle+Hadees/data=!4m7!3m6!1s0x3bcf3bbae8965c39:0x4b66af8a1be581a!8m2!3d17.8720897!4d76.9455323!16s%2Fg%2F11ghlvt5lj!19sChIJOVyW6Lo7zzsRGli-ofhqtgQ?authuser=0&hl=en&rclk=1,"17.8720897,76.9455323"
MASJID E ILAHI,Mosque,"VW3X+MC6 MASJID E ILAHI, Unnamed Road, Tripuranth, Nagalingeshwar Colony, Basavakalyan, Karnataka 585327","Tripuranth, Nagalingeshwar Colony","VW3X+MC6, Unnamed Road",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/MASJID+E+ILAHI/data=!4m7!3m6!1s0x3bcf3bb0984394d7:0x8814751a4d8c387a!8m2!3d17.8541711!4d76.9485012!16s%2Fg%2F11f_w9zt1k!19sChIJ15RDmLA7zzsRejiMTRp1FIg?authuser=0&hl=en&rclk=1,"17.8541711,76.9485012"
Masjide Maqbara,Mosque,"Masjide Maqbara, Masjid E Nalband, 1/447-A, Badi Beedh, Kurnool, Basavakalyan, Karnataka 585327",Badi Beedh,"Masjid E Nalband, 1/447-A","Kurnool, Basavakalyan",585327,Karnataka,IN,https://www.google.com/maps/place/Masjide+Maqbara/data=!4m7!3m6!1s0x3bcf3b8e005abd95:0x4088db94f63795e9!8m2!3d17.8780622!4d76.9471532!16s%2Fg%2F11b75m5fbj!19sChIJlb1aAI47zzsR6ZU39pTbiEA?authuser=0&hl=en&rclk=1,"17.8780622,76.9471532"
EID GAH,Mosque,"VWGV+46H EID GAH, Gandhhi Chowk,, Basavakalyan, Karnataka 585327",Mandai,"VWGV+46H, Gandhhi Chowk,",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/EID+GAH/data=!4m7!3m6!1s0x3bcf3b92e5d6df93:0x660fecb7378cfcb4!8m2!3d17.8753191!4d76.9430949!16s%2Fg%2F11c563dh5y!19sChIJk9_W5ZI7zzsRtPyMN7fsD2Y?authuser=0&hl=en&rclk=1,"17.8753191,76.94309489999999"
Masjid_E_Ghazipura,Mosque,"VXG2+GFW Masjid_E_Ghazipura, Allah Nagar, Basavakalyan, Karnataka 585327",Allah Nagar,VXG2+GFW,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid_E_Ghazipura/data=!4m7!3m6!1s0x3bcf3b904227be59:0xbf91301c446503fa!8m2!3d17.8763551!4d76.9512123!16s%2Fg%2F11c6cfzklx!19sChIJWb4nQpA7zzsR-gNlRBwwkb8?authuser=0&hl=en&rclk=1,"17.876355099999998,76.9512123"
Masjid E Abdul Rasool,Mosque,"VWGX+XRG Masjid E Abdul Rasool, Allah Nagar, Basavakalyan, Karnataka 585327",Allah Nagar,VWGX+XRG,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Abdul+Rasool/data=!4m7!3m6!1s0x3bcf3b91d21712b5:0x70a656f8cd4a79bd!8m2!3d17.8774361!4d76.9495934!16s%2Fg%2F11fxy42m1k!19sChIJtRIX0pE7zzsRvXlKzfhWpnA?authuser=0&hl=en&rclk=1,"17.8774361,76.9495934"
Masjid-e-Sotepeer,Mosque,"VWGX+88F Masjid-e-Sotepeer, Masjid-e-Sotepeer,, Basavakalyan, Karnataka 585327",Mandai,"VWGX+88F, Masjid-e-Sotepeer,",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Sotepeer/data=!4m7!3m6!1s0x3bcf3b9199d4b0e7:0x55558c287a64d623!8m2!3d17.8758232!4d76.9483005!16s%2Fg%2F11csbq0cxb!19sChIJ57DUmZE7zzsRI9ZkeiiMVVU?authuser=0&hl=en&rclk=1,"17.8758232,76.9483005"
Masjid-E-Abbubakar Sidikh Rz,Mosque,"VWFW+4WC Masjid-E-Abbubakar Sidikh Rz, Morkhandi, Basavakalyan, Karnataka 585327",Morkhandi,VWFW+4WC,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-Abbubakar+Sidikh+Rz/data=!4m7!3m6!1s0x3bcf3b9157666e7f:0x2935277cd1860e6!8m2!3d17.872808!4d76.947273!16s%2Fg%2F11dfhzh4q9!19sChIJf25mV5E7zzsR5mAYzXdSkwI?authuser=0&hl=en&rclk=1,"17.872808,76.947273"
Noor Masjid,Mosque,"Noor Masjid, 8397, Madina Colony, Basavakalyan, Karnataka 585327",Madina Colony,8397,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Noor+Masjid/data=!4m7!3m6!1s0x3bcf3ba2ca396a1b:0xb4ada0ada4b9ef61!8m2!3d17.8647343!4d76.9525175!16s%2Fg%2F11g8v1v3r_!19sChIJG2o5yqI7zzsRYe-5pK2grbQ?authuser=0&hl=en&rclk=1,"17.8647343,76.9525175"
Masjid e gulfamiya,Mosque,"VXG2+RRH Masjid e gulfamiya, Anwarpeth, Allah Nagar, Basavakalyan, Karnataka 585327",Allah Nagar,"VXG2+RRH, Anwarpeth",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+gulfamiya/data=!4m7!3m6!1s0x3bcf3b900d8ef4a5:0x22ca735e694229b4!8m2!3d17.8770516!4d76.9520972!16s%2Fg%2F11g81w0m0x!19sChIJpfSODZA7zzsRtClCaV5zyiI?authuser=0&hl=en&rclk=1,"17.877051599999998,76.9520972"
Masjid E Tahera,Mosque,"Masjid E Tahera, Biradar colony, Morkhandi, Basavakalyan, Karnataka 585327",Morkhandi,Biradar colony,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Tahera/data=!4m7!3m6!1s0x3bcf3b731812a2d5:0xf0f0a24d6a170395!8m2!3d17.8602263!4d76.946832!16s%2Fg%2F11f9y4vsw7!19sChIJ1aISGHM7zzsRlQMXak2i8PA?authuser=0&hl=en&rclk=1,"17.8602263,76.946832"
Masjid E Arfa,Mosque,"VXP8+G4F Masjid E Arfa, Bidar, Karnataka 585327",,VXP8+G4F,Bidar,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Arfa/data=!4m7!3m6!1s0x3bcf3b7f423fa7a7:0x476cdbfda818f5a4!8m2!3d17.886309!4d76.965304!16s%2Fg%2F11f00dl4fp!19sChIJp6c_Qn87zzsRpPUYqP3bbEc?authuser=0&hl=en&rclk=1,"17.886309,76.965304"
Masjid Nisar Ahmed,Mosque,"VWFX+9FF Masjid Nisar Ahmed, Gandhi Chowk, Old Vegetable Market, Allah Nagar, Basavakalyan, Karnataka 585327","Old Vegetable Market, Allah Nagar","VWFX+9FF, Gandhi Chowk",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+Nisar+Ahmed/data=!4m7!3m6!1s0x3bcf3b913ede955d:0xc0072045e9bce26a!8m2!3d17.8734373!4d76.948665!16s%2Fg%2F11dxqgdzyg!19sChIJXZXePpE7zzsRauK86UUgB8A?authuser=0&hl=en&rclk=1,"17.8734373,76.94866499999999"
Masjide Mohammedia Gulshane Bahar,Mosque,"VXH3+GQX Masjide Mohammedia Gulshane Bahar, Allah Nagar, Basavakalyan, Karnataka 585327",Allah Nagar,VXH3+GQX,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjide+Mohammedia+Gulshane+Bahar/data=!4m7!3m6!1s0x3bcf3b85368dc3a3:0xca47a6fe9c55c09d!8m2!3d17.8788741!4d76.9544806!16s%2Fg%2F11f130h02l!19sChIJo8ONNoU7zzsRncBVnP6mR8o?authuser=0&hl=en&rclk=1,"17.8788741,76.9544806"
Masjid-e-Quba,Mosque,"VW6X+P3R Masjid-e-Quba, Morkhandi, Basavakalyan, Karnataka 585327",Morkhandi,VW6X+P3R,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Quba/data=!4m7!3m6!1s0x3bcf3bbc18172055:0x753d0070ad3d8261!8m2!3d17.8618533!4d76.9476487!16s%2Fg%2F11gfcyl8jm!19sChIJVSAXGLw7zzsRYYI9rXAAPXU?authuser=0&hl=en&rclk=1,"17.8618533,76.9476487"
Masjid E Al Quraish,Mosque,"VXH2+836 Masjid E Al Quraish, Quresh, Kali Galli, Basavakalyan, Karnataka 585327",Allah Nagar,"VXH2+836, Quresh, Kali Galli",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Al+Quraish/data=!4m7!3m6!1s0x3bcf3b8fd5b645e7:0x4695a7cc25cbdae8!8m2!3d17.878275!4d76.9501533!16s%2Fg%2F11f00dt___!19sChIJ50W21Y87zzsR6NrLJcynlUY?authuser=0&hl=en&rclk=1,"17.878275,76.9501533"
Bara Imam Masjid,Mosque,"Bara Imam Masjid, Bara Imam, Kali Galli, Mandai, Basavakalyan, Karnataka 585327",Mandai,"Bara Imam, Kali Galli",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Bara+Imam+Masjid/data=!4m7!3m6!1s0x3bcf3b8de8923343:0x5dfe91829b87bb74!8m2!3d17.8791098!4d76.9462491!16s%2Fg%2F11hcdsfy4r!19sChIJQzOS6I07zzsRdLuHm4KR_l0?authuser=0&hl=en&rclk=1,"17.8791098,76.9462491"
masjid e Taj ahle sunnatwul jamat,Mosque,"masjid e Taj ahle sunnatwul jamat, behind bus stand, Kamalakar, Basavakalyan, Karnataka 585327",Kamalakar,behind bus stand,Basavakalyan,,Karnataka,IN,https://www.google.com/maps/place/masjid+e+Taj+ahle+sunnatwul+jamat/data=!4m7!3m6!1s0x3bcf3b9ce7d667f3:0xd0112488af0f3869!8m2!3d17.8771933!4d76.9602015!16s%2Fg%2F11c5hwxgx6!19sChIJ82fW55w7zzsRaTgPr4gkEdA?authuser=0&hl=en&rclk=1,"17.8771933,76.9602015"
Masjid-e-Farooq,Mosque,"Masjid-e-Farooq, Madarsa, Madarsa Qiarulanam, Qiarulanam, Basavakalyan, Karnataka 585327",Qiarulanam,"Madarsa, Madarsa Qiarulanam",Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Farooq/data=!4m7!3m6!1s0x3bcf3b789f0d71e1:0xc5242bd5c05ce3fe!8m2!3d17.8833542!4d76.9645272!16s%2Fg%2F11gfbc1lcd!19sChIJ4XENn3g7zzsR_uNcwNUrJMU?authuser=0&hl=en&rclk=1,"17.8833542,76.96452719999999"
Masjid E Hussain,Mosque,"VW8R+GPJ Masjid E Hussain, Morkhandi, Basavakalyan, Karnataka 585327",Morkhandi,VW8R+GPJ,Basavakalyan,585327,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Hussain/data=!4m7!3m6!1s0x3bcf3b2a6a701c0f:0x51c637e19234a9b0!8m2!3d17.8663337!4d76.9417674!16s%2Fg%2F11fmf1v92b!19sChIJDxxwaio7zzsRsKk0kuE3xlE?authuser=0&hl=en&rclk=1,"17.8663337,76.9417674"
Masjid E Garib Nawaz,Mosque,"VXH4+4CM Masjid E Garib Nawaz, mehbob nagar, Basavakalyan, Karnataka",Allah Nagar,"VXH4+4CM, mehbob nagar",Basavakalyan,,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Garib+Nawaz/data=!4m7!3m6!1s0x3bcf3b9b2f4083d5:0x949678c60897577!8m2!3d17.8778363!4d76.956057!16s%2Fg%2F11dymnj427!19sChIJ1YNAL5s7zzsRd3WJYIxnSQk?authuser=0&hl=en&rclk=1,"17.8778363,76.956057"
