place_id,place_name,about,link
ChIJG_APTvwz0DsRNF_vVFhgQ_M,Masjid-e-Sugra Basmat,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZX0EHgDMgkv3MtZWM6bQIg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=187.9494&pitch=0&thumbfov=100
ChIJG_APTvwz0DsRNF_vVFhgQ_M,Masjid-e-Sugra Basmat,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZX0EHgDMgkv3MtZWM6bQIg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=187.9494&pitch=0&thumbfov=100
ChIJ87pB3PEy0DsRR6A3mOWOD_0,JAMA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipP0jeXBn4k89ms3EjkIO9kWfsMYNa_IImFFNBcE=w397-h298-k-no
ChIJ87pB3PEy0DsRR6A3mOWOD_0,JAMA MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipMl7njjSM5c4j7MJWLj3rkOZ0oEeU8uvchmdgZ6=w224-h298-k-no
ChIJ87pB3PEy0DsRR6A3mOWOD_0,JAMA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipP7UvFEEk_3CMm6CQ1cl-jTeIwYGyzfcDsFPixm=w529-h298-k-no
ChIJY7Wqh44y0DsROOYQOrDh2GM,Masjid-e-Abu Hurairah Gulshan Nagar,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YQMUhypmD8LSIDN11ZH5yQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=340.39978&pitch=0&thumbfov=100
ChIJY7Wqh44y0DsROOYQOrDh2GM,Masjid-e-Abu Hurairah Gulshan Nagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YQMUhypmD8LSIDN11ZH5yQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=340.39978&pitch=0&thumbfov=100
ChIJBaRed_My0DsRXWW53WbQ-oI,Nasar shahi Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1PIeLTTtMXw30xIRz779PQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=96.1537&pitch=0&thumbfov=100
ChIJBaRed_My0DsRXWW53WbQ-oI,Nasar shahi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1PIeLTTtMXw30xIRz779PQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=96.1537&pitch=0&thumbfov=100
ChIJs6Vd5_Iy0DsRjrnlDJhMGao,Masjid-e-Benazir Jahan Mangalwara,All,https://lh5.googleusercontent.com/p/AF1QipN5pbTizU0pGDZVHrlsfACvHyPv2pfFFWmt9tz9=w224-h497-k-no
ChIJs6Vd5_Iy0DsRjrnlDJhMGao,Masjid-e-Benazir Jahan Mangalwara,Dome,https://lh5.googleusercontent.com/p/AF1QipNoWzYjuzjfxQV--oBGOqDVBbErZ53JnM-ORcaE=w529-h298-k-no
ChIJs6Vd5_Iy0DsRjrnlDJhMGao,Masjid-e-Benazir Jahan Mangalwara,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uKBpjSrTQRRaFXQBOA555w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=277.09857&pitch=0&thumbfov=100
ChIJj5PPcPMy0DsRB_-ubkndY1w,Markaz Hazrat nasar shahid(Rahmatullahi alay,All,https://lh5.googleusercontent.com/p/AF1QipPog9Gag6XBveuUGWSFVozcyc6DOSoAgkJpwZlm=w224-h398-k-no
ChIJj5PPcPMy0DsRB_-ubkndY1w,Markaz Hazrat nasar shahid(Rahmatullahi alay,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ag8tUQV1aEYlFL5yO5g1vQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=338.47275&pitch=0&thumbfov=100
