name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Noori Masjid,Mosque,"44PC+5P4 Noori Masjid, Maheshpura, Doraha Bazpur, Harlalpur, Uttarakhand",Doraha Bazpur,"44PC+5P4, Maheshpura","Harlalpur, Maheshpura",,Uttarakhand,IN,https://www.google.com/maps/place/Noori+Masjid/data=!4m7!3m6!1s0x390a65c2ba3ac78d:0x98c304ea6797af52!8m2!3d29.1353984!4d79.1218154!16s%2Fg%2F11hbkk297t!19sChIJjcc6usJlCjkRUq-XZ-oEw5g?authuser=0&hl=en&rclk=1,"29.1353984,79.1218154"
Masjid Koyle Wali,Mosque,"R27F+688 Masjid Koyle Wali, Rampur Swar Bazpur Marg, Quilla, Rampur, Uttar Pradesh 244901",Quilla,"R27F+688, Rampur Swar Bazpur Marg",Rampur,244901,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Koyle+Wali/data=!4m7!3m6!1s0x390a8d33917f0cd5:0x5b2d01caf3059e59!8m2!3d28.8130421!4d79.0233179!16s%2Fg%2F12m965yh5!19sChIJ1Qx_kTONCjkRWZ4F88oBLVs?authuser=0&hl=en&rclk=1,"28.813042099999997,79.0233179"
Bazpur Gurudwara,Gurudwara,"545X+7P3 Bazpur Gurudwara, Bazpur, Uttarakhand 262401",,545X+7P3,Bazpur,262401,Uttarakhand,IN,https://www.google.com/maps/place/Bazpur+Gurudwara/data=!4m7!3m6!1s0x390a65812d3fffff:0x4ce54c7a3656319a!8m2!3d29.1581438!4d79.1492972!16s%2Fg%2F11txmz8tf5!19sChIJ__8_LYFlCjkRmjFWNnpM5Uw?authuser=0&hl=en&rclk=1,"29.158143799999998,79.14929719999999"
Jama masjid,Housing complex,"6657+G7X Jama masjid, Barhani, Uttarakhand 263401",,6657+G7X,Barhani,263401,Uttarakhand,IN,https://www.google.com/maps/place/Jama+masjid/data=!4m7!3m6!1s0x390a715a867ab251:0xc7e6e0883c4d5904!8m2!3d29.2088764!4d79.2132133!16s%2Fg%2F11vbr2p0h8!19sChIJUbJ6hlpxCjkRBFlNPIjg5sc?authuser=0&hl=en&rclk=1,"29.208876399999998,79.21321329999999"
Master Clinic,Doctor,"Master Clinic, Master Clinic Jama Masjid, Gaon, Bazpur, Uttarakhand 263401",,"Master Clinic Jama Masjid, Gaon","Bazpur, Maheshpura",263401,Uttarakhand,IN,https://www.google.com/maps/place/Master+Clinic/data=!4m7!3m6!1s0x390a65c5b4d6be31:0x36ef9aa570777aac!8m2!3d29.1316801!4d79.1179833!16s%2Fg%2F11t18dwdrn!19sChIJMb7WtMVlCjkRrHp3cKWa7zY?authuser=0&hl=en&rclk=1,"29.131680099999997,79.11798329999999"
Chand masjid,Mosque,"6X63+MHV Chand masjid, Kashipur, Uttarakhand 244713",,6X63+MHV,Kashipur,244713,Uttarakhand,IN,https://www.google.com/maps/place/Chand+masjid/data=!4m7!3m6!1s0x390a43032bf40a09:0xe1c03ab309e4a8de!8m2!3d29.2117491!4d78.9539307!16s%2Fg%2F11vlft2f7r!19sChIJCQr0KwNDCjkR3qjkCbM6wOE?authuser=0&hl=en&rclk=1,"29.2117491,78.9539307"
NOORI MASJID,Mosque,"NOORI MASJID, 262401, Bazpur, Uncha Gaon, Kanauri, Uttarakhand 263401",Bazpur,262401,"Uncha Gaon, Kanauri",263401,Uttarakhand,IN,https://www.google.com/maps/place/NOORI+MASJID/data=!4m7!3m6!1s0x390a677cf769ce03:0xaeabc65c5e7766ec!8m2!3d29.1513748!4d79.1054121!16s%2Fg%2F11vlqcx89_!19sChIJA85p93xnCjkR7GZ3XlzGq64?authuser=0&hl=en&rclk=1,"29.1513748,79.1054121"
R k Enterprise,Cement Supplier,"R k Enterprise, shakar Jama masjid, Rampura, Bazpur, Uttarakhand 262401",,"shakar Jama masjid, Rampura","Bazpur, Sarkara",262401,Uttarakhand,IN,https://www.google.com/maps/place/R+k+Enterprise/data=!4m7!3m6!1s0x390a695ee378366d:0xb21f4d723e85a9c4!8m2!3d29.16398!4d79.093838!16s%2Fg%2F11ty1433sm!19sChIJbTZ4415pCjkRxKmFPnJNH7I?authuser=0&hl=en&rclk=1,"29.16398,79.09383799999999"
MOHD IRSHAD JAN SEVA KENDRA,Digital printing service,"5355+X76 MOHD IRSHAD JAN SEVA KENDRA, Bijar khata, Bijarkhata, Bazpur Rd, near ADDE WALI MASJID, Maswasi, 244924",,"5355+X76, Bijar khata, Bijarkhata, Bazpur Rd, near ADDE WALI MASJID","Maswasi, Sultanpur",244924,Uttarakhand,IN,https://www.google.com/maps/place/MOHD+IRSHAD+JAN+SEVA+KENDRA/data=!4m7!3m6!1s0x390a69200a6ac70f:0xf245201a46dc223e!8m2!3d29.1599108!4d79.0581424!16s%2Fg%2F11t9dn6l27!19sChIJD8dqCiBpCjkRPiLcRhogRfI?authuser=0&hl=en&rclk=1,"29.1599108,79.0581424"
Punjab Dairy,Dairy store,"Punjab Dairy, Punjab Dairy 1 Malariya Road Ward No .2, near Raja Masjid, Mundia Pistor, Uttarakhand 262401",,"Punjab Dairy 1 Malariya Road Ward No .2, near Raja Masjid",Mundia Pistor,262401,Uttarakhand,IN,https://www.google.com/maps/place/Punjab+Dairy/data=!4m7!3m6!1s0x390a65fc4fdba56b:0x92c3253cd39bec1e!8m2!3d29.1518591!4d79.1407321!16s%2Fg%2F11jsxwgxm_!19sChIJa6XbT_xlCjkRHuyb0zwlw5I?authuser=0&hl=en&rclk=1,"29.1518591,79.1407321"
