name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"C48J+M7R Jama Masjid, Vasant Vihar, Makhsaspur, Begusarai, Bihar 851101",Vasant Vihar,C48J+M7R,"Makhsaspur, Begusarai",851101,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x39f21ad41ff6fb7d:0x361d39ee26ef7342!8m2!3d25.4167307!4d86.1306291!16s%2Fg%2F11c44dpb28!19sChIJffv2H9Qa8jkRQnPvJu45HTY?authuser=0&hl=en&rclk=1,"25.4167307,86.1306291"
Pokharia Masjid,Mosque,"C48Q+QHH Pokharia Masjid, Pokharia Rd, Ward 35, Chitragupta Nagar, Begusarai, Bihar 851101","Ward 35, Chitragupta Nagar","C48Q+QHH, Pokharia Rd",Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Pokharia+Masjid/data=!4m7!3m6!1s0x39f21b2955ee6c6d:0xc284c56fff779333!8m2!3d25.4169455!4d86.1389708!16s%2Fg%2F11cn9z5544!19sChIJbWzuVSkb8jkRM5N3_2_FhMI?authuser=0&hl=en&rclk=1,"25.416945499999997,86.1389708"
Kachehri Masjid,Mosque,"C48M+WQ8 Kachehri Masjid, Vishnupur, Sarvodaya Nagar, Begusarai, Bihar 851101","Vishnupur, Sarvodaya Nagar",C48M+WQ8,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Kachehri+Masjid/data=!4m7!3m6!1s0x39f21ad5f93b714f:0xc5d45553b0f7986d!8m2!3d25.4172897!4d86.1344557!16s%2Fg%2F1tf34c8v!19sChIJT3E7-dUa8jkRbZj3sFNV1MU?authuser=0&hl=en&rclk=1,"25.417289699999998,86.13445569999999"
Nagdah Madina Masjid,Mosque,"C4H7+73Q Nagdah Madina Masjid, Kapasiya, Begusarai, Bihar 851101",Kapasiya,C4H7+73Q,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Nagdah+Madina+Masjid/data=!4m7!3m6!1s0x39f20549f51572ad:0xf455e0abfc299e97!8m2!3d25.4282201!4d86.1127191!16s%2Fg%2F11dybfxwjj!19sChIJrXIV9UkF8jkRl54p_KvgVfQ?authuser=0&hl=en&rclk=1,"25.428220099999997,86.11271909999999"
Karichak Chowk Masjid,Mosque,"F497+2FP Karichak Chowk Masjid, Begusarai, Bihar 851101",,F497+2FP,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Karichak+Chowk+Masjid/data=!4m7!3m6!1s0x39f2057531486d05:0x48f4273888c4d020!8m2!3d25.4675988!4d86.1137122!16s%2Fg%2F11crzxnd_8!19sChIJBW1IMXUF8jkRINDEiDgn9Eg?authuser=0&hl=en&rclk=1,"25.467598799999998,86.1137122"
"Masjid Taqwa,miya Chak",Mosque,"C47J+36C Masjid Taqwa,miya Chak, Ratanpur, Alaudipur, Begusarai, Bihar 851101",Ratanpur,C47J+36C,"Alaudipur, Begusarai",851101,Bihar,IN,"https://www.google.com/maps/place/Masjid+Taqwa,miya+Chak/data=!4m7!3m6!1s0x39f21ad73e749011:0x8d4c6be00c6bb592!8m2!3d25.4126791!4d86.1305225!16s%2Fg%2F11g6w_vb3m!19sChIJEZB0Ptca8jkRkrVrDOBrTI0?authuser=0&hl=en&rclk=1","25.4126791,86.1305225"
Jama Masjid Hardia,Mosque,"F43R+355 Jama Masjid Hardia, Begusarai, Sikardarpur, Bihar 851101",,F43R+355,"Begusarai, Sikardarpur",851101,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Hardia/data=!4m7!3m6!1s0x39f204e41dd30d23:0xe4f6197703e2029d!8m2!3d25.4526274!4d86.140489!16s%2Fg%2F11fyx96h60!19sChIJIw3THeQE8jkRnQLiA3cZ9uQ?authuser=0&hl=en&rclk=1,"25.452627399999997,86.140489"
Madina Masjid,Mosque,"C3MX+38V Madina Masjid, Singhaul Dih, Begusarai, Bihar 851101",Singhaul Dih,C3MX+38V,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x39f205574fabeaed:0x23d235163353e605!8m2!3d25.4327339!4d86.0982975!16s%2Fg%2F11by_wmc4w!19sChIJ7eqrT1cF8jkRBeZTMxY10iM?authuser=0&hl=en&rclk=1,"25.4327339,86.0982975"
Miyanchak Masjid,Mosque,"C46M+H9C Miyanchak Masjid, Sanichra Asthan, Ratanpur, Begusarai, Bihar 851101","Sanichra Asthan, Ratanpur",C46M+H9C,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Miyanchak+Masjid/data=!4m7!3m6!1s0x39f21ad7f25aa215:0xfb65040046edf499!8m2!3d25.4114444!4d86.133403!16s%2Fg%2F11gdkx20tz!19sChIJFaJa8tca8jkRmfTtRgAEZfs?authuser=0&hl=en&rclk=1,"25.4114444,86.133403"
Refinery Masjid,Mosque,"C476+693 Refinery Masjid, Refinery Twp, Begusarai, Bihar 851117",Refinery Township,C476+693,Begusarai,851117,Bihar,IN,https://www.google.com/maps/place/Refinery+Masjid/data=!4m7!3m6!1s0x39f21ab71cb7bc79:0x50a6b343c7de5f26!8m2!3d25.4130092!4d86.1109068!16s%2Fg%2F1hm5c1pqz!19sChIJeby3HLca8jkRJl_ex0OzplA?authuser=0&hl=en&rclk=1,"25.413009199999998,86.1109068"
Dumri Jama Masjid,Mosque,"Dumri Jama Masjid, Dumri, Ratanpur Rd, Pattapur, Dumri, Begusarai, Bihar 851117","Pattapur, Dumri","Dumri, Ratanpur Rd",Begusarai,851117,Bihar,IN,https://www.google.com/maps/place/Dumri+Jama+Masjid/data=!4m7!3m6!1s0x39f21ac10ded67a5:0x8153f43b4b3513e6!8m2!3d25.4023144!4d86.1174717!16s%2Fg%2F11g6qrz1m3!19sChIJpWftDcEa8jkR5hM1Szv0U4E?authuser=0&hl=en&rclk=1,"25.402314399999998,86.1174717"
Harrakh Old Masjid,Mosque,"Harrakh Old Masjid, teen pai, Ward No.12, harag, near Shivalay Road, Kaushal Colony, Begusarai, Bihar 851101","Kaushal Colony, Kapasiya","teen pai, Ward No.12, harag, near Shivalay Road",Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Harrakh+Old+Masjid/data=!4m7!3m6!1s0x39f20533667b9de3:0xa8a18b897b3fdff9!8m2!3d25.4241205!4d86.1196628!16s%2Fg%2F11bw473t_x!19sChIJ4517ZjMF8jkR-d8_e4mLoag?authuser=0&hl=en&rclk=1,"25.424120499999997,86.1196628"
Jama Masjid,Mosque,"C57R+5W7 Jama Masjid, Begusarai, Bihar 851126",,C57R+5W7,Begusarai,851126,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x39f21cb764db5c1d:0xaf5a2f947507c34b!8m2!3d25.4129026!4d86.1923111!16s%2Fg%2F11g8pdnp8q!19sChIJHVzbZLcc8jkRS8MHdZQvWq8?authuser=0&hl=en&rclk=1,"25.4129026,86.1923111"
New Masjid Harrakh,Mosque,"New Masjid Harrakh, S.I.Rahman New Muslim Colony Ward No- 13, Kaushal Colony, Kapasiya, Harrakh, Bihar 851101","Kaushal Colony, Kapasiya",S.I.Rahman New Muslim Colony Ward No- 13,"Harrakh, Begusarai",851101,Bihar,IN,https://www.google.com/maps/place/New+Masjid+Harrakh/data=!4m7!3m6!1s0x39f20557f26c699b:0xefe92a3ef74001b2!8m2!3d25.4227398!4d86.1186831!16s%2Fg%2F11r9ljhqdb!19sChIJm2ls8lcF8jkRsgFA9z4q6e8?authuser=0&hl=en&rclk=1,"25.4227398,86.1186831"
Qadri masjid Bado tola Dumri,Mosque,"94X8+499 Qadri masjid Bado tola Dumri, Dumri, Begusarai, Bihar 851101",Dumri,94X8+499,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Qadri+masjid+Bado+tola+Dumri/data=!4m7!3m6!1s0x39f21b6cee0323d1:0x4e6b14face6d53c7!8m2!3d25.3977754!4d86.1159826!16s%2Fg%2F11j51wfqtv!19sChIJ0SMD7mwb8jkRx1NtzvoUa04?authuser=0&hl=en&rclk=1,"25.3977754,86.1159826"
"Bajidpur jama masjid. Ward no. 44""",Mosque,"C544+9XC Bajidpur jama masjid. Ward no. 44"", Bajidpur masjid. Amirabad school, Begusarai",Bishanpur,"C544+9XC, Bajidpur masjid. Amirabad school","Begusarai, Mohan Eghu",,Bihar,IN,https://www.google.com/maps/place/Bajidpur+jama+masjid.+Ward+no.+44%22/data=!4m7!3m6!1s0x39f21bf859ecfe09:0xd57906f08a1badb0!8m2!3d25.4059433!4d86.1573893!16s%2Fg%2F11np1y_404!19sChIJCf7sWfgb8jkRsK0bivAGedU?authuser=0&hl=en&rclk=1,"25.4059433,86.15738929999999"
"Khatopur masjid, Begusarai 851129 Bihar",Mosque,"C556+RCP Khatopur masjid, Begusarai 851129 Bihar, Masjid Rd, Khatopur, Begusarai, Mohan Eghu, Bihar 851129",Khatopur,"C556+RCP, Masjid Rd","Begusarai, Mohan Eghu",851129,Bihar,IN,"https://www.google.com/maps/place/Khatopur+masjid,+Begusarai+851129+Bihar/data=!4m7!3m6!1s0x39f21bc59074abd3:0xb95108efad44b8f5!8m2!3d25.4095766!4d86.1610699!16s%2Fg%2F11rmq0d1pc!19sChIJ06t0kMUb8jkR9bhEre8IUbk?authuser=0&hl=en&rclk=1","25.409576599999998,86.1610699"
Rajapur Masjid,Mosque,"Rajapur Masjid, Masjid E Ummar Farooq, Rajapur, Begusarai, Bihar 851117",Rajapur,Masjid E Ummar Farooq,Begusarai,851117,Bihar,IN,https://www.google.com/maps/place/Rajapur+Masjid/data=!4m7!3m6!1s0x39f21bb7f15a6885:0x51830b99c3479f0b!8m2!3d25.4059837!4d86.1061597!16s%2Fg%2F11t40tzlw0!19sChIJhWha8bcb8jkRC59Hw5kLg1E?authuser=0&hl=en&rclk=1,"25.4059837,86.10615969999999"
MASJID E SHAD,Mosque,"MASJID E SHAD, Naokothi, Begusarai, Bihar 851101",Naokothi,,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/MASJID+E+SHAD/data=!4m7!3m6!1s0x39f2052d9faed559:0xc9edfb9316c0dd29!8m2!3d25.4530802!4d86.1222935!16s%2Fg%2F11j5lgw223!19sChIJWdWuny0F8jkRKd3AFpP77ck?authuser=0&hl=en&rclk=1,"25.4530802,86.1222935"
Nagdah masjid,Mosque,"C4J8+HRG Nagdah masjid, Nagdah, Begusarai, Bihar 851117",Nagdah,C4J8+HRG,Begusarai,851117,Bihar,IN,https://www.google.com/maps/place/Nagdah+masjid/data=!4m7!3m6!1s0x39f205b79e5b822f:0xb3f24da04e73b523!8m2!3d25.4314432!4d86.1170782!16s%2Fg%2F11ftw7vbjs!19sChIJL4JbnrcF8jkRI7VzTqBN8rM?authuser=0&hl=en&rclk=1,"25.4314432,86.1170782"
Bagha Zama masjid begusarai,Mosque,"C4MM+627 Bagha Zama masjid begusarai, Begusarai, Bihar 851101",,C4MM+627,Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Bagha+Zama+masjid+begusarai/data=!4m7!3m6!1s0x39f20565d1f4109d:0x69d9999b2c2c9d2f!8m2!3d25.4330256!4d86.1325519!16s%2Fg%2F11vb50j3pb!19sChIJnRD00WUF8jkRL50sLJuZ2Wk?authuser=0&hl=en&rclk=1,"25.4330256,86.1325519"
Bagha Masjid,Religious destination,"C4GH+XWM Bagha Masjid, Bagha Rd, ward 29, Begusarai, Bihar 851101",ward 29,"C4GH+XWM, Bagha Rd",Begusarai,851101,Bihar,IN,https://www.google.com/maps/place/Bagha+Masjid/data=!4m7!3m6!1s0x39f2056544136b2d:0x189aec1a651d28df!8m2!3d25.4274691!4d86.1297911!16s%2Fg%2F11sq20rpx1!19sChIJLWsTRGUF8jkR3ygdZRrsmhg?authuser=0&hl=en&rclk=1,"25.4274691,86.12979109999999"
Ulao mosque,Mosque,"C38R+PQW Ulao mosque, NT Nagar, Ulao, Begusarai, Bihar 851134","NT Nagar, Ulao",C38R+PQW,Begusarai,851134,Bihar,IN,https://www.google.com/maps/place/Ulao+mosque/data=!4m7!3m6!1s0x39f21137d079b031:0x456d71ee84651a!8m2!3d25.4168688!4d86.0919641!16s%2Fg%2F11rw7jd93d!19sChIJMbB50DcR8jkRGmWE7nFtRQA?authuser=0&hl=en&rclk=1,"25.4168688,86.0919641"
"jmaa ,msjid Jama, masjid (Singhaul word no--01)",Mosque,"C4P2+J26 jmaa ,msjid Jama, masjid (Singhaul word no--01), Singhaul Dih, Begusarai, Bihar 851101",Singhaul Dih,C4P2+J26,Begusarai,851101,Bihar,IN,"https://www.google.com/maps/place/%E0%A4%9C%E0%A4%AE%E0%A4%BE+,%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6+Jama,+masjid+%28Singhaul+word+no%E2%80%9401%29/data=!4m7!3m6!1s0x39f205e8cc111e2f:0x2e970e37ac50386!8m2!3d25.4365384!4d86.1000124!16s%2Fg%2F11jzp08ssv!19sChIJLx4RzOgF8jkRhgPFeuNw6QI?authuser=0&hl=en&rclk=1","25.4365384,86.1000124"
