place_id,place_name,about,link
ChIJQ06VpkrgzjsRRsJNVirQ7yY,Madina Masjid Bhalki (MARKAZ),All,https://lh5.googleusercontent.com/p/AF1QipPD8BdWzTatMbJ03Yh-2SZBkbJGK_kjAy7-AroD=w224-h298-k-no
ChIJQ06VpkrgzjsRRsJNVirQ7yY,Madina Masjid Bhalki (MARKAZ),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y3IcafBhEK1QgXhIfsaE1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=238.3624&pitch=0&thumbfov=100
ChIJQ06VpkrgzjsRRsJNVirQ7yY,Madina Masjid Bhalki (MARKAZ),Videos,https://lh5.googleusercontent.com/p/AF1QipMSzcjGvE7O6ZqNf7ZzIpxGXf4a7RLzTA0DC4ru=w397-h298-k-no
ChIJmSITvC3gzjsRdoBHRHiea6I,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPpO01CoJ26iSu-EBswYQit3onvvGxpRcLDYuCl=w234-h298-k-no
ChIJmSITvC3gzjsRdoBHRHiea6I,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2Onc67puaktNXnrQOTHK9A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=347.70068&pitch=0&thumbfov=100
ChIJmSITvC3gzjsRdoBHRHiea6I,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO0OfOIquygwFBOh0-KOC9c_c_-qXbaAIuHDo6i=w224-h398-k-no
ChIJR0iqHbrhzjsRVoA3D8g6ZE4,MASJID E ILAHI KGN COLONY BHALKI,All,https://lh5.googleusercontent.com/p/AF1QipOxR9GiZtVaWC1N7jhf38Cn2yXfmTeKQEhPXRka=w224-h398-k-no
ChIJR0iqHbrhzjsRVoA3D8g6ZE4,MASJID E ILAHI KGN COLONY BHALKI,Videos,https://lh5.googleusercontent.com/p/AF1QipMQOeYmoYCG13he1cceBIjDHLhx896b7snHrezN=w224-h398-k-no
ChIJoTmkqjPgzjsRnPVB-vyfALk,Masjid-e-gadhi,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jaaTMgTg4kt2IvClGSzYRg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=68.13158&pitch=0&thumbfov=100
ChIJoTmkqjPgzjsRnPVB-vyfALk,Masjid-e-gadhi,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jaaTMgTg4kt2IvClGSzYRg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=68.13158&pitch=0&thumbfov=100
ChIJMQ8yTyzgzjsR0MZE1F5Zmts,Masjid-e-Sarai,All,https://lh5.googleusercontent.com/p/AF1QipNbTi-_TmRHyup_T8R2oB96OGudgNcJh5f7ni5V=w224-h496-k-no
ChIJMQ8yTyzgzjsR0MZE1F5Zmts,Masjid-e-Sarai,Latest,https://lh5.googleusercontent.com/p/AF1QipMENXUphofw7WZlmyQ-NoQEQUnw-oo5hDLa0044=w529-h298-k-no
ChIJMQ8yTyzgzjsR0MZE1F5Zmts,Masjid-e-Sarai,Dome,https://lh5.googleusercontent.com/p/AF1QipPFhAqd7uW-UGF2tt7zjBcEGNTincD0fSYD2HOV=w660-h298-k-no
ChIJMQ8yTyzgzjsR0MZE1F5Zmts,Masjid-e-Sarai,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNPXpuRIxmtW6556lQWupPa0RR0Y-OodVNBAAK3=w224-h298-k-no-pi-10-ya353-ro-0-fo100
ChIJE4HYtbThzjsR2zVDgC2wzoo,Noor Mosque,All,https://lh5.googleusercontent.com/p/AF1QipPQpuTWVSspOICUgq12Dzb9r51UIy5GymCDMQZp=w529-h298-k-no
ChIJE4HYtbThzjsR2zVDgC2wzoo,Noor Mosque,Latest,https://lh5.googleusercontent.com/p/AF1QipNLxkkVPN_i4-QXE3Wk-aJwGwKrQ-xR-2BoHaZv=w529-h298-k-no
ChIJE4HYtbThzjsR2zVDgC2wzoo,Noor Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ycocQrWkrk1ObPNkCkOdQQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=203.36311&pitch=0&thumbfov=100
ChIJTTrhr2PhzjsRNFZWtbL27HE,Masjid-e-Nayeem,All,https://lh5.googleusercontent.com/p/AF1QipMr_jIdSmwrQ5-JO8DQY50_0B2u0Uoq-trtwek=w224-h398-k-no
ChIJTTrhr2PhzjsRNFZWtbL27HE,Masjid-e-Nayeem,Videos,https://lh5.googleusercontent.com/p/AF1QipMWVgFPYn7XvlNIkeJ7KY4MTx1rELXppzk33gs=w224-h398-k-no
