place_id,place_name,about,link
ChIJtcpLhPXj7DkRjh_6_doAXGE,JAMA MASJID PACHNAUR,All,https://lh5.googleusercontent.com/p/AF1QipMIkfnRc7YAV-vJbsoNFkFX7vFKbbdLKwx614ic=w224-h398-k-no
ChIJtcpLhPXj7DkRjh_6_doAXGE,JAMA MASJID PACHNAUR,By owner,https://lh5.googleusercontent.com/p/AF1QipN-nyi_RpGVZM8nzB-KGNSCNbBJsb8ZFZtusXrp=w224-h398-k-no
ChIJtcpLhPXj7DkRjh_6_doAXGE,JAMA MASJID PACHNAUR,Videos,https://lh5.googleusercontent.com/p/AF1QipPqQbRo8lqiG23xHfWZd9JH8rWze-dtHd6fg37h=w529-h298-k-no
ChIJtcpLhPXj7DkRjh_6_doAXGE,JAMA MASJID PACHNAUR,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMZroJrScBxf5JBWC_2varzpNOhTSHml_8VtFCR=w224-h298-k-no-pi-20-ya80-ro0-fo100
ChIJQyWFjkoomzkRgTFWSWkk3jY,Sadak Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOuxFK8OJzVikYONALUVfG7FRnzwAYghUdqql26=w224-h298-k-no
ChIJQyWFjkoomzkRgTFWSWkk3jY,Sadak Wali Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPeG7okiWobd_MgYO96-Ghn2oSwCgw0Vfp78Lbb=w375-h298-k-no
ChIJQyWFjkoomzkRgTFWSWkk3jY,Sadak Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NpCklV3GY9xxlO01QPhWqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=48.30441&pitch=0&thumbfov=100
ChIJx1ue3QMpmzkRETUG3Em0xdc,Maroofpur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP717BLqFLdmoP5KVNdCfAwaGJ6e8CbDm5QrzCT=w224-h298-k-no
ChIJqcbbnCLj7DkRjCiy14_UqgQ,Jama Masjid jm` msjd,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AOnarU0NQ-lMX8SAsPfzuw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.13693&pitch=0&thumbfov=100
ChIJqcbbnCLj7DkRjCiy14_UqgQ,Jama Masjid jm` msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AOnarU0NQ-lMX8SAsPfzuw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.13693&pitch=0&thumbfov=100
ChIJMbMl9wgpmzkRHGsowhRbXwc,Makka Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPA0TzMdwKNSH9GP0hv_Aa_G0HVr1fdR39OsxKt=w529-h298-k-no
ChIJMbMl9wgpmzkRHGsowhRbXwc,Makka Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipPA0TzMdwKNSH9GP0hv_Aa_G0HVr1fdR39OsxKt=w529-h298-k-no
ChIJYeMDcW0pmzkRsZ7ch-bakX8,SUNNI MASJID,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0v09loiOv73H8FfrfFMfNg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=60.692764&pitch=0&thumbfov=100
ChIJYeMDcW0pmzkRsZ7ch-bakX8,SUNNI MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0v09loiOv73H8FfrfFMfNg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=60.692764&pitch=0&thumbfov=100
