place_id,place_name,about,link
ChIJgXpgXxK95zsRnHCr_RnnHAE,Sunni Jama Masjid Koter Gate,All,https://lh5.googleusercontent.com/p/AF1QipPkSIgr_WJZEoLt1zouhPg4SJpYlIKDvB6wQjn1=w397-h298-k-no
ChIJgXpgXxK95zsRnHCr_RnnHAE,Sunni Jama Masjid Koter Gate,Dome,https://lh5.googleusercontent.com/p/AF1QipOr5HW9NbFf8GGzJ4BRc8nI8UIp-vUrhvlpE6UO=w397-h298-k-no
ChIJgXpgXxK95zsRnHCr_RnnHAE,Sunni Jama Masjid Koter Gate,Videos,https://lh5.googleusercontent.com/p/AF1QipMzoHpXlo8qfNHK3rTa83ULZJy8ANttgwdcTPlO=w529-h298-k-no
ChIJgXpgXxK95zsRnHCr_RnnHAE,Sunni Jama Masjid Koter Gate,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=imxVkFrdzIevtx9DaI63jA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=219.0312&pitch=0&thumbfov=100
ChIJ75fWCnG95zsRWFV1NvxB3JA,Auliya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPAX6F0zLF4D2WFCjtFyLCTtsp_sRHNK5tewvPN=w298-h298-k-no
ChIJ75fWCnG95zsRWFV1NvxB3JA,Auliya Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOp81AKGCkOeJajK4cCck8FPEhUA-5B42tQ1gXE=w242-h298-k-no
ChIJ75fWCnG95zsRWFV1NvxB3JA,Auliya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOmD7Hi6p3GdFi3ggajWxmI70uibpAOcgM0NorE=w224-h397-k-no
ChIJ75fWCnG95zsRWFV1NvxB3JA,Auliya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8WmfYBr0Gr-hjDx0X5r5hg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=151.879&pitch=0&thumbfov=100
ChIJVX73_XS95zsRI9g6UvQ9Ufc,Aas Bibi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO6Y-ZkBNGRtKdHeLwdb-kOmO8o9JsVSRi2L6k=w224-h298-k-no
ChIJVX73_XS95zsRI9g6UvQ9Ufc,Aas Bibi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wvSD_co3xhCk6age527Y6Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=200.0494&pitch=0&thumbfov=100
ChIJVX73_XS95zsRI9g6UvQ9Ufc,Aas Bibi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNUipV5LKDMKhy9WpvEm27CrzB3e5DUS_dIyIPz=w529-h298-k-no
