place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipO4ajFc2Cu9YU4wbphtmHACLsrNO4u-mwXD_-P3=w238-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJPdFs_oGJGToRZiZEtMhgsNs,Bhandaghar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNA3_aBhyRboeinNMvFsqfPH9Vhw9rT8_EW25qw=w530-h298-k-no
ChIJPdFs_oGJGToRZiZEtMhgsNs,Bhandaghar Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP_V8hIE9gPS-fQIVkVyiTrJ5DhOzC06m45ekFH=w224-h497-k-no
ChIJPdFs_oGJGToRZiZEtMhgsNs,Bhandaghar Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMM5in66vHZvPOfguzG85usnIswAHz_KELo0yWq=w224-h398-k-no
ChIJk2Vt2S-ZGToREQaBbjal-UQ,MARKAZ-E-JAMA MASJID msjd BENGBATI,All,https://lh5.googleusercontent.com/p/AF1QipMsz6m1iuVtmU1R-8NVwnNVefILUkzv-swPDfmy=w497-h298-k-no
ChIJk2Vt2S-ZGToREQaBbjal-UQ,MARKAZ-E-JAMA MASJID msjd BENGBATI,Dome,https://lh5.googleusercontent.com/p/AF1QipN41HqFmSRJb332dbihdNu4pGC-0n9KXrIZSFgZ=w397-h298-k-no
ChIJk2Vt2S-ZGToREQaBbjal-UQ,MARKAZ-E-JAMA MASJID msjd BENGBATI,By owner,https://lh5.googleusercontent.com/p/AF1QipMjONIs84lQWz5MzIgsTPwV2WDe_9uTOpOHtwMu=w397-h298-k-no
ChIJk2Vt2S-ZGToREQaBbjal-UQ,MARKAZ-E-JAMA MASJID msjd BENGBATI,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pMSvfBoICdue9br8ttR3mQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.45328&pitch=0&thumbfov=100
ChIJdUW9my5gGToR94gZyjZbvBg,MASJID-E-MAKKAH JHARKUL,All,https://lh5.googleusercontent.com/p/AF1QipOHExdcWeUm-O8EZPdwLc3AddBuddnd1ESxdqAR=w224-h497-k-no
ChIJdUW9my5gGToR94gZyjZbvBg,MASJID-E-MAKKAH JHARKUL,Dome,https://lh5.googleusercontent.com/p/AF1QipP1ZcdtipYG90hxQn-FbcCi-vlOVd6bfgasAm8l=w397-h298-k-no
ChIJdUW9my5gGToR94gZyjZbvBg,MASJID-E-MAKKAH JHARKUL,By owner,https://lh5.googleusercontent.com/p/AF1QipNMILwWhVAEOSRjQ_CUY68gRElfb7pSqC8wSI__=w224-h448-k-no
ChIJu43UnS1gGToRtQrAGGT9nMk,Masjid-e-ABRAR BK Mohalla Alti,All,https://lh5.googleusercontent.com/p/AF1QipOPsYf1yGGqvTliTtgrAkqDMq2GjLgc6djm1Ht1=w224-h298-k-no
ChIJu43UnS1gGToRtQrAGGT9nMk,Masjid-e-ABRAR BK Mohalla Alti,Dome,https://lh5.googleusercontent.com/p/AF1QipM44GRO2r1SxJHy-qtJCOKO_OfXOf0OelZWfFfA=w397-h298-k-no
ChIJgwdV_7WnGToRPUMpXP15feU,Masjid Hamd,All,https://lh5.googleusercontent.com/p/AF1QipO_1aSCbopNSD4oM8JhtnScgvVlToL2_JDwAg72=w694-h298-k-no
ChIJgwdV_7WnGToRPUMpXP15feU,Masjid Hamd,Latest,https://lh5.googleusercontent.com/p/AF1QipOXrzV22Hl0F2skVsYEm78Q4APk-y1LZghiizCr=w395-h298-k-no
