name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Dargah Masjid, Shahidganj",Mosque,"M39Q+G67 Dargah Masjid, Shahidganj, Shahid Ganj, Bihar 854204",,M39Q+G67,Shahid Ganj,854204,Bihar,IN,"https://www.google.com/maps/place/Dargah+Masjid,+Shahidganj/data=!4m7!3m6!1s0x39efd845fa90ab73:0x17c469ee2616bfce!8m2!3d25.6687929!4d87.0880462!16s%2Fg%2F11hb3x9r5h!19sChIJc6uQ-kXY7zkRzr8WJu5pxBc?authuser=0&hl=en&rclk=1","25.6687929,87.0880462"
Jama Masjid jm` msjd,Mosque,"Jama Masjid jm` msjd, Bihariganj, Bihar 852101",,,Bihariganj,852101,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x39efd15ae6a0285f:0x871f6b221ed93929!8m2!3d25.7407523!4d86.9909863!16s%2Fg%2F11crxrs8ym!19sChIJXyig5lrR7zkRKTnZHiJrH4c?authuser=0&hl=en&rclk=1,"25.7407523,86.9909863"
Badi masjid,Mosque,"MXWM+VPF Badi masjid, Goalpara, Golpara, Bihar 852101",,MXWM+VPF,"Goalpara, Golpara",852101,Bihar,IN,https://www.google.com/maps/place/Badi+masjid/data=!4m7!3m6!1s0x39efd71a78845bd9:0x29c5ffd59d98f38!8m2!3d25.6971806!4d86.9843023!16s%2Fg%2F11mbp8lb4l!19sChIJ2VuEeBrX7zkROI_ZWf1fnAI?authuser=0&hl=en&rclk=1,"25.6971806,86.9843023"
Mazharpatti Masjid,Place of worship,"MXV2+887 Mazharpatti Masjid, Goalpara, Bihar 852101",,MXV2+887,Goalpara,,Bihar,IN,https://www.google.com/maps/place/Mazharpatti+Masjid/data=!4m7!3m6!1s0x39efd5f646f4291b:0xba970e9643920a90!8m2!3d25.6932973!4d86.9508004!16s%2Fg%2F11fkvplhxc!19sChIJGyn0RvbV7zkRkAqSQ5YOl7o?authuser=0&hl=en&rclk=1,"25.693297299999998,86.95080039999999"
Jama Masjid Shahidganj,Mosque,"M37W+876 Jama Masjid Shahidganj, Shahid Ganj, Bihar 854204",,M37W+876,Shahid Ganj,854204,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Shahidganj/data=!4m7!3m6!1s0x39efd99e4b82536f:0x35b453db166420d4!8m2!3d25.6632806!4d87.0956548!16s%2Fg%2F11jcxc545x!19sChIJb1OCS57Z7zkR1CBkFttTtDU?authuser=0&hl=en&rclk=1,"25.6632806,87.09565479999999"
Nurany Jamea masjid Hathioundha Madarsatola,Mosque,"P292+43G Nurany Jamea masjid Hathioundha Madarsatola, Bihariganj, Bihar 852101",,P292+43G,Bihariganj,852101,Bihar,IN,https://www.google.com/maps/place/Nurany+Jamea+masjid+Hathioundha+Madarsatola/data=!4m7!3m6!1s0x39efd73e8df1e1f9:0xaaf15e468a3fe975!8m2!3d25.717803!4d87.0001886!16s%2Fg%2F11j_4xwgk_!19sChIJ-eHxjT7X7zkRdek_ikZe8ao?authuser=0&hl=en&rclk=1,"25.717803,87.0001886"
Masjid qubatul islam hathioundha rain tola ward no 10,Mosque,"PXGX+M5H Masjid qubatul islam hathioundha rain tola ward no 10, Hatiaundha, Bihariganj, Bihar 852101",,PXGX+M5H,"Hatiaundha, Bihariganj",852101,Bihar,IN,https://www.google.com/maps/place/Masjid+qubatul+islam+hathioundha+rain+tola+ward+no+10/data=!4m7!3m6!1s0x39efd719cd11dc8f:0xcffe836d80b47afe!8m2!3d25.7258078!4d86.9975978!16s%2Fg%2F11smvhw_dm!19sChIJj9wRzRnX7zkR_nq0gG2D_s8?authuser=0&hl=en&rclk=1,"25.7258078,86.9975978"
msjd frdwsh,Mosque,"PXCX+7W7 msjd frdwsh, Bihariganj, Bihar 852101",,PXCX+7W7,Bihariganj,852101,Bihar,IN,https://www.google.com/maps/place/%D9%85%D8%B3%D8%AC%D8%AF+%D9%81%D8%B1%D8%AF%D9%88%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x39efd7d9a13c0ccb:0xc88cdfd17b285b19!8m2!3d25.7206735!4d86.999789!16s%2Fg%2F11trgj730p!19sChIJyww8odnX7zkRGVsoe9HfjMg?authuser=0&hl=en&rclk=1,"25.7206735,86.99978899999999"
mwty jm` msjd brrhy,Mosque,"PXHQ+7W8 mwty jm` msjd brrhy, Bihariganj, Bihar 852101",,PXHQ+7W8,Bihariganj,852101,Bihar,IN,https://www.google.com/maps/place/%D9%85%D9%88%D8%AA%DB%8C+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF+%D8%A8%DA%91%DA%BE%DB%8C%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x39efd1dd99000c3b:0xa2b078cc5c75ed3e!8m2!3d25.7281529!4d86.9898293!16s%2Fg%2F11tsn16prr!19sChIJOwwAmd3R7zkRPu11XMx4sKI?authuser=0&hl=en&rclk=1,"25.728152899999998,86.9898293"
Noori Masjid Ward 03 Hathiyondha,School,"PXGX+M5H Noori Masjid Ward 03 Hathiyondha, Hatiaundha, Bihariganj, Bihar 852101",,PXGX+M5H,"Hatiaundha, Bihariganj",852101,Bihar,IN,https://www.google.com/maps/place/Noori+Masjid+Ward+03+Hathiyondha/data=!4m7!3m6!1s0x39efd78672b28e23:0x7ab175166e1ed8f5!8m2!3d25.7266994!4d86.9979777!16s%2Fg%2F11hq90ctfr!19sChIJI46ycobX7zkR9dgebhZ1sXo?authuser=0&hl=en&rclk=1,"25.726699399999998,86.99797769999999"
