name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Gazi Masjid New Colony Bijbehara,Mosque,"Q4X4+R9V Gazi Masjid New Colony Bijbehara, New Colony - Baba Mohalla Rd, New Colony Bijbehara, Bijbehara, Jammu and Kashmir 192124",New Colony Bijbehara,"Q4X4+R9V, New Colony - Baba Mohalla Rd",Bijbehara,192124,Jammu and Kashmir,IN,https://www.google.com/maps/place/Gazi+Masjid+New+Colony+Bijbehara/data=!4m7!3m6!1s0x38e21b1e4cb5f40f:0xafe9f9d22d7804b!8m2!3d33.7996243!4d75.1059186!16s%2Fg%2F11btv67m01!19sChIJD_S1TB4b4jgRS4DXIp2f_go?authuser=0&hl=en&rclk=1,"33.7996243,75.1059186"
Masjid Bilal New Colony Bijbehara,Mosque,"R423+5JM Masjid Bilal New Colony Bijbehara, New Colony - Baba Mohalla Rd, New Colony Bijbehara, Bijbehara, Jammu and Kashmir 192124",New Colony Bijbehara,"R423+5JM, New Colony - Baba Mohalla Rd",Bijbehara,192124,Jammu and Kashmir,IN,https://www.google.com/maps/place/Masjid+Bilal+New+Colony+Bijbehara/data=!4m7!3m6!1s0x38e21b1eedc596e3:0xd2928fbadfee7a0d!8m2!3d33.8004579!4d75.1040518!16s%2Fg%2F11b7qvkw1x!19sChIJ45bF7R4b4jgRDXru37qPktI?authuser=0&hl=en&rclk=1,"33.8004579,75.1040518"
Jamia Ahli Hadith,Mosque,"Q4R4+WXP Jamia Ahli Hadith, Ahanger Mohalla, Bijbehara, Jammu and Kashmir 192124",Ahanger Mohalla,Q4R4+WXP,Bijbehara,192124,Jammu and Kashmir,IN,https://www.google.com/maps/place/Jamia+Ahli+Hadith/data=!4m7!3m6!1s0x38e21b20a5fb448f:0x5cc1a6291a99904f!8m2!3d33.7923253!4d75.1074566!16s%2Fg%2F1hm1rdj0v!19sChIJj0T7pSAb4jgRT5CZGimmwVw?authuser=0&hl=en&rclk=1,"33.7923253,75.10745659999999"
Jamia Masjid Bijbehara,Mosque,"Q4V4+MWH Jamia Masjid Bijbehara, Zirpara - Baba Mohalla Rd, Bijbehara, Jammu and Kashmir 192124",,"Q4V4+MWH, Zirpara - Baba Mohalla Rd",Bijbehara,192124,Jammu and Kashmir,IN,https://www.google.com/maps/place/Jamia+Masjid+Bijbehara/data=!4m7!3m6!1s0x38e21b20872495bf:0xc6f2bfb39963757c!8m2!3d33.7941955!4d75.1073688!16s%2Fg%2F11bc7v0y8w!19sChIJv5UkhyAb4jgRfHVjmbO_8sY?authuser=0&hl=en&rclk=1,"33.7941955,75.1073688"
Jamia Masjid,Mosque,"Jamia Masjid, 192124",,,,,,,https://www.google.com/maps/place/Jamia+Masjid/data=!4m7!3m6!1s0x38e21b2f7067e9c3:0xf7766bb5ba38beee!8m2!3d33.7813232!4d75.0957155!16s%2Fg%2F113j3ynnq!19sChIJw-lncC8b4jgR7r44urVrdvc?authuser=0&hl=en&rclk=1,"33.781323199999996,75.0957155"
"Hanafia Jamia Shahi Masjid, Zirpara",Mosque,"Q4R5+MG3 Hanafia Jamia Shahi Masjid, Zirpara, Zirpara, Bijbehara, Jammu and Kashmir 192124",Zirpara,Q4R5+MG3,Bijbehara,192124,Jammu and Kashmir,IN,"https://www.google.com/maps/place/Hanafia+Jamia+Shahi+Masjid,+Zirpara/data=!4m7!3m6!1s0x38e21bfdd6a9687f:0x1d1e90f62a5b4f6d!8m2!3d33.7916352!4d75.1087872!16s%2Fg%2F11lfqs14vz!19sChIJf2ip1v0b4jgRbU9bKvaQHh0?authuser=0&hl=en&rclk=1","33.7916352,75.1087872"
Masjid Abu-ul-Fuqarah,Mosque,"Q4W5+GJF Masjid Abu-ul-Fuqarah, Vaid Mohalla Rd, Baba Mohalla, Bijbehara, Jammu and Kashmir 192124",Baba Mohalla,"Q4W5+GJF, Vaid Mohalla Rd",Bijbehara,192124,Jammu and Kashmir,IN,https://www.google.com/maps/place/Masjid+Abu-ul-Fuqarah/data=!4m7!3m6!1s0x38e21adfdefdc867:0x97a11be693fdeaf3!8m2!3d33.7963243!4d75.109049!16s%2Fg%2F11b7wc48b2!19sChIJZ8j93t8a4jgR8-r9k-YboZc?authuser=0&hl=en&rclk=1,"33.7963243,75.109049"
Markazi Hanfia Jamia Guree,Mosque,"Q47J+4CG Markazi Hanfia Jamia Guree, Guree, Bijbehara, Jammu and Kashmir 192124",Guree,Q47J+4CG,Bijbehara,,Jammu and Kashmir,IN,https://www.google.com/maps/place/Markazi+Hanfia+Jamia+Guree/data=!4m7!3m6!1s0x38e20538a0b6e80d:0x35671a905666d7a3!8m2!3d33.7628059!4d75.1310763!16s%2Fg%2F11gglt14dd!19sChIJDei2oDgF4jgRo9dmVpAaZzU?authuser=0&hl=en&rclk=1,"33.7628059,75.1310763"
Masjid-e-Usmani Gani RA,Mosque,"Q3PQ+P34 Masjid-e-Usmani Gani RA, Jabli Pora, Jammu and Kashmir",,"Q3PQ+P34, Jabli Pora",,,Jammu and Kashmir,IN,https://www.google.com/maps/place/Masjid-e-Usmani+Gani+RA/data=!4m7!3m6!1s0x38e21bbaae71df3f:0x65b5b72f90e9c73f!8m2!3d33.7867732!4d75.0877145!16s%2Fg%2F11h0psmwhr!19sChIJP99xrrob4jgRP8fpkC-3tWU?authuser=0&hl=en&rclk=1,"33.7867732,75.08771449999999"
The Mosque Of Wahabi's,Mosque,"Q4R5+W2G The Mosque Of Wahabi's, Ahanger Mohalla, Bijbehara, 192124",Ahanger Mohalla,Q4R5+W2G,Bijbehara,192124,,IN,https://www.google.com/maps/place/The+Mosque+Of+Wahabi%27s/data=!4m7!3m6!1s0x38e21bd32e281ab3:0x79d589aac35574de!8m2!3d33.7923121!4d75.107586!16s%2Fg%2F11rbry4znr!19sChIJsxooLtMb4jgR3nRVw6qJ1Xk?authuser=0&hl=en&rclk=1,"33.7923121,75.107586"
