place_id,place_name,about,link
ChIJ09itMv_2aTkRlfQTOBP21Fc,Madina Masjid Mosque (msjid),All,https://lh5.googleusercontent.com/p/AF1QipP01BjcNrmgjdvWNBMk4FtX9daox6rzkIkAJAMM=w529-h298-k-no
ChIJ09itMv_2aTkRlfQTOBP21Fc,Madina Masjid Mosque (msjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ernXuBERUyDDW-yU4XBsNA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=84.912186&pitch=0&thumbfov=100
ChIJh4WC-GexnjkRnpmPBRslpq8,Eidgah Bilara,All,https://lh5.googleusercontent.com/p/AF1QipMVjrUNUKZCiesNbUJUcsFL41-QAywbmjtJdLcw=w224-h298-k-no
ChIJAxAHCoj3aTkRHKqnfs_cVKs,Sunni Nurani masjid,All,https://lh5.googleusercontent.com/p/AF1QipO7SNCfBfsulW0E7zmPtPlxrSs6smNuGJOZeoG7=w397-h298-k-no
ChIJAxAHCoj3aTkRHKqnfs_cVKs,Sunni Nurani masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-pe7uUCDD4JvIoicogM3Ow&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=93.53512&pitch=0&thumbfov=100
ChIJtx7GwGXdcjkRlEgWJqMc8wE,Bilal mosque,All,https://lh5.googleusercontent.com/p/AF1QipO9byEVjATqbI5NoFaqsI8CguUB3Uo4s5hqbHzo=w529-h298-k-no
ChIJJyS4f_P3aTkRxM23iDI-vd4,Jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipOxRu_3GxK0gMLjVmW43KShlJaxUt4YjNOs6jRQ=w224-h398-k-no
ChIJJyS4f_P3aTkRxM23iDI-vd4,Jama masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZqnuTf05rLhYPy1HN7779Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=83.60324&pitch=0&thumbfov=100
ChIJTZJ2Mtr3aTkRi4CQTGdTsGI,Makki masjid billara,All,https://lh5.googleusercontent.com/p/AF1QipMLvYpY8u-gEo1RGOz6j7GoOZjBqIEtAKFRjArs=w662-h298-k-no
ChIJjXaDgG_3aTkRuGcDphG8Ty8,Masjid e aksa,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dj4ZWUCR85I1-0LfpQSsXA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=83.914604&pitch=0&thumbfov=100
ChIJjXaDgG_3aTkRuGcDphG8Ty8,Masjid e aksa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dj4ZWUCR85I1-0LfpQSsXA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=83.914604&pitch=0&thumbfov=100
