place_id,place_name,about,link
ChIJ7QNQ13nX-TkRIyVlSuH7DJg,Bishnupur Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipM0hyqetqzNLJN4l9ZFySKFQ0AiYavZWp-ZYyBW=w224-h298-k-no
ChIJ7QNQ13nX-TkRIyVlSuH7DJg,Bishnupur Masjid msjd,Latest,https://lh5.googleusercontent.com/p/AF1QipNThUBfA6TJao2l8gQiVgKkUTjx557E-x7OiLDh=w398-h298-k-no
ChIJBfW4xC778TkRiz_9V8HILiE,"Jama Masjid,Bishnupur Ahok",All,https://lh5.googleusercontent.com/p/AF1QipMjOOpTNm8L0B7wt9sQx7WDngiCDtojKyDJLpCX=w224-h397-k-no
ChIJBfW4xC778TkRiz_9V8HILiE,"Jama Masjid,Bishnupur Ahok",Dome,https://lh5.googleusercontent.com/p/AF1QipOPq6n8taejgjV0yuSsJQRvO-Ed0V_nQ_fBRmfH=w662-h298-k-no
ChIJBfW4xC778TkRiz_9V8HILiE,"Jama Masjid,Bishnupur Ahok",Videos,https://lh5.googleusercontent.com/p/AF1QipOJkHvqkAqf1ZpFksw_RkOHxaRTwy8lWMAxkekb=w298-h298-k-no
ChIJ41qio3Cg-DkR0fLWIhEKKJo,Bishnupur Baganati Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOxywCuvMIszul2iqYYOLSnz3sT0bcgunzf65bL=w653-h298-k-no
ChIJ41qio3Cg-DkR0fLWIhEKKJo,Bishnupur Baganati Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JjgXJFrZiLeS_0Dzz5l5Uw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=211.22139&pitch=0&thumbfov=100
ChIJH9UMD2aR9zkRmRpflZdImDg,Kurban Baba Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO6G3nXCP6n3Ew3Ne4wWIoBV4AiSZ_BuKBYRc8J=w397-h298-k-no
ChIJH9UMD2aR9zkRmRpflZdImDg,Kurban Baba Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fiHRrDDTB--ncohr33Z59g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=313.59296&pitch=0&thumbfov=100
ChIJ3bvbxKllAjoRJqhmSsVeCKY,Begpara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP5JR15aQmezWK9tDCv0fkTzRRm4mDlzbicjzag=w529-h298-k-no
ChIJ3bvbxKllAjoRJqhmSsVeCKY,Begpara Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipP5JR15aQmezWK9tDCv0fkTzRRm4mDlzbicjzag=w529-h298-k-no
ChIJ3bvbxKllAjoRJqhmSsVeCKY,Begpara Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMQn9uhMbsonyJQyt2xp8okrqujpkfI08J0Rkx5=w224-h398-k-no
ChIJeXBKgPXd-zkRefFHGiMQUkA,Bishnupur Waktia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOsWTJOUrq0Jh2jA8-EQGU9GP8axhXgZ4W-w5Gv=w397-h298-k-no
ChIJeXBKgPXd-zkRefFHGiMQUkA,Bishnupur Waktia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=be8TKQP5oWxJddRzV2L7hg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=219.13489&pitch=0&thumbfov=100
ChIJWTRvvlnXAToRDF55G5FWXVo,Bishnupur Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNshEKjUwf0-K81w-VM0FsHGCFpy_dj1J2WsrVY=w397-h298-k-no
ChIJWTRvvlnXAToRDF55G5FWXVo,Bishnupur Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipMqVF7hqErpfIUwyws2FALi9i-VhIr4jo1qwp2_=w529-h298-k-no
ChIJ5bv6HRaR9zkRnjA434j3nhI,Bishnupur Town Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOnu-hrFek9DPtIcjSwSiPPPrkhAgu4iu05amIw=w395-h298-k-no
ChIJ5bv6HRaR9zkRnjA434j3nhI,Bishnupur Town Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EH_vTEggLm6nB3OlIZ5hGw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=31.399603&pitch=0&thumbfov=100
ChIJtblq5ZCEWTcR_HeAXAkJAwA,"Masjid, Bishnupur",All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ez2qcBPomrVuo3joLtCTeA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=102.118095&pitch=0&thumbfov=100
ChIJtblq5ZCEWTcR_HeAXAkJAwA,"Masjid, Bishnupur",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ez2qcBPomrVuo3joLtCTeA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=102.118095&pitch=0&thumbfov=100
ChIJ6xoBRTz_-DkRQ-0-QSAC2h0,Bishnupur Seikhpara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOxEhs_Xt2eK5G0FJXNYSpzapi9ND4RF_CQovv3=w224-h398-k-no
ChIJ93ZzvRaR9zkR8i08QqyRgLY,Dwarika jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOxchM8HM21R7AWTyKc5TEHP9_E1g0SN5xAY4ni=w662-h298-k-no
ChIJ93ZzvRaR9zkR8i08QqyRgLY,Dwarika jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOJJ1K-IQsJid0XSSlINQjvTHXBVId0euoCwH7Q=w224-h496-k-no
ChIJ93ZzvRaR9zkR8i08QqyRgLY,Dwarika jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO33OFfuH9VCKT7Gp9FOBnoUUrrmaAwpwruJzkx=w224-h398-k-no
ChIJ93ZzvRaR9zkR8i08QqyRgLY,Dwarika jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xhT8Chskt9iXpdZu2x1XaQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=139.14853&pitch=0&thumbfov=100
ChIJtSPksfZX9zkRpFT3GTLDHys,Shiuli pahari jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipNXHf5eQFxiGQW30hgAEpSXTVJgfBSxbKg2BXmV=w527-h298-k-no
ChIJVVVVhbhnAjoRqIfMlVG1Xio,Bishnupur Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOHFAC2XM2Dp2B3iszkMfzo9fvaZWa2tZDhbGil=w397-h298-k-no
ChIJVVVVhbhnAjoRqIfMlVG1Xio,Bishnupur Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9xHlswS8BZl-b2ZbFi3n5g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=346.0853&pitch=0&thumbfov=100
ChIJVVVVhbhnAjoRqIfMlVG1Xio,Bishnupur Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPabPLJWeh18XnApa1Zbfpw_Mv0Kb_fVW6nKs5s=w224-h398-k-no
ChIJs9gCcV7n-zkRLSnBmlrHnkk,Bishnupur Jama Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7rWEYP3awLYB5oEwclFjSg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=164.0059&pitch=0&thumbfov=100
ChIJs9gCcV7n-zkRLSnBmlrHnkk,Bishnupur Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7rWEYP3awLYB5oEwclFjSg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=164.0059&pitch=0&thumbfov=100
ChIJs2rUXXcg-jkRdWwS9cOncxw,Bishnupur Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPC7h6PlZ7gm1cUbfidHbibLTGLfyvzRrD5a1iC=w529-h298-k-no
ChIJs2rUXXcg-jkRdWwS9cOncxw,Bishnupur Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=arJ4E9lICxbnuz5z-R8q9Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=136.35252&pitch=0&thumbfov=100
ChIJYzEqN1anAjoRPzb9y7zSgQU,Bishnupur Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMXPNZOZTVOES-ClCz_APdAouq23E7rOu7cyZtX=w224-h496-k-no
