place_id,place_name,about,link
ChIJddIZxvke5zsRVTNJP21JOOM,Sunni Jama Masjid (Boisar),All,https://lh5.googleusercontent.com/p/AF1QipOhiUlptOLrpurNpIUD6s-6OvI7EEmkhmg7N3TQ=w397-h298-k-no
ChIJddIZxvke5zsRVTNJP21JOOM,Sunni Jama Masjid (Boisar),Videos,https://lh5.googleusercontent.com/p/AF1QipNTA3oQjM06FnObOSSXXTW2viEvotUvVXnXjcV1=w224-h407-k-no
ChIJoRo7iVAe5zsRZToJUS7CGdg,"MASJID AL HIRA, Ahl al hadith (MOSQUE)",All,https://lh5.googleusercontent.com/p/AF1QipMtxITj6KEeFwzZ3lATr3dwmoGH4LUmr_vXfdeM=w529-h298-k-no
ChIJ90yFplIe5zsRG85OEiSvh_A,Masjid-E-Noor,All,https://lh5.googleusercontent.com/p/AF1QipNu4PCi1uPzED8Kj_nCRd9ydgadSmlyv6-4i49H=w646-h298-k-no
ChIJ53rVVIwe5zsR9h8g87CqQDE,Masjid-e-Abdullah,All,https://lh5.googleusercontent.com/p/AF1QipOxbeTNq8xe0Zhgk3_4tpN2TA1qkpI0yYKWpRnl=w529-h298-k-no
ChIJk6M1gFoe5zsR9vkQkHJrqK4,juma masjid awadh nagar,All,https://lh5.googleusercontent.com/p/AF1QipMK-KIdq4gnPyLkDKlGJD_CN0qxd3szCubhLSv-=w428-h298-k-no
ChIJVXDO4Bgf5zsR5Zsg0s7QbF8,Ahl Al Hadith Masjid Khwateen (Salafi Mosque For Female),All,https://lh5.googleusercontent.com/p/AF1QipP06x1-0dLh3g1mgaF9VS4O1n6PhDQvmHAqkdFO=w224-h298-k-no
ChIJIaXJ678f5zsRqWEVkXfaS7Y,Darul Uloom Gausiya & Charitable Trust,All,https://lh5.googleusercontent.com/p/AF1QipP1sCdVxXH7-iCLdrLToY7UEOs4pwuAL7rTVfKC=w397-h298-k-no
ChIJIaXJ678f5zsRqWEVkXfaS7Y,Darul Uloom Gausiya & Charitable Trust,By owner,https://lh5.googleusercontent.com/p/AF1QipOx90rZliFojaueaRLYEfw7D2Md5MSPm-DhHL9E=w224-h380-k-no
ChIJIaXJ678f5zsRqWEVkXfaS7Y,Darul Uloom Gausiya & Charitable Trust,Videos,https://lh5.googleusercontent.com/p/AF1QipNJn52AS5cPiqQKTWxwY8c-3QctNjjTQ1JEXnIq=w224-h398-k-no
ChIJfxpPyJof5zsRrpKd_XVzn2w,Sunni Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOe8-MDsmvUnKznnTtBE_2c_3bqdc4XxlqHJUvd=w224-h298-k-no
ChIJfxpPyJof5zsRrpKd_XVzn2w,Sunni Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMSr0MM-IkKc0_yixH2F4uGSJ17JzKGohKV1cyf=w224-h398-k-no
ChIJC2zX1R0f5zsRwhSB0g1J4vg,Masjid Barelvi (Mosque),All,https://lh5.googleusercontent.com/p/AF1QipMx8ZAWU06Rd7FhjHfenz3IOBiDnSQmy1ujmcT1=w265-h298-k-no
ChIJjVwMUVAf5zsRdl2pj6TfBlw,"Masjid And Madarsa Rizwiya Trust Awadhnagar (Ahle Sunnat Wa Jamaat, Barelvi)",All,https://lh5.googleusercontent.com/p/AF1QipO2fEgIwH9exWfERQDMSRoofsGnC2apV0Q_CPeW=w529-h298-k-no
ChIJ3ZL30yQf5zsRxPDPMmh5Me8,Masjid and madarsa barkatiya gulshane raza,All,https://lh5.googleusercontent.com/p/AF1QipP_huKW9KfPi1D1vzeL62Hp_gyAvP7MZUA4yyD2=w529-h298-k-no
