name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Sunni Jama Masjid (Boisar),Mosque,"QQX6+R7Q Sunni Jama Masjid (Boisar), Main Rd, Sainath Nagar, Bhandarwada, Boisar, Maharashtra 401501","Sainath Nagar, Bhandarwada","QQX6+R7Q, Main Rd",Boisar,401501,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Jama+Masjid+%28Boisar%29/data=!4m7!3m6!1s0x3be71ef9c619d275:0xe338496d3f493355!8m2!3d19.7995887!4d72.7607295!16s%2Fg%2F11cllk2rk4!19sChIJddIZxvke5zsRVTNJP21JOOM?authuser=0&hl=en&rclk=1,"19.799588699999997,72.7607295"
"MASJID AL HIRA, Ahl al hadith (MOSQUE)",Mosque,"MASJID AL HIRA, Ahl al hadith (MOSQUE), 7, Navapur Rd, Churi Compound, Mahavir Nagar, Boisar, Maharashtra 401501","Churi Compound, Mahavir Nagar","7, Navapur Rd",Boisar,401501,Maharashtra,IN,"https://www.google.com/maps/place/MASJID+AL+HIRA,+Ahl+al+hadith+%28MOSQUE%29/data=!4m7!3m6!1s0x3be71e50893b1aa1:0xd819c22e51093a65!8m2!3d19.797974!4d72.748786!16s%2Fg%2F11gb3qzs6d!19sChIJoRo7iVAe5zsRZToJUS7CGdg?authuser=0&hl=en&rclk=1","19.797974,72.748786"
Masjid-E-Noor,Mosque,"Masjid-E-Noor, plot no 31 OPP CHANDAR DECORATIVE, Chitralaya, Boisar, Maharashtra 401504",Chitralaya,plot no 31 OPP CHANDAR DECORATIVE,"Boisar, Katkar",401504,Maharashtra,IN,https://www.google.com/maps/place/Masjid-E-Noor/data=!4m7!3m6!1s0x3be71e52a6854cf7:0xf087af24124ece1b!8m2!3d19.8075708!4d72.7455597!16s%2Fg%2F11cls9921w!19sChIJ90yFplIe5zsRG85OEiSvh_A?authuser=0&hl=en&rclk=1,"19.8075708,72.7455597"
Masjid-e-Abdullah,Mosque,"QQM8+P8X Masjid-e-Abdullah, Hindustan Garage, Boisar, Maharashtra",,"QQM8+P8X, Hindustan Garage",Boisar,,Maharashtra,IN,https://www.google.com/maps/place/Masjid-e-Abdullah/data=!4m7!3m6!1s0x3be71e8c54d57ae7:0x3140aab0f3201ff6!8m2!3d19.7843714!4d72.7658536!16s%2Fg%2F11c7428j2x!19sChIJ53rVVIwe5zsR9h8g87CqQDE?authuser=0&hl=en&rclk=1,"19.784371399999998,72.7658536"
juma masjid awadh nagar,Mosque,"QPWX+R5P juma masjid awadh nagar, Awadh Nagar, Boisar, Maharashtra 401501",Awadh Nagar,QPWX+R5P,Boisar,401501,Maharashtra,IN,https://www.google.com/maps/place/juma+masjid+awadh+nagar/data=!4m7!3m6!1s0x3be71e5a8035a393:0xaea86b729010f9f6!8m2!3d19.7970853!4d72.7479656!16s%2Fg%2F11g9q6hd8r!19sChIJk6M1gFoe5zsR9vkQkHJrqK4?authuser=0&hl=en&rclk=1,"19.7970853,72.7479656"
Bhaiyapada Masjid,Mosque,"RP4W+8Q9 Bhaiyapada Masjid, Boisar, Katkar, Maharashtra 401501",,RP4W+8Q9,"Boisar, Katkar",401501,Maharashtra,IN,https://www.google.com/maps/place/Bhaiyapada+Masjid/data=!4m7!3m6!1s0x3be71f12fe5bb533:0x557f24fddfc1ff5e!8m2!3d19.8057822!4d72.7469873!16s%2Fg%2F11ghp0q2t0!19sChIJM7Vb_hIf5zsRXv_B3_0kf1U?authuser=0&hl=en&rclk=1,"19.8057822,72.7469873"
Ahl Al Hadith Masjid Khwateen (Salafi Mosque For Female),Mosque,"QPXX+7CH Ahl Al Hadith Masjid Khwateen (Salafi Mosque For Female), Churi Compound, Awadh Nagar, Boisar, Maharashtra 401501","Churi Compound, Awadh Nagar",QPXX+7CH,Boisar,401501,Maharashtra,IN,https://www.google.com/maps/place/Ahl+Al+Hadith+Masjid+Khwateen+%28Salafi+Mosque+For+Female%29/data=!4m7!3m6!1s0x3be71f18e0ce7055:0x5f6cd0ced2209be5!8m2!3d19.7981863!4d72.748607!16s%2Fg%2F11gnp1mhb6!19sChIJVXDO4Bgf5zsR5Zsg0s7QbF8?authuser=0&hl=en&rclk=1,"19.798186299999998,72.74860699999999"
Darul Uloom Gausiya & Charitable Trust,Mosque,"Darul Uloom Gausiya & Charitable Trust, Bhaiyapada, Tarapur Rd, Awadh Nagar, Boisar, Maharashtra 401501",Awadh Nagar,"Bhaiyapada, Tarapur Rd",Boisar,401501,Maharashtra,IN,https://www.google.com/maps/place/Darul+Uloom+Gausiya+%26+Charitable+Trust/data=!4m7!3m6!1s0x3be71fbfebc9a521:0xb64bda77911561a9!8m2!3d19.8020293!4d72.7466601!16s%2Fg%2F11ghfnvk39!19sChIJIaXJ678f5zsRqWEVkXfaS7Y?authuser=0&hl=en&rclk=1,"19.802029299999997,72.7466601"
Sunni Jama Masjid,Mosque,"RQ77+V7R Sunni Jama Masjid, Dhanani Nagar Rd, Boisar, Maharashtra 401501",,"RQ77+V7R, Dhanani Nagar Rd",Boisar,401501,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Jama+Masjid/data=!4m7!3m6!1s0x3be71f9ac84f1a7f:0x6c9f7375fd9d92ae!8m2!3d19.8147359!4d72.7631264!16s%2Fg%2F11g1928nkd!19sChIJfxpPyJof5zsRrpKd_XVzn2w?authuser=0&hl=en&rclk=1,"19.8147359,72.76312639999999"
Masjid Barelvi (Mosque),Mosque,"Masjid Barelvi (Mosque), Dhodi pooja, Pratapgarh, bhagwan nagar, Boisar, Maharashtra 401501","Pratapgarh, bhagwan nagar",Dhodi pooja,Boisar,401501,Maharashtra,IN,https://www.google.com/maps/place/Masjid+Barelvi+%28Mosque%29/data=!4m7!3m6!1s0x3be71f1dd5d76c0b:0xf8e2490dd28114c2!8m2!3d19.799696!4d72.7539868!16s%2Fg%2F11fkcyym9q!19sChIJC2zX1R0f5zsRwhSB0g1J4vg?authuser=0&hl=en&rclk=1,"19.799696,72.75398679999999"
