name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"I.C.COLONY,MASJID",Mosque,"Ground floor, I.C.COLONY,MASJID, Gaurav C, Holy Cross Rd, D-WING, I C Colony, Borivali West, Mumbai, Maharashtra 400103","D-WING, I C Colony, Borivali West","Ground floor, Gaurav C, Holy Cross Rd",Mumbai,400103,Maharashtra,IN,"https://www.google.com/maps/place/I.C.COLONY,MASJID/data=!4m7!3m6!1s0x3be7b11dec654019:0xaf1fbbb8162fe3c5!8m2!3d19.2505702!4d72.8505715!16s%2Fg%2F1hd_tj27m!19sChIJGUBl7B2x5zsRxeMvFri7H68?authuser=0&hl=en&rclk=1","19.2505702,72.8505715"
Eksar Masjid,Mosque,"6RMW+P87 Eksar Masjid, Eksar Rd, Naitodi Gaothan, Yogi Nagar, Borivali West, Mumbai, Maharashtra 400091","Naitodi Gaothan, Yogi Nagar, Borivali West","6RMW+P87, Eksar Rd",Mumbai,400091,Maharashtra,IN,https://www.google.com/maps/place/Eksar+Masjid/data=!4m7!3m6!1s0x3be7b1267fb5b147:0xd99a637f4c2c3f82!8m2!3d19.2342751!4d72.8458089!16s%2Fg%2F1hc11g4tz!19sChIJR7G1fyax5zsRgj8sTH9jmtk?authuser=0&hl=en&rclk=1,"19.234275099999998,72.8458089"
Hazrat Shabulshah Syed Shahbuddin Shah Baba Dargah,Mosque,"6RMW+5HQ Hazrat Shabulshah Syed Shahbuddin Shah Baba Dargah, Eksar Rd, Govind Nagar, Borivali West, Mumbai, Maharashtra 400091","Govind Nagar, Borivali West","6RMW+5HQ, Eksar Rd",Mumbai,400091,Maharashtra,IN,https://www.google.com/maps/place/Hazrat+Shabulshah+Syed+Shahbuddin+Shah+Baba+Dargah/data=!4m7!3m6!1s0x3be7b12613b177bf:0xd24b264375a593b7!8m2!3d19.2329515!4d72.8464867!16s%2Fg%2F1hc1dgn2q!19sChIJv3exEyax5zsRt5OldUMmS9I?authuser=0&hl=en&rclk=1,"19.2329515,72.8464867"
Jamalia Gausiya Madrasa Masjid (Badi Masjid),Mosque,"6VMC+G9Q Jamalia Gausiya Madrasa Masjid (Badi Masjid), KAJU PADA, Appasaheb Sidhaye Marg, Abhinav Nagar, Borivali, Mumbai, Maharashtra 400066","Abhinav Nagar, Borivali","6VMC+G9Q, KAJU PADA, Appasaheb Sidhaye Marg",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Jamalia+Gausiya+Madrasa+Masjid+%28Badi+Masjid%29/data=!4m7!3m6!1s0x3be7b0c89e719415:0xa86f4978562ff774!8m2!3d19.2338333!4d72.8709949!16s%2Fg%2F1ptyvzd0l!19sChIJFZRxnsiw5zsRdPcvVnhJb6g?authuser=0&hl=en&rclk=1,"19.2338333,72.8709949"
Kadriya Masjid,Mosque,"Kadriya Masjid, Rajendra nagar, D-603, Jai Jawan Nagar, Borivali East, Mumbai, Maharashtra 400066","Jai Jawan Nagar, Rajendra Nagar, Borivali East","Rajendra nagar, D-603",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Kadriya+Masjid/data=!4m7!3m6!1s0x3be7b72cc29e926d:0xa4e0688f0ace78a4!8m2!3d19.2198416!4d72.8595655!16s%2Fg%2F11by_gb0fr!19sChIJbZKewiy35zsRpHjOCo9o4KQ?authuser=0&hl=en&rclk=1,"19.2198416,72.8595655"
Madarsha Islamia Masjid Darul Falah,Mosque,"No-9, Madarsha Islamia Masjid Darul Falah, Kasthurba Rd, Chinchpada, Borivali East, Mumbai, Maharashtra 400066","Chinchpada, Borivali East","No-9, Kasthurba Rd",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Madarsha+Islamia+Masjid+Darul+Falah/data=!4m7!3m6!1s0x3be7b0d056dc56cd:0x84eed8a3cb56168d!8m2!3d19.230616!4d72.8606883!16s%2Fg%2F1pv5v5hxd!19sChIJzVbcVtCw5zsRjRZWy6PY7oQ?authuser=0&hl=en&rclk=1,"19.230615999999998,72.86068829999999"
Madrsa e masjid Arbia,Mosque,"Madrsa e masjid Arbia, 2, Laxman Mhatre Rd, Shivaji Nagar Colony, Mandapeshwar, Dahisar West, Mumbai, Maharashtra 400103","Shivaji Nagar Colony, Mandapeshwar, Dahisar West","2, Laxman Mhatre Rd",Mumbai,400103,Maharashtra,IN,https://www.google.com/maps/place/Madrsa+e+masjid+Arbia/data=!4m7!3m6!1s0x3be7b0e08e846987:0x7850d501fa3cf0af!8m2!3d19.2449556!4d72.8550214!16s%2Fg%2F11g6lzdl0z!19sChIJh2mEjuCw5zsRr_A8-gHVUHg?authuser=0&hl=en&rclk=1,"19.2449556,72.8550214"
SUNNI MASJID,Mosque,"6VC5+3QQ SUNNI MASJID, Shreeji Society Rd, Jai Jawan Nagar, Rajendra Nagar, Borivali East, Mumbai, Maharashtra 400066","Jai Jawan Nagar, Rajendra Nagar, Borivali East","6VC5+3QQ, Shreeji Society Rd",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/SUNNI+MASJID/data=!4m7!3m6!1s0x3be7b72cc387f393:0x16dfcf9d3d9a551e!8m2!3d19.2202232!4d72.8594865!16s%2Fg%2F11c6064kh5!19sChIJk_OHwyy35zsRHlWaPZ3P3xY?authuser=0&hl=en&rclk=1,"19.2202232,72.8594865"
MADRASA BAITUL ARABIA TALIMUL ISLAM(Masjid-E-Gulistan),Mosque,"MADRASA BAITUL ARABIA TALIMUL ISLAM(Masjid-E-Gulistan), near No.19 building, Gorai Rd, MHB Colony, Mumbai, Maharashtra 400092","MHB Colony, Mhada Colony, Borivali","near No.19 building, Gorai Rd",Mumbai,400092,Maharashtra,IN,https://www.google.com/maps/place/MADRASA+BAITUL+ARABIA+TALIMUL+ISLAM%28Masjid-E-Gulistan%29/data=!4m7!3m6!1s0x3be7b13ad7e6aac9:0x4f4587afef841c9!8m2!3d19.2336463!4d72.8390474!16s%2Fg%2F11f3svp_hv!19sChIJyarm1zqx5zsRyUH4_npY9AQ?authuser=0&hl=en&rclk=1,"19.2336463,72.8390474"
Habibia Rizvia Masjid,Mosque,"6VH6+HJP Habibia Rizvia Masjid, Carter Rd Number 4, Chinchpada, Borivali East, Mumbai, Maharashtra 400066","Chinchpada, Borivali East","6VH6+HJP, Carter Rd Number 4",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Habibia+Rizvia+Masjid/data=!4m7!3m6!1s0x3be7b0d1be969c23:0xa615eec1a1c10b63!8m2!3d19.2289742!4d72.8615723!16s%2Fg%2F11b5wp923_!19sChIJI5yWvtGw5zsRYwvBocHuFaY?authuser=0&hl=en&rclk=1,"19.2289742,72.86157229999999"
Farukiya Jamia Masjid Borivali,Mosque,"Farukiya Jamia Masjid Borivali, Amber Om Swastik Co Operative Housing Society Limited, Goyal Plaza, Carter Rd No. 7, Chinchpada, Borivali East, Mumbai, Maharashtra 400066","Chinchpada, Borivali East","Amber Om Swastik Co Operative Housing Society Limited, Goyal Plaza, Carter Rd No. 7",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Farukiya+Jamia+Masjid+Borivali/data=!4m7!3m6!1s0x3be7b1c8ef5884c5:0xb12b2e8b0b84dba9!8m2!3d19.2305542!4d72.8588115!16s%2Fg%2F11j8428fww!19sChIJxYRY78ix5zsRqduEC4suK7E?authuser=0&hl=en&rclk=1,"19.2305542,72.8588115"
Madrasa Darul Uloom Husainiya,Mosque,"7R3W+35C Madrasa Darul Uloom Husainiya, Galli Number 7, Ganpat Patil Nagar, Navagaon, Borivali West, Mumbai, Maharashtra 400103","Ganpat Patil Nagar, Navagaon, Borivali West","7R3W+35C, Galli Number 7",Mumbai,400103,Maharashtra,IN,https://www.google.com/maps/place/Madrasa+Darul+Uloom+Husainiya/data=!4m7!3m6!1s0x3be7b11c9d239279:0x402fe22b132c7eaa!8m2!3d19.2526827!4d72.8453767!16s%2Fg%2F11gf8f03jz!19sChIJeZIjnRyx5zsRqn4sEyviL0A?authuser=0&hl=en&rclk=1,"19.252682699999998,72.8453767"
Madrasa Mushkil Kusha Talimul Quran,Mosque,"6VH7+4G8 Madrasa Mushkil Kusha Talimul Quran, Rai Dongari, Kulupwadi Road, Borivali East, Mumbai, Maharashtra 400066","Kulupwadi, Borivali","6VH7+4G8, Rai Dongari, Kulupwadi Road, Borivali East",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Madrasa+Mushkil+Kusha+Talimul+Quran/data=!4m7!3m6!1s0x3be7b0ce069668e3:0x144049f3e2f32993!8m2!3d19.227776!4d72.863833!16s%2Fg%2F11cn7gxtzt!19sChIJ42iWBs6w5zsRkynz4vNJQBQ?authuser=0&hl=en&rclk=1,"19.227776,72.863833"
Madarsa Kadriya Islamia,Mosque,"Madarsa Kadriya Islamia, Boraspada Road, near, Borsapada Marg, Sector 7, Kandivali West, Mumbai, Maharashtra 400067","Sector 7, Kandivali West","Boraspada Road, near, Borsapada Marg",Mumbai,400067,Maharashtra,IN,https://www.google.com/maps/place/Madarsa+Kadriya+Islamia/data=!4m7!3m6!1s0x3be7b6d6e9b02d27:0xfefdb72612d1a63c!8m2!3d19.212421!4d72.8472254!16s%2Fg%2F11hb6dx3t0!19sChIJJy2w6da25zsRPKbREia3_f4?authuser=0&hl=en&rclk=1,"19.212421,72.8472254"
Sunni Masjid AMBAWADI,Mosque,"6VR6+855 Sunni Masjid AMBAWADI, Ambawadi, Borivali, Mumbai, Maharashtra 400068","Ambawadi, Borivali",6VR6+855,Mumbai,400068,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Masjid+AMBAWADI/data=!4m7!3m6!1s0x3be7b16c683854d7:0x411f770208442c3d!8m2!3d19.2407528!4d72.8604749!16s%2Fg%2F11g0h_qk2_!19sChIJ11Q4aGyx5zsRPSxECAJ3H0E?authuser=0&hl=en&rclk=1,"19.2407528,72.8604749"
Madarsa - Masjid Hussainiya,Mosque,"6VQ6+Q5J Madarsa - Masjid Hussainiya, Madarsa Hussainiya Near St.Xavier High School, DN Dube Rd, Ambawadi, Borivali, Dahisar, Maharashtra 400068","Ambawadi, Borivali","6VQ6+Q5J, Madarsa Hussainiya Near St.Xavier High School, DN Dube Rd","Dahisar, Mumbai",400068,Maharashtra,IN,https://www.google.com/maps/place/Madarsa+-+Masjid+Hussainiya/data=!4m7!3m6!1s0x3be7b1c04ecc8ba9:0x5d954e2ec7de754!8m2!3d19.2394523!4d72.8603978!16s%2Fg%2F11smv6rt8n!19sChIJqYvMTsCx5zsRVOd97OJU2QU?authuser=0&hl=en&rclk=1,"19.2394523,72.8603978"
Anjuman Madrasa & Masjid,Mosque,"6VPC+29J Anjuman Madrasa & Masjid, Munaf Deshmukh Chawal, Mumbai,, Kajupada, Borivali East, Mumbai, Maharashtra 400066","Kajupada, Borivali East","6VPC+29J, Munaf Deshmukh Chawal, Mumbai,",Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Anjuman+Madrasa+%26+Masjid/data=!4m7!3m6!1s0x3be7b0c63e5cdc3d:0xe26bb2846f53a66c!8m2!3d19.2350867!4d72.8708912!16s%2Fg%2F11ddxsmnsw!19sChIJPdxcPsaw5zsRbKZTb4Sya-I?authuser=0&hl=en&rclk=1,"19.2350867,72.8708912"
Masjid va madarsa ehle sunnat val jamaat,Mosque,"6V95+VGX Masjid va madarsa ehle sunnat val jamaat, Rajendra Nagar, Borivali, Mumbai, Maharashtra 400066","Rajendra Nagar, Borivali",6V95+VGX,Mumbai,400066,Maharashtra,IN,https://www.google.com/maps/place/Masjid+va+madarsa+ehle+sunnat+val+jamaat/data=!4m7!3m6!1s0x3be7b7854fb4ff79:0x697dc5e99a2d833!8m2!3d19.2197453!4d72.8588495!16s%2Fg%2F11qbqm9rn5!19sChIJef-0T4W35zsRM9iimV7clwY?authuser=0&hl=en&rclk=1,"19.2197453,72.85884949999999"
