place_id,place_name,about,link
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJM0VFAvbjDDkRalT-aGhzw88,Masjid Alishan `lyshn msjd,All,https://lh5.googleusercontent.com/p/AF1QipPqH0jm8K27JFhOVaQrhsSmlz8I_pMh5wHt7fD-=w397-h298-k-no
ChIJM0VFAvbjDDkRalT-aGhzw88,Masjid Alishan `lyshn msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipMOacQpPNcZcQjjgUwWFxmzxIRqsX79BTaY-Gsw=w224-h407-k-no
ChIJFUdEObnjDDkRzzFCSzXUZSo,bengali masjid,All,https://lh5.googleusercontent.com/p/AF1QipPceD0tdzf3tpUmhMh8OmLQGTUHBtCnN37fGUC5=w224-h298-k-no
ChIJFUdEObnjDDkRzzFCSzXUZSo,bengali masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e4PQI_zktIZlFZ-08nagTg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=350.9567&pitch=0&thumbfov=100
ChIJrV2-LJrjDDkRAgkyzKWZMCY,Masjid-e-Anjum,All,https://lh3.googleusercontent.com/gps-proxy/AMy85WKojmQSrJY4csjWF4s0jYS01MINyq1t3rzI-RD9HiEnoqmlxmxUQlqg70M534uCOiwi8nia7eveOkKdDhkulRoIn5coL8IUeYes1d1Qs872zbGCqUeWZx005yHc5zJqX9RWnrO44-wMc8Vz3TBn6tPpwzEUPddwlfdTEDc3owgUZ3b9FA_nWAU7sELG3nghHu-fpw=w224-h398-k-no
ChIJrV2-LJrjDDkRAgkyzKWZMCY,Masjid-e-Anjum,Videos,https://lh5.googleusercontent.com/p/AF1QipPeDZAqRZcdYcH2EEBVWifpRNW1cpAKpOyrK-8_=w224-h407-k-no
ChIJbRpMh6PjDDkROlVDjhS1dzc,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NcRXfKPnQLaPH-Vh57RXGA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=105.47298&pitch=0&thumbfov=100
ChIJbRpMh6PjDDkROlVDjhS1dzc,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NcRXfKPnQLaPH-Vh57RXGA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=105.47298&pitch=0&thumbfov=100
ChIJK6r3EnXkDDkRotfluak3Q1Q,Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO67wdhcjjTRrhbmsdg-pG5cIkcPDHZfH_wU5Tx=w224-h497-k-no
ChIJK6r3EnXkDDkRotfluak3Q1Q,Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPs4cW8p06-cNEjZrOGtEZ6GMDTgt-q9K5y641v=w224-h497-k-no
ChIJK6r3EnXkDDkRotfluak3Q1Q,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qKwNzWvTzVeGnfIbNb-UvA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=212.11421&pitch=0&thumbfov=100
