place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJuSpyV2AjpDsRO_l9WIIlhBE,Chala Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPb1fiMdp4kKQc8dgE8Mvm_Ukgp2qVXnWejDurc=w224-h298-k-no
ChIJuSpyV2AjpDsRO_l9WIIlhBE,Chala Juma Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPb1fiMdp4kKQc8dgE8Mvm_Ukgp2qVXnWejDurc=w224-h298-k-no
ChIJuSpyV2AjpDsRO_l9WIIlhBE,Chala Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d0wehWL2CEm89XSgWpwQmg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=341.51428&pitch=0&thumbfov=100
ChIJiSXN5heLmTkRbuW3fJlkkYE,jama masjid kataila,All,https://lh5.googleusercontent.com/p/AF1QipM_d-tbpWJ_LJOX1Yv5KhcwWJduOrU3dmH4hb19=w224-h298-k-no
ChIJiSXN5heLmTkRbuW3fJlkkYE,jama masjid kataila,Dome,https://lh5.googleusercontent.com/p/AF1QipM_d-tbpWJ_LJOX1Yv5KhcwWJduOrU3dmH4hb19=w224-h298-k-no
ChIJiSXN5heLmTkRbuW3fJlkkYE,jama masjid kataila,Videos,https://lh5.googleusercontent.com/p/AF1QipNlFl1a55lywb962IhTcmHF8UcrhXLhcuNCy00o=w529-h298-k-no
ChIJ37VupaFFXDkRJ6N2t2H4K68,"Jama Masjid, Savala",All,https://lh5.googleusercontent.com/p/AF1QipN59wg_8pa7TidpabUZSNM2wcIdzZQcd_dCIOYG=w397-h298-k-no
ChIJ37VupaFFXDkRJ6N2t2H4K68,"Jama Masjid, Savala",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TkOnruzK7iJvaKHvEWhkSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=52.5084&pitch=0&thumbfov=100
ChIJr9T3B3kVYDkR7YPu8Mq9Z2k,Sunni Masjid E Gosiya,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XnqYJlFUZsfHb_6f2lTHsQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=289.32156&pitch=0&thumbfov=100
ChIJr9T3B3kVYDkR7YPu8Mq9Z2k,Sunni Masjid E Gosiya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XnqYJlFUZsfHb_6f2lTHsQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=289.32156&pitch=0&thumbfov=100
ChIJybo0KngFHTkR-0rOFGWo7nY,Jamia masjid Challer,All,https://lh5.googleusercontent.com/p/AF1QipPjevHxQ3jSlIEmjJqPC1SJN2XRjmlPynyAcUcO=w288-h298-k-no
ChIJybo0KngFHTkR-0rOFGWo7nY,Jamia masjid Challer,Videos,https://lh5.googleusercontent.com/p/AF1QipOD1xnajSoxfkT02Hztlji7-WpX7zJTCGFirMop=w224-h389-k-no
ChIJI7jz4BOJWDkR4hiGaK44Iso,Badri Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPwSBlzdn6qI7RA9nMbv9PFvRnO6i_QRS-SFXKF=w224-h398-k-no
ChIJI7jz4BOJWDkR4hiGaK44Iso,Badri Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPwSBlzdn6qI7RA9nMbv9PFvRnO6i_QRS-SFXKF=w224-h398-k-no
ChIJhZldfMSH4jsREEX9MPrah5E,Juma masjid chalala,All,https://lh5.googleusercontent.com/p/AF1QipPMrKwRaVKh3zfPHWIWRbI7fe2Xnyy4Fr3JEj7F=w224-h398-k-no
ChIJhZldfMSH4jsREEX9MPrah5E,Juma masjid chalala,Exterior,https://lh5.googleusercontent.com/p/AF1QipMYnkwDAyru6nOEoCzCtNXnceMDGv_RdJDLAZPC=w330-h298-k-no
ChIJhZldfMSH4jsREEX9MPrah5E,Juma masjid chalala,Videos,https://lh5.googleusercontent.com/p/AF1QipPMrKwRaVKh3zfPHWIWRbI7fe2Xnyy4Fr3JEj7F=w224-h398-k-no
ChIJhZldfMSH4jsREEX9MPrah5E,Juma masjid chalala,From visitors,https://lh5.googleusercontent.com/p/AF1QipM4koYMST1ajsTevAySun8JCj9beok_rgm5wI8n=w921-h298-k-no
