name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Masjid Mujeeb Bagh,Mosque,"H74R+R4J Masjid Mujeeb Bagh, Mujeeb Bagh, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Mujeeb Bagh, Jamia Nagar, Okhla",H74R+R4J,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Mujeeb+Bagh/data=!4m7!3m6!1s0x390ce40bc79e1ce9:0x18ab01f5fdcf10b3!8m2!3d28.5570856!4d77.2902574!16s%2Fg%2F11hbvrlrnj!19sChIJ6RyexwvkDDkRsxDP_fUBqxg?authuser=0&hl=en&rclk=1,"28.557085599999997,77.2902574"
"Ghausia Masjid, Jasola",Mosque,"Ghausia Masjid, Jasola, 171, Jasola, Jasola Vihar, New Delhi, Delhi 110025","Jasola, Jasola Vihar",171,New Delhi,110025,Delhi,IN,"https://www.google.com/maps/place/Ghausia+Masjid,+Jasola/data=!4m7!3m6!1s0x390ce5c200a37205:0xfebb591e8a3c8619!8m2!3d28.5488829!4d77.2921906!16s%2Fg%2F11nl7bc3f7!19sChIJBXKjAMLlDDkRGYY8ih5Zu_4?authuser=0&hl=en&rclk=1","28.5488829,77.2921906"
Khalilullah Masjid,Mosque,"Khalilullah Masjid, KHALILULLAH masjid, I 80/A, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Batla House, Jamia Nagar, Okhla","KHALILULLAH masjid, I 80/A",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Khalilullah+Masjid/data=!4m7!3m6!1s0x390ce475d1de5d13:0xe00156a6e547ab99!8m2!3d28.566411!4d77.2889085!16s%2Fg%2F1tj1kwt5!19sChIJE13e0XXkDDkRmatH5aZWAeA?authuser=0&hl=en&rclk=1,"28.566411,77.28890849999999"
Masjid Moth,Mosque,"Masjid Moth, 92, Masjid Moth Rd, South Extension II, Masjid Moth Village, New Delhi, Delhi 110049","South Extension II, Masjid Moth Village","92, Masjid Moth Rd",New Delhi,110049,Delhi,IN,https://www.google.com/maps/place/Masjid+Moth/data=!4m7!3m6!1s0x390ce242799950e9:0xb2f0ba5418b140f8!8m2!3d28.562458!4d77.2176906!16s%2Fm%2F05zxh9f!19sChIJ6VCZeULiDDkR-ECxGFS68LI?authuser=0&hl=en&rclk=1,"28.562458,77.2176906"
Jama Masjid (Shaheen Bagh),Mosque,"Jama Masjid (Shaheen Bagh), 12, Kalindi Kunj Rd, Block B, Jamia Nagar, Jasola, New Delhi, Delhi 110025","Block B, Jamia Nagar, Jasola","12, Kalindi Kunj Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+%28Shaheen+Bagh%29/data=!4m7!3m6!1s0x390ce41a3d9d581b:0xc7b0e62465b11de9!8m2!3d28.5496905!4d77.3028252!16s%2Fg%2F11g7p2t2hd!19sChIJG1idPRrkDDkR6R2xZSTmsMc?authuser=0&hl=en&rclk=1,"28.549690499999997,77.3028252"
Sabz Masjid,Mosque,"Sabz Masjid, 3571, Lalkuan Bazar Rd, Bazar Sirkiwalan, Lal Kuan Bazar, Chandni Chowk, Delhi, 110006","Bazar Sirkiwalan, Lal Kuan Bazar, Chandni Chowk","3571, Lalkuan Bazar Rd",Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Sabz+Masjid/data=!4m7!3m6!1s0x390cfd16a94877a7:0x7b35bb653cd42e20!8m2!3d28.652163!4d77.223599!16s%2Fm%2F04q247t!19sChIJp3dIqRb9DDkRIC7UPGW7NXs?authuser=0&hl=en&rclk=1,"28.652162999999998,77.223599"
"Jama Masjid, Khadda Colony jm` msjd",Mosque,"Jama Masjid, Khadda Colony jm` msjd, D-202, near by Jama Masjid Gali, Jaitpur Extension Part II, Khadda Colony, Badarpur, New Delhi, Delhi 110044","Jaitpur Extension Part II, Khadda Colony, Badarpur","D-202, near by Jama Masjid Gali",New Delhi,110044,Delhi,IN,"https://www.google.com/maps/place/Jama+Masjid,+Khadda+Colony+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390ce65a1cc2d345:0x508d72d241ba7c2f!8m2!3d28.5094725!4d77.3384064!16s%2Fg%2F11b_23cdbd!19sChIJRdPCHFrmDDkRL3y6QdJyjVA?authuser=0&hl=en&rclk=1","28.509472499999998,77.3384064"
Masjid Patherwali msjd,Mosque,"1608, Masjid Patherwali msjd, 32, Block 39E, Nai Walan, Karol Bagh, New Delhi, Delhi, 110005","Block 39E, Nai Walan, Karol Bagh","1608, 32","New Delhi, Delhi",110005,Delhi,IN,https://www.google.com/maps/place/Masjid+Patherwali+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390cfd61ca03d689:0x8ff36a5a3c66d0bd!8m2!3d28.6475823!4d77.1958499!16s%2Fg%2F12hm6x9t2!19sChIJidYDymH9DDkRvdBmPFpq848?authuser=0&hl=en&rclk=1,"28.6475823,77.1958499"
Shahi Masjid Vasant Vihar msjd shhy,Mosque,"H47X+FQ4 Shahi Masjid Vasant Vihar msjd shhy, Muradabad Pahari, D3 St, near Shri Raam School, Vasant Vihar, New Delhi, Delhi 110057",Vasant Vihar,"H47X+FQ4, Muradabad Pahari, D3 St, near Shri Raam School",New Delhi,110057,Delhi,IN,https://www.google.com/maps/place/Shahi+Masjid+Vasant+Vihar+%D9%85%D8%B3%D8%AC%D8%AF+%D8%B4%D8%A7%DB%81%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x390d1dacc6b7318b:0xd650b525228c3634!8m2!3d28.5636477!4d77.1494618!16s%2Fg%2F1xg5r1k0!19sChIJizG3xqwdDTkRNDaMIiW1UNY?authuser=0&hl=en&rclk=1,"28.563647699999997,77.1494618"
