place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJKSjtLYoJCzkR8nqMkr00xiA,Masjid Shah Abdul Hadi,All,https://lh5.googleusercontent.com/p/AF1QipNaVDajqanb6YxDJa1WyBmaZ_fRUQJd1UX_z1EG=w397-h298-k-no
ChIJrePsZcARlDkRBsBdUbx-O6w,Chanda masjid,All,https://lh5.googleusercontent.com/p/AF1QipNpNveSCStIqS5H2pbnEoQoOXvWeugb0F-R-XKT=w224-h496-k-no
ChIJrePsZcARlDkRBsBdUbx-O6w,Chanda masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNpNveSCStIqS5H2pbnEoQoOXvWeugb0F-R-XKT=w224-h496-k-no
ChIJ3fwC1abjDDkRNfLf6hn2X4E,Banglewali Masjid Nizamuddin Delhi,All,https://lh5.googleusercontent.com/p/AF1QipNe1xcCZ6Q-amcxs-zs-lJrn1OM77-oBZF47-jl=w397-h298-k-no
ChIJ3fwC1abjDDkRNfLf6hn2X4E,Banglewali Masjid Nizamuddin Delhi,Latest,https://lh5.googleusercontent.com/p/AF1QipOY4RtxaCUf9OzSD6FYQb2OeIVY95w3NXfm-mqK=w397-h298-k-no
ChIJ3fwC1abjDDkRNfLf6hn2X4E,Banglewali Masjid Nizamuddin Delhi,Videos,https://lh5.googleusercontent.com/p/AF1QipNgqS1xLBOcihHRo4bcIsz1_ex46Re_Sg8MZiLZ=w224-h398-k-no
ChIJ3fwC1abjDDkRNfLf6hn2X4E,Banglewali Masjid Nizamuddin Delhi,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yNC0vIEYQY6WzJ-ON1bJcQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=305.36465&pitch=0&thumbfov=100
ChIJx2rVjhMFDTkRsgbYbMlEjsk,Chandni Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNz6QANrKy7SCQAMMJhgvRRodd0Kj_L5l74DSop=w224-h298-k-no
ChIJx2rVjhMFDTkRsgbYbMlEjsk,Chandni Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipPx9geYvczCbMATPZ85bRg0keALX0ewcuifzISK=w298-h298-k-no
ChIJx2rVjhMFDTkRsgbYbMlEjsk,Chandni Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOjush8ZKwTEC3tYZR61rUF2g26vJ-4gDHwR8o6=w224-h407-k-no
ChIJx2rVjhMFDTkRsgbYbMlEjsk,Chandni Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hw6bzVrCME--Rwvw5qwe0Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=143.7869&pitch=0&thumbfov=100
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNZwuws43PUlbL8emcV2aBRNEydfAWpFK22aRNF=w224-h298-k-no
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8o2MqfjWuLUC8g_gsZjbIA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=227.3087&pitch=0&thumbfov=100
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNL5KyfXaVSIJNylWBJI4QbQheLpG6HrmsXPWLz=w224-h398-k-no
ChIJizG3xqwdDTkRNDaMIiW1UNY,Shahi Masjid Vasant Vihar msjd shhy,All,https://lh5.googleusercontent.com/p/AF1QipNulX7teJEXCJluYt-uYqgSt-LqVQIdLpI-cels=w529-h298-k-no
ChIJizG3xqwdDTkRNDaMIiW1UNY,Shahi Masjid Vasant Vihar msjd shhy,Latest,https://lh5.googleusercontent.com/p/AF1QipNgdQ6ba6r5YCEzBrtrPUiEqEAbGD-KIjKj3NjZ=w662-h298-k-no
ChIJizG3xqwdDTkRNDaMIiW1UNY,Shahi Masjid Vasant Vihar msjd shhy,Videos,https://lh5.googleusercontent.com/p/AF1QipOyz9a_Ujr7EdZFInIL8Ye0cgljrBVB00uRSoRW=w224-h397-k-no
ChIJizG3xqwdDTkRNDaMIiW1UNY,Shahi Masjid Vasant Vihar msjd shhy,Dome,https://lh5.googleusercontent.com/p/AF1QipM93lAf9xwb6kRAKfmtCDvxawBOuVnQYgn8gXjy=w397-h298-k-no
ChIJizG3xqwdDTkRNDaMIiW1UNY,Shahi Masjid Vasant Vihar msjd shhy,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOvr-F-qwCcuk--ODbaKsCjgYGbvRnTjMInwj8=w224-h298-k-no-pi0-ya331-ro-0-fo100
ChIJtdxRzWP8DDkR-EzoeQtrMqk,Chand Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMKMPtR_WLm37HT5XC3qVp-xjMW2nHYlA4E4tqi=w659-h298-k-no
ChIJtdxRzWP8DDkR-EzoeQtrMqk,Chand Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DR1fEBAZPCc22V6omWaSjw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=236.57195&pitch=0&thumbfov=100
ChIJtdxRzWP8DDkR-EzoeQtrMqk,Chand Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNrYJQA2w9xzUXtOi6YdlifJ4YmjR0sWlyAHArM=w541-h298-k-no
