place_id,place_name,about,link
ChIJ71CIi8dSrjsRLZbDpyP2CFY,Masjid E Muftiyaan,All,https://lh5.googleusercontent.com/p/AF1QipPHUvkd7oeTH1LgJNE5Jw9ZX117HMCtQnEqVaTr=w397-h298-k-no
ChIJ71CIi8dSrjsRLZbDpyP2CFY,Masjid E Muftiyaan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E1H8ifjwvhtH1tjliImPQg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.05434&pitch=0&thumbfov=100
ChIJXROypbhSrjsRPx42-r2Hx9c,Abid Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPmqq3SObTM_22eyvD1w7xcNR3hQ16JNS4VoVY=w397-h298-k-no
ChIJXROypbhSrjsRPx42-r2Hx9c,Abid Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMMrcz0IjYTUt7fnR-rs-Vc6d0taElL3UUbWqeJ=w662-h298-k-no
ChIJXROypbhSrjsRPx42-r2Hx9c,Abid Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO_Y0M3ZvjmFl-XxyXRVoUqpYarU7tSTboGjZPi=w224-h398-k-no
ChIJXROypbhSrjsRPx42-r2Hx9c,Abid Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n9AkBFN5HtuneOOtu2_aRA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=39.671944&pitch=0&thumbfov=100
ChIJ_aCVAUhTrjsRpWTZLO2-vrw,Masjid e Muhammadi Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipNGCSriEMuUvw9KSA0kWqkTNF-GGQ5N5XFUDWGI=w660-h298-k-no
ChIJ_aCVAUhTrjsRpWTZLO2-vrw,Masjid e Muhammadi Ahle Hadees,By owner,https://lh5.googleusercontent.com/p/AF1QipM46LF22c-krOUzJVRmL2Rg7eBE662M8pZMBxaX=w529-h298-k-no
ChIJ_aCVAUhTrjsRpWTZLO2-vrw,Masjid e Muhammadi Ahle Hadees,Videos,https://lh5.googleusercontent.com/p/AF1QipMAMXOUk1OBE8wN-w8SJRv7SufXhFvxkY1uazdX=w224-h398-k-no
ChIJ_aCVAUhTrjsRpWTZLO2-vrw,Masjid e Muhammadi Ahle Hadees,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LUi8kYAmZCKqcbzNJq9O0g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=79.77726&pitch=0&thumbfov=100
