name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Khankah Masjid,Mosque,"5VXC+MF3 Khankah Masjid, Gawaltoli Rd, Kumhar Toli, Chatra, Jharkhand 825401",Kumhar Toli,"5VXC+MF3, Gawaltoli Rd",Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Khankah+Masjid/data=!4m7!3m6!1s0x398cac33401db6a7:0x89df81cece29369c!8m2!3d24.1991399!4d84.871174!16s%2Fg%2F11cs40039q!19sChIJp7YdQDOsjDkRnDYpzs6B34k?authuser=0&hl=en&rclk=1,"24.1991399,84.871174"
Masjid-e-Bilal,Mosque,"5VW7+VWX Masjid-e-Bilal, Azad Nagar, Chatra, Jharkhand 825401",Azad Nagar,5VW7+VWX,Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Masjid-e-Bilal/data=!4m7!3m6!1s0x398cac2cfbbc780f:0x80e67a68def55355!8m2!3d24.1972447!4d84.864856!16s%2Fg%2F11b7xfkdcf!19sChIJD3i8-yysjDkRVVP13mh65oA?authuser=0&hl=en&rclk=1,"24.1972447,84.864856"
Rahmatiya Masjid,Mosque,"5VX9+J5G Rahmatiya Masjid, Rahmatiya Masjid Rd, Chatra, Jharkhand 825401",,"5VX9+J5G, Rahmatiya Masjid Rd",Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Rahmatiya+Masjid/data=!4m7!3m6!1s0x398cac2d55ee1b77:0x7249f648a22c4c56!8m2!3d24.2001205!4d84.8651962!16s%2Fg%2F11bxc61lh9!19sChIJdxvuVS2sjDkRVkwsokj2SXI?authuser=0&hl=en&rclk=1,"24.2001205,84.8651962"
Makka Masjid Shahadat Chowk,Mosque,"6V49+573 Makka Masjid Shahadat Chowk, Bind Mohalla, Shahadat Chowk, Chatra, Jharkhand 825401","Bind Mohalla, Shahadat Chowk",6V49+573,Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Makka+Masjid+Shahadat+Chowk/data=!4m7!3m6!1s0x398cadcdeeefa4d1:0x60a87d608077bfe1!8m2!3d24.2053866!4d84.8681617!16s%2Fg%2F11fzf82y0w!19sChIJ0aTv7s2tjDkR4b93gGB9qGA?authuser=0&hl=en&rclk=1,"24.2053866,84.8681617"
"Jama masjid salimpur,gidhaur chatra",Mosque,"52F3+F2F Jama masjid salimpur,gidhaur chatra, Kirkira, Jharkhand 825401",,52F3+F2F,Kirkira,825401,Jharkhand,IN,"https://www.google.com/maps/place/Jama+masjid+salimpur,gidhaur+chatra/data=!4m7!3m6!1s0x39f353933556678f:0xcc357cc0edab965b!8m2!3d24.1736966!4d85.0025367!16s%2Fg%2F11g6qy0kjg!19sChIJj2dWNZNT8zkRW5ar7cB8Ncw?authuser=0&hl=en&rclk=1","24.1736966,85.0025367"
Masjid e Mamoor,Mosque,"6V5C+JQG Masjid e Mamoor, Ansar Nagar, Chatra, Jharkhand 825401",,6V5C+JQG,"Ansar Nagar, Chatra",825401,Jharkhand,IN,https://www.google.com/maps/place/Masjid+e+Mamoor/data=!4m7!3m6!1s0x398cadced1bf50d5:0x969cdd9d95953b31!8m2!3d24.2090681!4d84.8719616!16s%2Fg%2F11g7_d3k7x!19sChIJ1VC_0c6tjDkRMTuVlZ3dnJY?authuser=0&hl=en&rclk=1,"24.2090681,84.87196159999999"
Masjid E Quba,Mosque,"6V38+5G3 Masjid E Quba, Barkat Nagar, Ansar Nagar, Chatra, Jharkhand 825401",Barkat Nagar,6V38+5G3,"Ansar Nagar, Chatra",825401,Jharkhand,IN,https://www.google.com/maps/place/Masjid+E+Quba/data=!4m7!3m6!1s0x398cadd28ebed0cd:0x4ec6549777892bd5!8m2!3d24.2028968!4d84.8663099!16s%2Fg%2F11gdkwyxh4!19sChIJzdC-jtKtjDkR1SuJd5dUxk4?authuser=0&hl=en&rclk=1,"24.202896799999998,84.86630989999999"
Masjid Abdus Sakur Haji,Mosque,"6V27+85J Masjid Abdus Sakur Haji, MMHS Rd, Chatra, Jharkhand 825401",,"6V27+85J, MMHS Rd",Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Masjid+Abdus+Sakur+Haji/data=!4m7!3m6!1s0x398cadd348d41b03:0x822e54f475ba5fc3!8m2!3d24.2008341!4d84.8628987!16s%2Fg%2F11cn7f2wk6!19sChIJAxvUSNOtjDkRw1-6dfRULoI?authuser=0&hl=en&rclk=1,"24.200834099999998,84.8628987"
Maneri Masjid,Mosque,"Maneri Masjid, Unnamed Road, Chatra, Jharkhand 825401",,Unnamed Road,Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Maneri+Masjid/data=!4m7!3m6!1s0x398cadd0963086c7:0x2d901183776ee9f7!8m2!3d24.2111603!4d84.8633602!16s%2Fg%2F11ggqthd1x!19sChIJx4YwltCtjDkR9-lud4MRkC0?authuser=0&hl=en&rclk=1,"24.2111603,84.8633602"
Masjid-e-Eysha,Mosque,"6V5C+36G Masjid-e-Eysha, Tauhid nagar,, Chatra, Jharkhand 825401",Churihar Mohalla,"6V5C+36G, Tauhid nagar,",Chatra,825401,Jharkhand,IN,https://www.google.com/maps/place/Masjid-e-Eysha/data=!4m7!3m6!1s0x398cadce93a839e1:0x8fa2f4e0cac805cd!8m2!3d24.2076934!4d84.870584!16s%2Fg%2F11c2p9y_91!19sChIJ4Tmok86tjDkRzQXIyuD0oo8?authuser=0&hl=en&rclk=1,"24.2076934,84.870584"
