place_id,place_name,about,link
ChIJeVaFrE9vUjoRBMiLmsbqVCM,Saifee bohra Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOLLAdNLy_9vYugxEtUWPYtM4yAZeyfQbXtUT5t=w567-h298-k-no
ChIJeVaFrE9vUjoRBMiLmsbqVCM,Saifee bohra Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b2OT28XT_N1ij0qHthndbQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=296.48587&pitch=0&thumbfov=100
ChIJy8UF-DlhUjoRcfIdwAn72ts,Makkah Masjid Mosque Valasaravakkam,All,https://lh5.googleusercontent.com/p/AF1QipPWjgJfOfyvWfgkVwgePKDfpjDa7T-AUznFu9NA=w397-h298-k-no
ChIJy8UF-DlhUjoRcfIdwAn72ts,Makkah Masjid Mosque Valasaravakkam,By owner,https://lh5.googleusercontent.com/p/AF1QipOyxfqVvWFaDYCh-QzdJv3Dww_krppdyxof3jg-=w224-h496-k-no
ChIJy8UF-DlhUjoRcfIdwAn72ts,Makkah Masjid Mosque Valasaravakkam,Videos,https://lh5.googleusercontent.com/p/AF1QipPBf88nlJr_aGe3P2fsWI5KCwwLdPbYAy0KaPa0=w224-h398-k-no
ChIJy8UF-DlhUjoRcfIdwAn72ts,Makkah Masjid Mosque Valasaravakkam,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-piMyNzfiACBtvpbgOZKtA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=264.85162&pitch=0&thumbfov=100
ChIJU1ralB5mUjoRQvLNVhrvOco,Walajah Big Mosque,All,https://lh5.googleusercontent.com/p/AF1QipN3_mXbH9s50oaEEQhelG2vVLoQY5XvBKj_3t4A=w287-h298-k-no
ChIJU1ralB5mUjoRQvLNVhrvOco,Walajah Big Mosque,Latest,https://lh5.googleusercontent.com/p/AF1QipMy9fkrjrmhi4lw1p5GLz0vpEdKgD4uWQGP_Mnq=w529-h298-k-no
ChIJU1ralB5mUjoRQvLNVhrvOco,Walajah Big Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipM50P0wlM4l8JaBnDDpDBd5OunhsyBE9lC9Ux37=w224-h398-k-no
ChIJU1ralB5mUjoRQvLNVhrvOco,Walajah Big Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipPFd-IrJpyAtgJa20bsS19zjr5WKuHhkeb-iz2s=w397-h298-k-no
ChIJU1ralB5mUjoRQvLNVhrvOco,Walajah Big Mosque,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipP7vx8cRhp93_RqDzwhoLsCCVHh6QyL_hKo8CaR=w224-h298-k-no-pi-20-ya350-ro-0-fo100
ChIJh-MJzP1lUjoRe-znW8JTm2c,Periamet Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOEAdUuYlHHuVzuwJtptFV3tcnM4WSz3dNOdCGf=w334-h298-k-no
ChIJh-MJzP1lUjoRe-znW8JTm2c,Periamet Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPJO4SbY-VwQXww4u05kPgtmIaMpVN8uY8U9Ovi=w224-h298-k-no
ChIJh-MJzP1lUjoRe-znW8JTm2c,Periamet Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMXqLM87K8EWwm6zr8T8fvk4G743s3AJFGouCos=w529-h298-k-no
ChIJh-MJzP1lUjoRe-znW8JTm2c,Periamet Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMCHubksh9U-ECwCcxryk1YeARqIMKvC2qvLXis=w224-h398-k-no
ChIJh-MJzP1lUjoRe-znW8JTm2c,Periamet Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U3p3brL1npe8bb0vQgO3pg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=315.79938&pitch=0&thumbfov=100
ChIJOyZEUvRmUjoR4V9k1We0gFs,Kodambakkam Puliyur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPF3-h8ZrpbS9f6mhbuXxWIClo88QeTW3t2ERH2=w529-h298-k-no
ChIJOyZEUvRmUjoR4V9k1We0gFs,Kodambakkam Puliyur Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Fl9Fnkn8oBMqTImwpPRRag&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=354.05542&pitch=0&thumbfov=100
ChIJOyZEUvRmUjoR4V9k1We0gFs,Kodambakkam Puliyur Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP2t10qcjyucX7_0IkSoj5N9dgLaEUs0xROXZH_=w529-h298-k-no
ChIJsx5Sd0VvUjoRwTW1RAjJkOQ,Masjid e Mamoor,All,https://lh5.googleusercontent.com/p/AF1QipNZjXfnS_AT_xV7gAKs0lwavdzUaPolr0LNOg5q=w396-h298-k-no
ChIJsx5Sd0VvUjoRwTW1RAjJkOQ,Masjid e Mamoor,By owner,https://lh5.googleusercontent.com/p/AF1QipNU7eJ8lIwPlv7PNFfxr8JHWT-cs-IiRV7P0Ja0=w351-h298-k-no
ChIJsx5Sd0VvUjoRwTW1RAjJkOQ,Masjid e Mamoor,Videos,https://lh5.googleusercontent.com/p/AF1QipNACaJDhxMVYtpSzKBOFe6FUju4bTWyz3ZBWbS1=w224-h398-k-no
ChIJsx5Sd0VvUjoRwTW1RAjJkOQ,Masjid e Mamoor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s8xVaC6kWrEVh2t2QKA73A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=281.9754&pitch=0&thumbfov=100
ChIJ_ceo5SRkUjoRCIoDe_sMjkE,Masjid Javeed Pallivasal Anna Nagar Islamic Centre,All,https://lh5.googleusercontent.com/p/AF1QipN7uzbQR5u08h-oOVEJfXsCaD85sj6GupE2eRJU=w224-h398-k-no
ChIJ_ceo5SRkUjoRCIoDe_sMjkE,Masjid Javeed Pallivasal Anna Nagar Islamic Centre,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HA-EJZFKgD7_q2uZjfg0jw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=41.0435&pitch=0&thumbfov=100
ChIJ_ceo5SRkUjoRCIoDe_sMjkE,Masjid Javeed Pallivasal Anna Nagar Islamic Centre,Videos,https://lh5.googleusercontent.com/p/AF1QipOeCAXoJqGKweKqTklvMcatD6XhMihEEdItDXNR=w224-h398-k-no
ChIJEwPwjGxmUjoRBYDdzqCHeYM,Mana Muna Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNXPye8OZWyTOhkAl051igI3MA69-T-BpJUQm5_=w397-h298-k-no
ChIJEwPwjGxmUjoRBYDdzqCHeYM,Mana Muna Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipO4mXR3--9jnw1jJXGyw9FnakDsB1cYDyKd7V4-=w397-h298-k-no
ChIJEwPwjGxmUjoRBYDdzqCHeYM,Mana Muna Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNUqNU7v_Wql3JQmcNAmMj56_vJdp2oJjSCu1jA=w224-h398-k-no
ChIJEwPwjGxmUjoRBYDdzqCHeYM,Mana Muna Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMpFHz8_r8diVSYrEvUpEGga3W8dq6DnIRoTgDx=w224-h298-k-no-pi-10-ya180-ro0-fo100
ChIJPb6qNR5mUjoRziF2Huwm0Mo,Big Street Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOTcd2TN5_ymkpSyEWvP4s8eW51TIMhVHsorRs=w647-h298-k-no
ChIJPb6qNR5mUjoRziF2Huwm0Mo,Big Street Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2Fat-H2KMZ-iZwFTQocyEA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=257.0774&pitch=0&thumbfov=100
ChIJPb6qNR5mUjoRziF2Huwm0Mo,Big Street Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM6jmdNzhCKBY1PIgId7uJ8yJsT6V97SwsQNVh4=w224-h398-k-no
ChIJcT0tnCRmUjoRGAus787Z37A,Ameerunisa Masjid and Burial Ground,All,https://lh5.googleusercontent.com/p/AF1QipPs7C9wtSFgj1jUIuTLRXkseGzNeZ-KcCmiuN9J=w397-h298-k-no
ChIJcT0tnCRmUjoRGAus787Z37A,Ameerunisa Masjid and Burial Ground,Latest,https://lh5.googleusercontent.com/p/AF1QipOEmBtCrJhMTCC9HzeMpd9GkyKMGtnGQlg0oM54=w524-h298-k-no
ChIJcT0tnCRmUjoRGAus787Z37A,Ameerunisa Masjid and Burial Ground,Videos,https://lh5.googleusercontent.com/p/AF1QipMnr8E-lGYikJZG5UeztH4nJ8syyXg2jYDnbueH=w224-h398-k-no
ChIJcT0tnCRmUjoRGAus787Z37A,Ameerunisa Masjid and Burial Ground,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vGTWsgbY3Xsl4RmOvAY-8Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=179.26007&pitch=0&thumbfov=100
ChIJ6w9vqztmUjoRgdcHmKvg5XY,IRGC Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPCZ24395VuM9_4QnOUGWoo11MJ93xmJ9qfjqYe=w673-h298-k-no
ChIJ6w9vqztmUjoRgdcHmKvg5XY,IRGC Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipNpMJxWmfdBuVzUWljq1ZBef8fwyNDgSgJmw9O-=w239-h298-k-no
ChIJ6w9vqztmUjoRgdcHmKvg5XY,IRGC Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8kxCR6TaKnpMxW9H7s7oeA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.93597&pitch=0&thumbfov=100
ChIJPb-qCqlnUjoRT2du5ycMtXE,Fazilat Unnisa Begum Tomb and Mosque,All,https://lh5.googleusercontent.com/p/AF1QipM9NlwC00_6JIutZBg1XXG8_0SgTvplVbKhwXXF=w529-h298-k-no
