place_id,place_name,about,link
ChIJM_Slfk87pDsR6yAQG_M5ouw,Badriya Juma Masjid Abdul Azeez Al Sagar,All,https://lh5.googleusercontent.com/p/AF1QipPHGKsYjn2qdpWbeMRSlIy2HL1W3I5si9tR0EU=w529-h298-k-no
ChIJM_Slfk87pDsR6yAQG_M5ouw,Badriya Juma Masjid Abdul Azeez Al Sagar,By owner,https://lh5.googleusercontent.com/p/AF1QipOf6BxrrznXuvEQv3Q2Vy8D1SDqCxVpdEkk0Og=w224-h424-k-no
ChIJM_Slfk87pDsR6yAQG_M5ouw,Badriya Juma Masjid Abdul Azeez Al Sagar,Videos,https://lh5.googleusercontent.com/p/AF1QipPE1hTBQgoSLMNoVfc40CPgxb0LGYqjxa8Epzo=w224-h407-k-no
ChIJM_Slfk87pDsR6yAQG_M5ouw,Badriya Juma Masjid Abdul Azeez Al Sagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S6nkB6cRlC5AszhHTZ3KPA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=156.72182&pitch=0&thumbfov=100
ChIJMf3v10NVBDsRbFI1Sn8RXXs,Jamiul Manar (JAQH),All,https://lh5.googleusercontent.com/p/AF1QipNJtkJcx2exU6FWNsx-cKKUe7KXSd3BiDsdvNFl=w397-h298-k-no
ChIJMf3v10NVBDsRbFI1Sn8RXXs,Jamiul Manar (JAQH),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mig8ZUzCtCxwEWeYYJdVnA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=113.593765&pitch=0&thumbfov=100
ChIJjU9kwkQ9pDsRfa3K8kceWJQ,Chalad Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN7l21pQxVQBa5Z1QeRYKtyXrYeRq8KGOQyfKOl=w224-h398-k-no
ChIJjU9kwkQ9pDsRfa3K8kceWJQ,Chalad Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPsnVERLiJAiFULQjUTGfSNJdWbauP-VQwSiSRu=w224-h398-k-no
ChIJL3J5Kgi7BTsRsPLj2-zMQos,Chalai Juma masjid,All,https://lh5.googleusercontent.com/p/AF1QipPCfmUkX1Bw5lrtCfaZ4csX9hHW2C1tAhmGEX2T=w397-h298-k-no
ChIJL3J5Kgi7BTsRsPLj2-zMQos,Chalai Juma masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fqW2KpeXl44PjiPZli0uAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=168.68672&pitch=0&thumbfov=100
ChIJL3J5Kgi7BTsRsPLj2-zMQos,Chalai Juma masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNJi5wRaB1uCndoNRN6qxc7795QsLbn5oJfL16n=w224-h398-k-no
ChIJuSpyV2AjpDsRO_l9WIIlhBE,Chala Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPb1fiMdp4kKQc8dgE8Mvm_Ukgp2qVXnWejDurc=w224-h298-k-no
ChIJuSpyV2AjpDsRO_l9WIIlhBE,Chala Juma Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPb1fiMdp4kKQc8dgE8Mvm_Ukgp2qVXnWejDurc=w224-h298-k-no
ChIJuSpyV2AjpDsRO_l9WIIlhBE,Chala Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d0wehWL2CEm89XSgWpwQmg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=341.51428&pitch=0&thumbfov=100
ChIJv8LvS-_4BDsRgOhdWs47f70,Thuckalay Thowheed Centre,All,https://lh5.googleusercontent.com/p/AF1QipOSCUSaCgvZFSuIuDgNzQRDAwiN9SwVG-RYtVFi=w529-h298-k-no
ChIJv8LvS-_4BDsRgOhdWs47f70,Thuckalay Thowheed Centre,Videos,https://lh5.googleusercontent.com/p/AF1QipMA29Ot2VnnV2GHM5GqkjP2RnXUdXM1jyVk5VOc=w224-h398-k-no
ChIJ-flSDLg5pDsRPGusuFGv1YA,Chooliyad Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMp35u5UVu20P62RycFYMljzBw5-lXa01ujp6uT=w398-h298-k-no
ChIJ-flSDLg5pDsRPGusuFGv1YA,Chooliyad Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNhdv98xJ6VnsQRQ6raREFq-A4bXHVKO2Fr_TSg=w224-h398-k-no
ChIJ5XUJIDn8BDsRJoEfKO28AhM,Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPnz2m6XURAi8AfPucRdNJfd5KWhJNJD1ODwhG2=w397-h298-k-no
ChIJ5XUJIDn8BDsRJoEfKO28AhM,Jumma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ISc5XYA7NkG3VgMTQbRM5w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=280.3231&pitch=0&thumbfov=100
ChIJFyArk-X4BDsRlJwA4cmeSho,Masjid Makkai Palayam,All,https://lh5.googleusercontent.com/p/AF1QipNw-TsLxtLi2-boh_ijiujYMzkxymyw9k9Whsk8=w397-h298-k-no
ChIJFyArk-X4BDsRlJwA4cmeSho,Masjid Makkai Palayam,Dome,https://lh5.googleusercontent.com/p/AF1QipNETpXRWPFCM45WRxLfFmeypkFAfQlRsrtCmcon=w397-h298-k-no
ChIJFyArk-X4BDsRlJwA4cmeSho,Masjid Makkai Palayam,Videos,https://lh5.googleusercontent.com/p/AF1QipM7BQqbYI7F_ZZHVYHJPZg7xi5zUFqHsVCxgBsV=w529-h298-k-no
ChIJFyArk-X4BDsRlJwA4cmeSho,Masjid Makkai Palayam,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=86MZk40mXkpx6eI9YATqfw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=342.235&pitch=0&thumbfov=100
ChIJ4fY90EUxBjsRn-EC58Eo37Q,Vazhoor Muslim Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMbQjRc8cZV5S_oo-AtndGnZAt5wEjJWx4-QW_F=w224-h298-k-no
ChIJ4fY90EUxBjsRn-EC58Eo37Q,Vazhoor Muslim Juma Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOT_EZwO5q-EioZk02reHFBhceIVKQJ3dtsjg8v=w224-h298-k-no
ChIJ4fY90EUxBjsRn-EC58Eo37Q,Vazhoor Muslim Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPqfyPCVDV0o5Ga193mJt991y5zjBulaBRbtRUd=w224-h298-k-no
ChIJPVV_BJgkpDsR5jYvQbRVz9w,Thannada JUMA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipO8PQkPbH4f3_DcuZuXZnJDIUrCOL33dD2_KABf=w224-h298-k-no
