place_id,place_name,about,link
ChIJCUjVmhP9DDkRaL0lnPGavp0,Mehndi artists,All,https://lh5.googleusercontent.com/p/AF1QipOif65fRomUx3e61emLS0VurVH6xCWX5hZebkKb=w224-h298-k-no
ChIJCUjVmhP9DDkRaL0lnPGavp0,Mehndi artists,By owner,https://lh5.googleusercontent.com/p/AF1QipPftfTP5y1qSL6OQJBatsrK3oiV5UtS-3WaaAfm=w308-h298-k-no
ChIJCSBm-UkVczkRPwXQr9H02_s,Jama Masjid Saray Sahi( jaamaa msjid chaataa),All,https://lh5.googleusercontent.com/p/AF1QipMOquuZ0_qgihy2H-kNvYY401hotbt0eq3rcpk=w224-h298-k-no
ChIJ6dFMYhIVczkRoswo1q_fMZc,Markaz Masjid Chhata,All,https://lh5.googleusercontent.com/p/AF1QipOICsDcG1b-21XqBg7oxeg_PlaIMNETjv0WQV6p=w224-h398-k-no
ChIJ6dFMYhIVczkRoswo1q_fMZc,Markaz Masjid Chhata,Videos,https://lh5.googleusercontent.com/p/AF1QipPfD5z2u90URGqtwjC-SXeCC8HN3aFJgVIijzwh=w224-h398-k-no
ChIJ5bzrj9EVczkRNaKAcBZAUt4,Masjid sabji mandi Chhata,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YPEdmbWACKCK_hPqZGMKZg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=4.964542&pitch=0&thumbfov=100
ChIJ5bzrj9EVczkRNaKAcBZAUt4,Masjid sabji mandi Chhata,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YPEdmbWACKCK_hPqZGMKZg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=4.964542&pitch=0&thumbfov=100
ChIJeZ_GKjgVczkRlhX4arhbEus,Eid gah Chhata,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BFpMRu5mTmkSm_6ucxNf4w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=232.5546&pitch=0&thumbfov=100
ChIJeZ_GKjgVczkRlhX4arhbEus,Eid gah Chhata,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BFpMRu5mTmkSm_6ucxNf4w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=232.5546&pitch=0&thumbfov=100
ChIJ9U7F5bsVczkRVbllV-Mp2Cw,Purani masjid (Tehsil),All,https://lh5.googleusercontent.com/p/AF1QipNt0TxhoEWu4hI-Ji2I5idlZoLh66U8m969MTDb=w224-h435-k-no
ChIJC2CUQakXczkRp9XGZFV1mOo,Jama masjid jalalpur chhata Mathura Uttar Pradesh,All,https://lh5.googleusercontent.com/p/AF1QipNlN0wWDn3mfysp6PaeXfILG8_2n5FW62Qx3gJI=w533-h298-k-no
ChIJC2CUQakXczkRp9XGZFV1mOo,Jama masjid jalalpur chhata Mathura Uttar Pradesh,Dome,https://lh5.googleusercontent.com/p/AF1QipNaMPnonitRJ0vNwIOL-x7AQFg_KwnKaDhq-Wy-=w224-h322-k-no
ChIJC2CUQakXczkRp9XGZFV1mOo,Jama masjid jalalpur chhata Mathura Uttar Pradesh,Videos,https://lh5.googleusercontent.com/p/AF1QipMOoEvn9OMhwI7gS0maZVfHzRrb2yKRyYjcplE_=w224-h398-k-no
